staff_id,name,role,rank_held,certifications,certification_renewal_date,background_check_status,insurance_of_injury_coverage
STAFF-001,Aaron Delgado,Head Kendo Instructor / Co-owner,4-dan kendo,AUSKF Instructor Level 3|First Aid CPR|SafeSport Certified,2027-03-15,cleared,covered
STAFF-002,Tom Iverson,Co-owner / Senior Instructor,6-dan kendo,AUSKF Instructor Level 5|First Aid CPR|SafeSport Certified,2027-06-01,cleared,covered
STAFF-003,Raj Patel,Judo Instructor,3-dan judo,USJF Instructor Certified|First Aid CPR|SafeSport Certified,2027-01-10,cleared,covered
STAFF-004,Kenji Aoyama,Seasonal Judge,5-dan kendo,AUSKF Judge Level B|First Aid CPR,2027-04-01,cleared,event_only
STAFF-005,Priya Rao,Seasonal Judge,4-dan judo,USJF Judge Level A|First Aid CPR,2027-02-15,cleared,event_only
STAFF-006,Ming Ito,Event Volunteer Lead,3-dan kendo,First Aid CPR|SafeSport Certified,2028-05-19,pending,1099_no_coverage
STAFF-007,Emilio Nelson,Timekeeper (event),1-kyu kendo,Concussion Recognition Cert|First Aid CPR|SafeSport Certified,2028-08-06,cleared,1099_no_coverage
STAFF-008,Yuki Park,Photography (contract),4-kyu kendo,First Aid CPR|SafeSport Certified,2026-08-25,cleared,event_only
STAFF-009,Rafael Scott,Sound Tech (event),4-kyu kendo,Concussion Recognition Cert|First Aid CPR|SafeSport Certified,2028-11-16,cleared,covered
STAFF-010,Lucia Kobayashi,Timekeeper (event),1-kyu kendo,Concussion Recognition Cert|First Aid CPR,2026-11-07,re_check,covered
STAFF-011,Amir Johnson,Kids' Class Aide,1-kyu judo,Concussion Recognition Cert|SafeSport Certified,2027-11-12,cleared,covered
STAFF-012,Cora Wang,Website Maintenance (contract),no rank,First Aid CPR|SafeSport Certified,2028-11-27,re_check,event_only
STAFF-013,Cyrus Shah,Assistant Judo Instructor,4-dan judo,AUSKF Instructor Level 3|SafeSport Certified,2026-09-17,cleared,covered
STAFF-014,Daichi Lee,Kids' Class Aide,2-dan kendo,AUSKF Judge Level B|First Aid CPR|SafeSport Certified,2028-09-04,cleared,1099_no_coverage
STAFF-015,Mateo Nguyen,Seasonal Judge,3-dan judo,AUSKF Judge Level B|SafeSport Certified|USJF Judge Level B,2027-04-20,re_check,covered
STAFF-016,Takumi Anderson,Cleaning (contract),no rank,OSHA 10,2027-05-16,re_check,covered
STAFF-017,Layla Wang,Videographer (contract),no rank,First Aid CPR|SafeSport Certified,2028-02-26,cleared,event_only
STAFF-018,Meera Campbell,Sound Tech (event),no rank,First Aid CPR|SafeSport Certified,2027-11-28,cleared,1099_no_coverage
STAFF-019,Riku Lee,Event Volunteer Lead,2-dan kendo,AUSKF Judge Level B|SafeSport Certified|USJF Judge Level B,2027-02-15,re_check,event_only
STAFF-020,Serena Kim,Timekeeper (event),1-kyu judo,Concussion Recognition Cert|SafeSport Certified,2026-03-07,pending,1099_no_coverage
STAFF-021,Callum Taylor,Timekeeper (event),1-kyu kendo,Concussion Recognition Cert|First Aid CPR|SafeSport Certified,2026-09-06,re_check,1099_no_coverage
STAFF-022,Delia Miller,First Aid Attendant,1-kyu kendo,Bloodborne Pathogen Cert|First Aid CPR|Wilderness First Aid,2027-09-08,cleared,covered
STAFF-023,Ansel Baker,Cleaning (contract),no rank,OSHA 10,2027-06-23,cleared,1099_no_coverage
STAFF-024,Fatima Yamamoto,Photography (contract),4-kyu kendo,Concussion Recognition Cert|First Aid CPR|SafeSport Certified,2026-10-12,cleared,covered
