waiver_id,registration_id,signer_type,signer_name,signed_at,waiver_version,status
WAIVER-REG-2026FALL-0001,REG-2026FALL-0001,guardian,Clark Clark,2026-08-01T09:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0002,REG-2026FALL-0002,participant,Maya Kim,2026-09-05T12:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0003,REG-2026FALL-0003,participant,Lei Tanaka,PENDING_SIGNATURE,2026-09,sent_unsigned
WAIVER-REG-2026FALL-0004,REG-2026FALL-0004,participant,Blake Bailey,2026-08-01T13:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0005,REG-2026FALL-0005,participant,Owen Butler,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0006,REG-2026FALL-0006,participant,Anika Chavez,2026-10-04T09:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0007,REG-2026FALL-0007,guardian,Yuna Tran,2026-07-08T09:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0008,REG-2026FALL-0008,participant,Willow Turner,2026-09-02T18:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0009,REG-2026FALL-0009,participant,Michael Sato,2026-10-06T10:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0010,REG-2026FALL-0010,participant,Emma Lopez,2026-10-05T11:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0011,REG-2026FALL-0011,participant,Suki Coleman,2026-08-02T09:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0012,REG-2026FALL-0012,guardian,Suki Park,2026-10-10T11:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0013,REG-2026FALL-0013,participant,Hugo Watanabe,2026-10-09T18:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0014,REG-2026FALL-0014,participant,Jackson Singh,2026-08-08T12:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0015,REG-2026FALL-0015,participant,Charlotte Wong,2026-08-02T20:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0016,REG-2026FALL-0016,participant,Charlotte Sato,2026-08-04T20:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0017,REG-2026FALL-0017,participant,Michael Sanchez,PENDING_SIGNATURE,2026-09,sent_unsigned
WAIVER-REG-2026FALL-0018,REG-2026FALL-0018,guardian,Jackson Ward,NEVER_DISPATCHED,2026-09,missing
WAIVER-REG-2026FALL-0019,REG-2026FALL-0019,guardian,Mei Butler,2026-08-10T12:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0020,REG-2026FALL-0020,participant,Lei Wright,2026-07-02T14:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0021,REG-2026FALL-0021,participant,Aria Hoffman,2026-09-09T15:00:00-07:00,2026-09,signed
WAIVER-REG-2026FALL-0022,REG-2026FALL-0022,participant,Penelope Mori,PENDING_SIGNATURE,2026-09,sent_unsigned
