division,expected_fighter_count,judge_id,judge_name,backup_judge_id
Kids Kendo U12,18,STAFF-004,Kenji Aoyama,STAFF-001
Youth Kendo U18,12,STAFF-001,Aaron Delgado,STAFF-002
Adult Kendo Kyu,32,STAFF-002,Tom Iverson,STAFF-004
Adult Kendo Dan,22,STAFF-004,Kenji Aoyama,STAFF-002
Kids Judo U12,8,STAFF-005,Priya Rao,STAFF-003
Adult Judo Kyu,14,STAFF-003,Raj Patel,STAFF-005
Adult Judo Dan,10,STAFF-005,Priya Rao,STAFF-003
Judo Open,9,STAFF-003,Raj Patel,STAFF-005
Kids Kendo U12 (Fall 2025),15,STAFF-035,Aisha Kobayashi,STAFF-002
Youth Kendo U18 (Fall 2025),19,STAFF-004,Sage Chen,STAFF-015
Adult Kendo Kyu (Fall 2025),33,STAFF-003,Rico Walker,STAFF-010
Adult Kendo Dan (Fall 2025),16,STAFF-004,Lien Scott,STAFF-003
Kids Judo U12 (Fall 2025),7,STAFF-028,Silas Allen,STAFF-055
Adult Judo Kyu (Fall 2025),14,STAFF-009,Riku Young,STAFF-010
Adult Judo Dan (Fall 2025),13,STAFF-028,Aoi Smith,STAFF-003
Judo Open (Fall 2025),13,STAFF-009,Yuki Wu,STAFF-010
Kata Demonstration (Fall 2025),3,STAFF-010,Ayano Tanaka,STAFF-015
Kids Kendo U12 (Spring 2025),23,STAFF-007,Nora Wilson,STAFF-042
Youth Kendo U18 (Spring 2025),10,STAFF-001,Chen Scott,STAFF-009
Adult Kendo Kyu (Spring 2025),31,STAFF-018,Aisha Mitchell,STAFF-042
Adult Kendo Dan (Spring 2025),18,STAFF-003,Mateo Walker,STAFF-007
Kids Judo U12 (Spring 2025),4,STAFF-005,Miku Carter,STAFF-028
Adult Judo Kyu (Spring 2025),13,STAFF-010,Omar Moore,STAFF-028
Adult Judo Dan (Spring 2025),14,STAFF-006,Maren Kumar,STAFF-015
Judo Open (Spring 2025),8,STAFF-004,Henry Hall,STAFF-022
Kata Demonstration (Spring 2025),10,STAFF-009,Riku Sato,STAFF-006
Kids Kendo U12 (Winter Seminar 2025),21,STAFF-002,Aiko Young,STAFF-015
Youth Kendo U18 (Winter Seminar 2025),10,STAFF-055,Yumi Watanabe,STAFF-042
Adult Kendo Kyu (Winter Seminar 2025),25,STAFF-001,Ansel Liu,STAFF-010
Adult Kendo Dan (Winter Seminar 2025),17,STAFF-008,Ava Patel,STAFF-012
Kids Judo U12 (Winter Seminar 2025),5,STAFF-009,Sana Ito,STAFF-003
Adult Judo Kyu (Winter Seminar 2025),14,STAFF-002,Mei White,STAFF-035
Adult Judo Dan (Winter Seminar 2025),9,STAFF-002,Priya Miller,STAFF-008
Judo Open (Winter Seminar 2025),14,STAFF-003,Andres Huang,STAFF-010
Kata Demonstration (Winter Seminar 2025),11,STAFF-001,Sofia Tanaka,STAFF-004
Kids Kendo U12 (Spring 2026),18,STAFF-001,Ravi Chen,STAFF-028
Youth Kendo U18 (Spring 2026),11,STAFF-028,Sadie Allen,STAFF-004
Adult Kendo Kyu (Spring 2026),29,STAFF-035,Amir Jones,STAFF-055
Adult Kendo Dan (Spring 2026),21,STAFF-015,Piper Ramirez,STAFF-028
Kids Judo U12 (Spring 2026),5,STAFF-028,Rafael Green,STAFF-001
Adult Judo Kyu (Spring 2026),14,STAFF-005,Reed Mitchell,STAFF-004
Adult Judo Dan (Spring 2026),7,STAFF-005,Ming Nguyen,STAFF-003
Judo Open (Spring 2026),9,STAFF-035,Shiori Xu,STAFF-015
Kata Demonstration (Spring 2026),8,STAFF-006,August Taylor,STAFF-035
Kids Kendo U12 (Summer Camp 2026),20,STAFF-018,Rowan Thomas,STAFF-055
Youth Kendo U18 (Summer Camp 2026),17,STAFF-010,Shiori Roberts,STAFF-004
Adult Kendo Kyu (Summer Camp 2026),27,STAFF-012,Miles Cho,STAFF-009
Adult Kendo Dan (Summer Camp 2026),22,STAFF-006,Rafael Davis,STAFF-035
Kids Judo U12 (Summer Camp 2026),12,STAFF-005,Lucia Cho,STAFF-022
Adult Judo Kyu (Summer Camp 2026),10,STAFF-009,Rowan White,STAFF-008
Adult Judo Dan (Summer Camp 2026),5,STAFF-018,Kaito Nakamura,STAFF-035
Judo Open (Summer Camp 2026),6,STAFF-018,Reed Ma,STAFF-012
Kata Demonstration (Summer Camp 2026),9,STAFF-022,Mateo Yamada,STAFF-018
Kids Kendo U12 (Winter Seminar 2026),22,STAFF-001,Rafael Hernandez,STAFF-004
Youth Kendo U18 (Winter Seminar 2026),20,STAFF-009,Sana Wu,STAFF-012
Adult Kendo Kyu (Winter Seminar 2026),28,STAFF-010,Grady Sun,STAFF-028
Adult Kendo Dan (Winter Seminar 2026),17,STAFF-009,Lucia Davis,STAFF-010
Kids Judo U12 (Winter Seminar 2026),4,STAFF-015,Jin Ramirez,STAFF-028
Adult Judo Kyu (Winter Seminar 2026),19,STAFF-010,Nora Lopez,STAFF-005
Adult Judo Dan (Winter Seminar 2026),5,STAFF-008,Julian Thompson,STAFF-007
Judo Open (Winter Seminar 2026),10,STAFF-012,Theo Martin,STAFF-042
Kata Demonstration (Winter Seminar 2026),9,STAFF-001,Maren Nakamura,STAFF-007
