id,firstName,lastName,headline,location,industry,connectedAt,organizationId
li-conn-nat-taveras,Nat,Taveras,Choreographer and Collaborator at Amanda Webb Dance Instruction,"Reading, PA, United States",Performing Arts,2024-09-14T00:00:00Z,org-aw-rhythm
li-conn-maribel-santos,Maribel,Santos,Owner and Landlord at Rhythm Dance Studio,"West Reading, PA, United States",Real Estate,2024-08-20T00:00:00Z,
li-conn-priya-iyer,Priya,Iyer,CPA and Founder at Iyer CPA LLC,"Wyomissing, PA, United States",Accounting,2024-08-30T00:00:00Z,
li-conn-maritza-colon,Maritza,Colon,Program Manager - Aspire Grant at Pennsylvania Women's Business Center,"Harrisburg, PA, United States",Nonprofit Organization Management,2026-03-04T00:00:00Z,org-pa-wbc
li-conn-rhonda-weaver,Rhonda,Weaver,Grants Officer at Berks County Community Foundation,"Reading, PA, United States",Philanthropy,2026-06-11T00:00:00Z,org-berks-cf
li-conn-marcus-reilly,Marcus,Reilly,Program Director at Reading Beautification Coalition,"Reading, PA, United States",Civic and Social Organization,2026-08-19T00:00:00Z,org-reading-beaut
li-conn-alicia-nguyen,Alicia,Nguyen,Loan Officer at SBA Microloan - Berks Intermediary,"Reading, PA, United States",Financial Services,2026-09-02T00:00:00Z,org-sba-berks
li-conn-simone-patel,Simone,Patel,Grants Coordinator at Eileen Fisher Foundation,"Irvington, NY, United States",Philanthropy,2026-04-08T00:00:00Z,org-eileen-fisher
li-conn-jess-reyes,Jess,Reyes,Marketing Manager at Berks Regional Retail Group,"Lancaster, PA, United States",Marketing and Advertising,2015-11-30T00:00:00Z,
li-conn-daniel-orr,Daniel,Orr,Emergency Department Charge Nurse at Laurel Creek Regional Medical Center,"Reading, PA, United States",Hospitals and Health Care,2016-05-14T00:00:00Z,org-laurel-creek
li-conn-nat-taveras-e001,Nat,Taveras,Choreographer and Collaborator at Amanda Webb Dance Instruction,"Reading, PA, United States",Performing Arts,2024-09-14T00:00:00Z,org-aw-rhythm-e001
li-conn-maribel-santos-e001,Maribel,Santos,Owner and Landlord at Rhythm Dance Studio,"West Reading, PA, United States",Real Estate,2024-08-20T00:00:00Z,
li-conn-priya-iyer-e001,Priya,Iyer,CPA and Founder at Iyer CPA LLC,"Wyomissing, PA, United States",Accounting,2024-08-30T00:00:00Z,
li-conn-maritza-colon-e001,Maritza,Colon,Program Manager - Aspire Grant at Pennsylvania Women's Business Center,"Harrisburg, PA, United States",Nonprofit Organization Management,2026-03-04T00:00:00Z,org-pa-wbc-e001
li-conn-rhonda-weaver-e001,Rhonda,Weaver,Grants Officer at Berks County Community Foundation,"Reading, PA, United States",Philanthropy,2026-06-11T00:00:00Z,org-berks-cf-e001
li-conn-marcus-reilly-e001,Marcus,Reilly,Program Director at Reading Beautification Coalition,"Reading, PA, United States",Civic and Social Organization,2026-08-19T00:00:00Z,org-reading-beaut-e001
li-conn-alicia-nguyen-e001,Alicia,Nguyen,Loan Officer at SBA Microloan - Berks Intermediary,"Reading, PA, United States",Financial Services,2026-09-02T00:00:00Z,org-sba-berks-e001
li-conn-simone-patel-e001,Simone,Patel,Grants Coordinator at Eileen Fisher Foundation,"Irvington, NY, United States",Philanthropy,2026-04-08T00:00:00Z,org-eileen-fisher-e001
li-conn-jess-reyes-e001,Jess,Reyes,Marketing Manager at Berks Regional Retail Group,"Lancaster, PA, United States",Marketing and Advertising,2015-11-30T00:00:00Z,
li-conn-daniel-orr-e001,Daniel,Orr,Emergency Department Charge Nurse at Laurel Creek Regional Medical Center,"Reading, PA, United States",Hospitals and Health Care,2016-05-14T00:00:00Z,org-laurel-creek-e001
