id,employeeId,type,status,start,end,amount,unit,notes,created
TOR_001,EMP_002,Conference,approved,2026-10-10,2026-10-12,3,days,WAITA Plenary Lagos,2026-08-12T08:00:00Z
TOR_002,EMP_001,Vacation,pending,2026-12-22,2027-01-05,14,days,Houston family holiday,2026-09-30T08:00:00Z
TOR_003,EMP_008,Vacation,approved,2026-10-13,2026-10-17,5,days,n_a_placeholder,2026-09-15T08:00:00Z
TOR_004,EMP_006,Sick,approved,2026-10-04,2026-10-04,1,days,Migraine,2026-10-04T07:30:00Z
TOR_005,EMP_007,Training,approved,2026-10-20,2026-10-22,3,days,ICAN CPD module,2026-09-10T08:00:00Z
TOR_006,EMP_004,Sick,approved,2026-09-09,2026-09-10,2,days,Malaria,2026-09-09T07:00:00Z
TOR_007,EMP_009,Personal,denied,2026-10-15,2026-10-15,1,days,Conflicts with workshop,2026-09-20T08:00:00Z
TOR_008,EMP_005,Vacation,approved,2026-11-03,2026-11-07,5,days,Family wedding,2026-09-01T08:00:00Z
TOR_009,EMP_011,Personal,approved,2026-10-25,2026-10-25,1,days,House move,2026-09-28T08:00:00Z
TOR_010,EMP_010,Field-Day,approved,2026-10-08,2026-10-08,1,days,ESFES Udi training support,2026-09-25T08:00:00Z
TOR-00110,BHR-00107,2026-07-16,2027-01-06,10,Family,pending,Yui Verma,generic entry #173,detail_765
TOR-00111,BHR-00149,2026-05-08,2026-11-24,1,Bereavement,cancelled,Lark Kim,generic entry #216,detail_328
TOR-00112,BHR-00185,2026-06-23,2027-01-05,1,Training,cancelled,Jamal Walker,generic entry #727,detail_818
TOR-00113,BHR-00171,2026-03-15,2026-12-27,3,Vacation,pending,Sana White,generic entry #837,detail_420
TOR-00114,BHR-00172,2026-08-04,2026-10-31,2,Family,approved,Kaito Park,generic entry #408,detail_856
TOR-00115,BHR-00162,2026-05-11,2026-12-12,5,Training,pending,Sloane Yamada,generic entry #504,detail_956
TOR-00116,BHR-00164,2026-08-12,2026-11-22,5,Personal,cancelled,Shiori Song,generic entry #598,detail_354
TOR-00117,BHR-00167,2026-02-09,2027-01-11,1,Vacation,cancelled,Ansel Watanabe,generic entry #244,detail_863
TOR-00118,BHR-00168,2026-09-26,2026-11-17,6,Training,approved,Rina Rivera,generic entry #636,detail_927
TOR-00119,BHR-00126,2026-02-26,2026-10-26,2,Training,cancelled,Zhen Lim,generic entry #101,detail_614
TOR-00120,BHR-00129,2026-06-18,2026-12-29,6,Training,pending,Kana Kumar,generic entry #780,detail_757
TOR-00121,BHR-00134,2026-03-12,2026-12-02,7,Personal,approved,Chen Jones,generic entry #800,detail_644
TOR-00122,BHR-00109,2026-01-20,2026-12-12,6,Vacation,denied,Sloane Tanaka,generic entry #272,detail_361
TOR-00123,BHR-00187,2026-03-01,2026-11-18,1,Personal,cancelled,Ananya Rodriguez,generic entry #552,detail_224
TOR-00124,BHR-00187,2026-05-27,2027-01-14,3,Family,cancelled,Aisha Jackson,generic entry #345,detail_846
TOR-00125,BHR-00177,2026-08-26,2026-12-27,9,Personal,pending,Aiko Choi,generic entry #791,detail_620
TOR-00126,BHR-00176,2026-09-01,2026-11-18,2,Vacation,cancelled,Ruby Kobayashi,generic entry #697,detail_728
TOR-00127,BHR-00165,2026-04-22,2026-11-02,8,Family,cancelled,Ansel Nguyen,generic entry #617,detail_848
TOR-00128,BHR-00122,2026-06-12,2026-11-10,4,Vacation,pending,Aisha Anderson,generic entry #176,detail_654
TOR-00129,BHR-00161,2026-04-21,2026-11-15,10,Bereavement,pending,Zhen Kumar,generic entry #312,detail_822
TOR-00130,BHR-00157,2026-06-01,2026-12-11,7,Vacation,denied,Bao Carter,generic entry #588,detail_741
TOR-00131,BHR-00127,2026-07-24,2026-10-25,6,Family,pending,Ella Shin,generic entry #187,detail_465
TOR-00132,BHR-00196,2026-07-17,2026-12-15,1,Bereavement,approved,Mateo Nguyen,generic entry #553,detail_547
TOR-00133,BHR-00104,2026-01-05,2026-12-07,9,Family,cancelled,Owen Hill,generic entry #181,detail_678
TOR-00134,BHR-00159,2026-05-30,2026-10-24,5,Vacation,denied,Zara Garcia,generic entry #818,detail_173
TOR-00135,BHR-00161,2026-09-04,2027-01-10,10,Family,pending,Theo Ramirez,generic entry #695,detail_335
TOR-00136,BHR-00152,2026-03-17,2026-11-03,9,Bereavement,approved,Bao Sharma,generic entry #298,detail_856
TOR-00137,BHR-00130,2026-04-30,2027-01-12,5,Training,denied,Lucia Wu,generic entry #350,detail_900
TOR-00138,BHR-00133,2026-05-09,2026-11-04,10,Vacation,pending,Jamal Campbell,generic entry #933,detail_478
TOR-00139,BHR-00203,2026-03-23,2027-01-05,8,Training,cancelled,Omar Perez,generic entry #537,detail_377
TOR-00140,BHR-00106,2026-03-17,2026-12-05,2,Personal,pending,Beckett White,generic entry #839,detail_733
TOR-00141,BHR-00147,2026-08-08,2026-11-02,8,Vacation,denied,Yumi Yamamoto,generic entry #539,detail_709
TOR-00142,BHR-00188,2026-07-03,2026-12-25,6,Training,approved,Willa Wright,generic entry #508,detail_602
TOR-00143,BHR-00161,2026-05-21,2026-12-23,8,Sick,pending,Sora Zhang,generic entry #749,detail_544
TOR-00144,BHR-00174,2026-03-31,2026-12-07,10,Bereavement,cancelled,Shiori Baker,generic entry #144,detail_348
TOR-00145,BHR-00125,2026-01-26,2026-12-05,3,Personal,approved,Emilio Ma,generic entry #910,detail_134
TOR-00146,BHR-00108,2026-04-01,2026-12-26,8,Personal,pending,Maren White,generic entry #508,detail_630
TOR-00147,BHR-00136,2026-08-05,2026-12-05,2,Vacation,pending,Emilio Miller,generic entry #941,detail_532
TOR-00148,BHR-00131,2026-09-03,2027-01-13,7,Personal,cancelled,Zhen Scott,generic entry #319,detail_609
TOR-00149,BHR-00190,2026-07-05,2026-12-01,9,Bereavement,cancelled,Ansel Nelson,generic entry #396,detail_879
