id,createdTime,client_id,client_name,address,city,zip,last_job_date,panel_amps,roof_orientation,roof_age_years,property_year_built,warranty_through,solar_fit_score,notes
rec_ds7lvbk287hu,2026-06-12,C001,Janet Kowalski,3128 S Logan Ave,Milwaukee,53207,2023-05-12,200,South,1,1948,2028-05-12,9,Asked about solar Sep 2026
rec_7y604lv6x0by,2026-03-05,C002,Ron and Kelly Heaton,2451 S Wentworth Ave,Milwaukee,53207,2024-04-08,200,SW,8,1952,2029-04-08,7,Open warranty callback - kitchen breaker
rec_c6oo8tjv6wwg,2025-10-15,C003,Aaron Beck,4019 S Pine Ave,Milwaukee,53207,2023-09-14,150,South,3,1957,2028-09-14,8,Mentioned battery interest
rec_sz0kpmkqqksh,2026-08-31,C004,Hannah Yates,2840 S Howell Ave,Milwaukee,53207,2024-11-02,200,East,12,1960,2029-11-02,4,
rec_g89taau04n84,2026-04-24,C005,Devin Park,3611 S Pennsylvania Ave,St. Francis,53235,2022-07-19,200,South,2,1965,2027-07-19,9,Korean Presbyterian congregation member
rec_2w7tm5bu9k9d,2025-05-27,C006,Wanda Briscoe,2231 S Whitnall Ave,Milwaukee,53207,2024-02-27,100,North,15,1928,2029-02-27,2,Older home; panel upgrade only
rec_crjmq2v1im5i,2025-04-01,C007,Marco Velasquez,4422 S Wildwood Ave,St. Francis,53235,2023-12-11,200,South,4,1962,2028-12-11,8,
rec_7whm6nr261my,2025-04-25,C008,Priya Iyer,3210 S Kinnickinnic Ave,Milwaukee,53207,2024-08-22,200,SW,2,1955,2029-08-22,8,
rec_zaj4uqjlqm3w,2026-01-23,C009,Bill and Sue Erickson,2725 S Logan Ave,Milwaukee,53207,2022-03-15,200,South,9,1947,2027-03-15,6,
rec_1xgkogfe3w15,2025-12-12,C010,Helen Bjornson,2247 S Kinnickinnic Ave,Milwaukee,53207,,N/A,N/A,N/A,1920,N/A,N/A,Active project - Bay View Historic Home rewire
rec_f1njytju3b93,2025-07-23,C011,Stephen Norquist,3601 S New York Ave,Milwaukee,53207,2023-06-04,200,South,5,1958,2028-06-04,8,
rec_8esc3qunbiug,2025-10-29,C012,Lisa McAllen,2902 S Delaware Ave,Milwaukee,53207,2024-10-19,150,East,11,1942,2029-10-19,3,
rec_oy8pxndr8gan,2025-06-07,C013,Greg Yoon,4111 S Lipton Ave,St. Francis,53235,2022-11-28,200,South,1,1968,2027-11-28,9,Family connection - Pastor Lee referral
rec_u5v1e46mwsfw,2025-09-21,C014,Tess McCallister,2117 S Lenox St,Milwaukee,53207,2024-06-13,100,West,7,1935,2029-06-13,3,
rec_6pe368fdt1a0,2026-03-17,C015,Frank Dolesh,3408 S Burrell St,Milwaukee,53207,2023-08-21,200,SE,4,1954,2028-08-21,7,
rec_iz8gcd1nwc69,2025-03-03,C016,Jia Nguyen,2533 S Howell Ave,Milwaukee,53207,2024-01-09,200,South,2,1961,2029-01-09,9,Asked about EV charger Sep 2026
rec_epmoey3r2rp1,2026-03-07,C017,Carter Renwick,3019 S Pine Ave,Milwaukee,53207,2023-04-26,150,North,18,1939,2028-04-26,1,
rec_x2a6iwz060oa,2026-08-28,C018,Erika Bohm,4280 S Packard Ave,Cudahy,53110,2022-10-04,200,SW,3,1963,2027-10-04,8,
rec_gqmn76tirdtt,2025-07-13,C019,Don Pulaski,2218 S Allis St,Milwaukee,53207,2024-03-30,200,South,6,1949,2029-03-30,7,
rec_sa1tgipjuu16,2025-08-14,C020,Vivian Tran,3500 S Kinnickinnic Ave,Milwaukee,53207,2024-09-11,200,South,1,1957,2029-09-11,9,
rec_82lchb78gf8s,2026-06-06,C021,Mark Costello,2705 S Wentworth Ave,Milwaukee,53207,2023-07-17,200,SE,5,1955,2028-07-17,7,
rec_i8pu8hgasqqv,2026-05-22,C022,Patty Englund,4715 S Whitnall Ave,Cudahy,53110,2024-12-05,150,East,14,1932,2029-12-05,2,
rec_j763kmgc8g93,2026-02-06,C023,Bobby Vasquez,3122 S Lipton Ave,Milwaukee,53207,2022-05-22,200,South,4,1960,2027-05-22,8,
rec_wz6d9jtg3lw3,2025-10-03,C024,Sun-mi Park,2818 S Clement Ave,Milwaukee,53207,2024-04-15,200,South,2,1958,2029-04-15,9,Korean community
rec_uobidcwkxqfn,2026-08-21,C025,Theo Brennan,3915 S Howell Ave,Milwaukee,53207,2023-02-08,200,SW,8,1954,2028-02-08,6,
rec_zdtq8yjnpwxk,2025-06-19,C026,Mara Lindblom,2410 S Logan Ave,Milwaukee,53207,2024-07-30,100,North,13,1929,2029-07-30,2,Older panel; rewire candidate not solar
rec_xzzf9gmk5qwp,2026-02-20,C027,Jenna Falkner,3308 S Pine Ave,Milwaukee,53207,2023-11-19,200,South,3,1962,2028-11-19,9,
rec_saoj3mj4uuzh,2025-05-05,C028,Phil Anand,4129 S New York Ave,St. Francis,53235,2024-05-04,200,South,1,1965,2029-05-04,9,Highest solar-fit candidate in pipeline
rec_7uhdp0ns2ddf,2025-06-02,C029,Doreen Mackey,2614 S Wentworth Ave,Milwaukee,53207,2022-08-26,200,East,10,1950,2027-08-26,4,
rec_5lv6o2q2w0uz,2026-05-12,C030,Cyrus Holman,3007 S Burrell St,Milwaukee,53207,2024-02-12,200,SE,5,1957,2029-02-12,7,
rec_bag7335jjxdc,2026-09-24,C031,Linda Khan,2920 S Howell Ave,Milwaukee,53207,2023-10-30,200,South,2,1959,2028-10-30,9,
rec_7px6pu1hzbmk,2026-06-26,C032,Otis Greenwell,4318 S Packard Ave,Cudahy,53110,2024-08-08,200,South,4,1964,2029-08-08,8,
