message_id,to_email,from_email,subject,template_id,status,opens,clicks,sent_at
sg_pre_nf_0,alejandro.rios@Finthesiss.ai,receipts@netflix.com,Payment received - Netflix - $15.49,,delivered,1,0,2024-11-14
sg_pre_ch_0,alejandro.rios@Finthesiss.ai,receipts@chewy.com,Payment received - Chewy Autoship (Maple) - $81.00,,delivered,1,0,2024-11-15
sg_x0000,alejandro.rios@Finthesiss.ai,ereceipts@meijer.com,Receipt from Meijer - $96.67,,delivered,1,0,2024-11-16
sg_x0001,alejandro.rios@Finthesiss.ai,billing@progressive.com,Receipt from Progressive - $25.75,,delivered,1,0,2024-11-18
sg_x0002,alejandro.rios@Finthesiss.ai,ereceipts@meijer.com,Receipt from Meijer - $109.25,,delivered,0,0,2024-12-05
sg_pre_nf_1,alejandro.rios@Finthesiss.ai,receipts@netflix.com,Payment received - Netflix - $15.49,,delivered,1,0,2024-12-14
sg_pre_ch_1,alejandro.rios@Finthesiss.ai,receipts@chewy.com,Payment received - Chewy Autoship (Maple) - $77.00,,delivered,1,0,2024-12-15
sg_pre_nf_2,alejandro.rios@Finthesiss.ai,receipts@netflix.com,Payment received - Netflix - $15.49,,delivered,1,0,2025-01-14
sg_pre_ch_2,alejandro.rios@Finthesiss.ai,receipts@chewy.com,Payment received - Chewy Autoship (Maple) - $83.00,,delivered,1,0,2025-01-15
sg_pre_nf_3,alejandro.rios@Finthesiss.ai,receipts@netflix.com,Payment received - Netflix - $15.49,,delivered,1,0,2025-02-14
sg_pre_ch_3,alejandro.rios@Finthesiss.ai,receipts@chewy.com,Payment received - Chewy Autoship (Maple) - $80.00,,delivered,1,0,2025-02-15
sg_pre_nf_4,alejandro.rios@Finthesiss.ai,receipts@netflix.com,Payment received - Netflix - $15.49,,delivered,1,0,2025-03-14
sg_pre_ch_4,alejandro.rios@Finthesiss.ai,receipts@chewy.com,Payment received - Chewy Autoship (Maple) - $79.00,,delivered,1,0,2025-03-15
sg_x0003,alejandro.rios@Finthesiss.ai,statements@aetna.com,Receipt from Aetna - $99.33,,delivered,0,0,2025-04-13
sg_pre_nf_5,alejandro.rios@Finthesiss.ai,receipts@netflix.com,Payment received - Netflix - $15.49,,delivered,1,0,2025-04-14
sg_pre_ch_5,alejandro.rios@Finthesiss.ai,receipts@chewy.com,Payment received - Chewy Autoship (Maple) - $82.00,,delivered,1,0,2025-04-15
sg_pre_nf_6,alejandro.rios@Finthesiss.ai,receipts@netflix.com,Payment received - Netflix - $15.49,,delivered,1,0,2025-05-14
sg_pre_ch_6,alejandro.rios@Finthesiss.ai,receipts@chewy.com,Payment received - Chewy Autoship (Maple) - $81.00,,delivered,1,0,2025-05-15
sg_x0004,alejandro.rios@Finthesiss.ai,auto-confirm@amazon.com,Receipt from Amazon - $93.28,,delivered,1,0,2025-06-09
sg_x0005,alejandro.rios@Finthesiss.ai,no-reply@mohela.com,Receipt from MOHELA - $22.44,,delivered,0,0,2025-06-12
