id,first_name,last_name,email,username,role,billing_city,billing_country,is_paying_customer,date_created
501,Marcus,Chen,marcus.chen@gmail.com,marcus.chen,customer,Beaverton,US,True,2025-11-04T10:00:00-08:00
502,Lisa,Nguyen,lisa.nguyen@gmail.com,lisa.nguyen,customer,Beaverton,US,True,2026-02-11T10:00:00-08:00
503,David,Park,david.park@gmail.com,david.park,customer,Hillsboro,US,True,2026-04-22T10:00:00-07:00
504,Haruki,Tanaka,haruki.tanaka@gmail.com,haruki.t,customer,Portland,US,True,2026-05-30T10:00:00-07:00
505,Rachel,Kim,rachel.kim@gmail.com,rachel.kim,customer,Beaverton,US,True,2026-06-14T10:00:00-07:00
506,Jordan,Williams,jordan.williams@gmail.com,jordan.w,customer,Portland,US,True,2026-07-08T10:00:00-07:00
507,Ashley,Brown,ashley.brown@gmail.com,ashley.b,customer,Beaverton,US,True,2026-08-01T10:00:00-07:00
508,Mateo,Alvarez,mateo.alvarez@gmail.com,mateo.a,customer,Beaverton,US,True,2026-08-19T10:00:00-07:00
wc-cust-0003008,Vera Martin,vera.martin921@outlook.com,+15039013876,2024-05-02,inactive,Hillsboro,81,True,2026-02-19
wc-cust-0003009,Ayano Wright,ayano.wright285@hotmail.com,+15039141180,2023-06-25,active,Tigard,76,True,2026-05-01
wc-cust-0003010,Rafael Adams,rafael.adams675@gmail.com,+15034820044,2025-04-16,active,Aloha,69,False,2026-03-13
wc-cust-0003011,Nao Yamada,nao.yamada164@protonmail.com,+15039528182,2025-02-23,active,Tigard,52,True,2026-02-13
wc-cust-0003012,Liam Baker,liam.baker425@yahoo.com,+15039269557,2023-06-26,inactive,Hillsboro,75,True,2026-09-13
wc-cust-0003013,Piper Nair,piper.nair154@hotmail.com,+15032112337,2025-04-03,active,Portland,60,False,2026-06-13
wc-cust-0003014,Grady Gupta,grady.gupta642@hotmail.com,+15036505472,2026-05-07,inactive,Portland,57,False,2026-07-19
wc-cust-0003015,Chen Lopez,chen.lopez312@outlook.com,+15033022393,2025-12-14,inactive,Tigard,85,False,2026-03-26
wc-cust-0003016,Emi Nakamura,emi.nakamura506@yahoo.com,+15039317861,2024-09-25,active,Portland,20,True,2026-03-14
wc-cust-0003017,Rina Gonzalez,rina.gonzalez7@hotmail.com,+15033030898,2025-12-22,active,Tigard,49,False,2026-06-04
wc-cust-0003018,Wei Yoshida,wei.yoshida674@hotmail.com,+15039337241,2026-06-04,active,Tigard,93,True,2026-03-27
wc-cust-0003019,Piper Flores,piper.flores4@hotmail.com,+15034565222,2023-12-22,inactive,Beaverton,33,True,2026-02-04
wc-cust-0003020,Souta Miller,souta.miller922@protonmail.com,+15032136170,2025-12-17,inactive,Hillsboro,43,False,2026-04-12
wc-cust-0003021,Ansel Williams,ansel.williams527@gmail.com,+15032733198,2024-09-06,inactive,Tigard,33,False,2026-07-28
wc-cust-0003022,Zara Choi,zara.choi604@protonmail.com,+15034394552,2024-04-10,inactive,Tigard,40,False,2026-09-17
wc-cust-0003023,Sakura Han,sakura.han30@icloud.com,+15035718517,2025-03-26,active,Hillsboro,57,False,2026-07-17
wc-cust-0003024,Priya Thomas,priya.thomas814@icloud.com,+15034453339,2022-07-20,inactive,Hillsboro,12,False,2026-04-01
wc-cust-0003025,Aiko Williams,aiko.williams760@outlook.com,+15038524441,2025-08-28,active,Aloha,15,False,2026-05-18
wc-cust-0003026,Kai Roberts,kai.roberts244@icloud.com,+15036579812,2022-10-15,active,Aloha,50,False,2026-02-01
wc-cust-0003027,Kana Gupta,kana.gupta185@protonmail.com,+15034145002,2022-01-20,active,Hillsboro,62,False,2026-06-15
wc-cust-0003028,Sana Yamada,sana.yamada549@yahoo.com,+15036708900,2022-09-11,inactive,Beaverton,11,False,2026-08-21
wc-cust-0003029,Hiro Rao,hiro.rao649@icloud.com,+15033972562,2025-02-28,inactive,Tigard,71,False,2026-10-08
wc-cust-0003030,Rhys Clark,rhys.clark695@gmail.com,+15034425785,2026-04-05,inactive,Aloha,24,False,2026-04-09
wc-cust-0003031,Anika Yoon,anika.yoon257@protonmail.com,+15036265403,2022-01-03,active,Aloha,49,False,2026-07-28
wc-cust-0003032,Sadie Wang,sadie.wang822@icloud.com,+15039114754,2026-08-16,active,Portland,66,False,2026-10-17
wc-cust-0003033,Ella Patel,ella.patel58@hotmail.com,+15035959470,2023-10-08,active,Beaverton,3,False,2026-05-03
wc-cust-0003034,Noa King,noa.king682@protonmail.com,+15033839354,2025-10-23,inactive,Aloha,71,False,2026-05-26
wc-cust-0003035,Kento Kim,kento.kim767@gmail.com,+15039255258,2024-05-02,inactive,Aloha,90,True,2026-07-26
wc-cust-0003036,Ella Williams,ella.williams685@hotmail.com,+15034772437,2022-08-05,active,Aloha,70,True,2026-02-10
wc-cust-0003037,Ezra Xu,ezra.xu11@outlook.com,+15034737926,2022-02-03,active,Beaverton,100,True,2026-05-21
wc-cust-0003038,Chen Clark,chen.clark787@yahoo.com,+15036246915,2025-12-04,active,Portland,46,False,2026-03-25
wc-cust-0003039,Piper Chen,piper.chen490@gmail.com,+15033166246,2025-03-10,active,Aloha,42,False,2026-01-25
wc-cust-0003040,Yumi Reddy,yumi.reddy837@icloud.com,+15036775617,2024-05-15,active,Portland,88,False,2026-06-11
wc-cust-0003041,Lien Moore,lien.moore720@protonmail.com,+15034825322,2025-06-18,inactive,Hillsboro,57,True,2026-05-19
