guest_name,relation,rsvp_status,dietary_notes,plus_one,source
Eleni Garcia,Wife,Confirmed,None,N/A,Family
Andreas Garcia,Son,Confirmed,None,Bringing date,Family
Sophia Garcia,Daughter (honoree),Confirmed,Vegetarian options,N/A,Family
Michael Torres,Fiance (honoree),Confirmed,None,N/A,Family
Katerina Stavros,Sister,Confirmed,None,Alone,WhatsApp
Petros Andreadis,Best friend,Confirmed,None,Wife Maria,WhatsApp
Fr. Konstantinos,Parish priest,Confirmed,Fasting (no meat),Alone,WhatsApp
Dr. and Mrs. Torres,Groom parents,Confirmed,None,Together,Eventbrite
Maria Torres,Groom sister,Confirmed,Gluten-free,Husband,Eventbrite
Linda Torres-Vega,Groom aunt,Confirmed,None,Alone,Eventbrite
George Hatzis,Head chef,Tentative,None,Wife,Slack
Maria Kostopoulos,FOH manager,Declined,Working that night,N/A,Slack
Tony DeLuca,Property manager,Confirmed,None,Wife,Email
