employee,employee_id,location,role,pay_type,rate,regular_hours,ot_hours,gross_pay,pay_period,check_date
George Hatzis,MT-0007,Original,Head Chef,Salary,55000,80.00,0.00,2115.38,2026-09-29 to 2026-10-12,2026-10-16
Stavros Economou,MT-0012,Alt 19,Head Chef,Salary,52000,80.00,0.00,2000.00,2026-09-29 to 2026-10-12,2026-10-16
Maria Kostopoulos,MT-0009,Alt 19,FOH Manager,Salary,48000,80.00,0.00,1846.15,2026-09-29 to 2026-10-12,2026-10-16
Carlos Mendez,MT-0021,Original,Line Cook,Hourly,19.00,70.00,0.00,1330.00,2026-09-29 to 2026-10-12,2026-10-16
Anna Petridis,MT-0024,Original,Line Cook,Hourly,18.00,60.00,0.00,1080.00,2026-09-29 to 2026-10-12,2026-10-16
David Kim,MT-0031,Original,Prep Cook,Hourly,16.00,55.00,0.00,880.00,2026-09-29 to 2026-10-12,2026-10-16
Nikos Trakas,MT-0033,Original,Line Cook,Hourly,18.00,64.00,0.00,1152.00,2026-09-29 to 2026-10-12,2026-10-16
Tommy Nguyen,MT-0027,Alt 19,Line Cook,Hourly,20.00,78.00,0.00,1560.00,2026-09-29 to 2026-10-12,2026-10-16
Sarah Mitchell,MT-0029,Alt 19,Line Cook,Hourly,19.00,74.00,0.00,1406.00,2026-09-29 to 2026-10-12,2026-10-16
Marcus Silva,MT-0035,Alt 19,Line Cook,Hourly,18.00,68.00,0.00,1224.00,2026-09-29 to 2026-10-12,2026-10-16
Rita Chavez,MT-0038,Alt 19,Prep Cook,Hourly,16.00,60.00,0.00,960.00,2026-09-29 to 2026-10-12,2026-10-16
Aleks Popov,MT-0041,Alt 19,Line Cook,Hourly,17.00,66.00,0.00,1122.00,2026-09-29 to 2026-10-12,2026-10-16
Nina Alvarez,MT-0044,Original,Server,Hourly,10.00,62.00,0.00,620.00,2026-09-29 to 2026-10-12,2026-10-16
Ricky Torres,MT-0046,Original,Server,Hourly,10.00,55.00,0.00,550.00,2026-09-29 to 2026-10-12,2026-10-16
Julia Papadakis,MT-0048,Original,Server,Hourly,10.00,58.00,0.00,580.00,2026-09-29 to 2026-10-12,2026-10-16
Emily Chen,MT-0051,Original,Server,Hourly,10.00,42.00,0.00,420.00,2026-09-29 to 2026-10-12,2026-10-16
Jessica Martinez,MT-0053,Alt 19,Server,Hourly,10.00,28.00,0.00,280.00,2026-09-29 to 2026-10-12,2026-10-16
Dimitri Alexopoulos,MT-0055,Alt 19,Server,Hourly,10.00,36.00,0.00,360.00,2026-09-29 to 2026-10-12,2026-10-16
Rebecca Wong,MT-0057,Alt 19,Server,Hourly,10.00,60.00,0.00,600.00,2026-09-29 to 2026-10-12,2026-10-16
Mario Costa,MT-0059,Alt 19,Server,Hourly,10.00,55.00,0.00,550.00,2026-09-29 to 2026-10-12,2026-10-16
Kate Larsen,MT-0061,Alt 19,Server,Hourly,10.00,48.00,0.00,480.00,2026-09-29 to 2026-10-12,2026-10-16
Nick Vasilakis,MT-0063,Alt 19,Server,Hourly,10.00,45.00,6.00,540.00,2026-09-29 to 2026-10-12,2026-10-16
Jose Rivera,MT-0066,Original,Busser,Hourly,12.00,45.00,0.00,540.00,2026-09-29 to 2026-10-12,2026-10-16
Ana Reyes,MT-0068,Alt 19,Busser,Hourly,12.00,50.00,0.00,600.00,2026-09-29 to 2026-10-12,2026-10-16
Peter Chan,MT-0071,Original,Dishwasher,Hourly,14.00,50.00,0.00,700.00,2026-09-29 to 2026-10-12,2026-10-16
Luis Ortega,MT-0073,Alt 19,Dishwasher,Hourly,14.00,55.00,0.00,770.00,2026-09-29 to 2026-10-12,2026-10-16
