id,firstName,lastName,headline,location,industry,connectedAt,organizationId
urn:li:person:c001,Sarah,Henderson,"Freelance graphic designer, Cambridge MA",,,2025-10-10T00:07:36+00:00,
urn:li:person:c002,Robert,Henderson,"Owner, Henderson Hardware, Stamford CT",,,2026-03-18T04:18:17+00:00,
urn:li:person:c003,Patricia,Henderson,"Middle school English teacher, Stamford CT",,,2025-03-17T20:59:29+00:00,
urn:li:person:c005,Scott,Henderson,"Law student, Windham Institute",,,2025-10-24T16:51:53+00:00,
urn:li:person:c006,Mike,Torres,"Data scientist, Blackthorn Corp, Somerville MA",,,2025-12-07T15:47:25+00:00,
urn:li:person:c007,James,Cooper,"Reproductive Endocrinologist, Boston IVF",,,2026-02-09T17:35:25+00:00,
urn:li:person:c008,Thomas,Walsh,"Primary Care Physician, Hickoryville Healthcare, Cambridge MA",,,2025-03-17T08:27:23+00:00,
urn:li:person:c009,Lisa,Cheng,"Psychiatrist, telemedicine",,,2024-10-12T22:09:37+00:00,
urn:li:person:c010,Karen,Miller,Therapist,,,2026-03-13T04:26:39+00:00,
urn:li:person:c011,James,Liu,"Neurologist, Deerfield Wellness Headache Center",,,2025-01-29T08:58:45+00:00,
urn:li:person:c012,Sarah,Walsh,"Physical Therapist, Hickoryville Healthcare, Cambridge MA",,,2025-01-24T13:10:34+00:00,
urn:li:person:c013,Rebecca,Foster,"Senior Director, Windbridge Partners, Cambridge MA",,,2024-11-17T18:55:34+00:00,5001
urn:li:person:c014,Mark,Stevens,"Senior Biostatistician, Windbridge Partners, Cambridge MA",,,2026-02-05T16:50:33+00:00,5001
urn:li:person:c015,Martin,Kessler,"Department Chair, Amberfield Institute",,,2025-11-19T15:34:46+00:00,5002
urn:li:person:c016,Mike,Callahan,"Property owner, Cambridge MA",,,2025-12-02T11:30:00+00:00,
urn:li:person:c019,David,Park,"Dentist, Bellmont Institute Square, Cambridge MA",,,2025-02-08T00:39:18+00:00,
8100,David,Smith,"Biostatistician","Cambridge, MA",Biotechnology,2026-10-15T00:00:00Z,5001
8101,Richard,Clark,"Biostatistician","Cambridge, MA",Biotechnology,2026-09-23T00:00:00Z,5106
8102,Joseph,Brown,"Biostatistician","Cambridge, MA",Biotechnology,2026-08-22T00:00:00Z,5114
8103,Emily,Johnson,"Biostatistician","Cambridge, MA",Biotechnology,2026-09-27T00:00:00Z,5106
8104,Michael,Taylor,"Biostatistician","Cambridge, MA",Biotechnology,2026-02-19T00:00:00Z,5113
8105,Anthony,Walker,"Biostatistician","Cambridge, MA",Biotechnology,2026-02-15T00:00:00Z,5113
8106,Thomas,Lee,"Biostatistician","Cambridge, MA",Biotechnology,2026-04-21T00:00:00Z,5109
8107,Nancy,Lee,"Biostatistician","Cambridge, MA",Biotechnology,2026-05-11T00:00:00Z,5105
8108,Anthony,Jones,"Biostatistician","Cambridge, MA",Biotechnology,2026-03-15T00:00:00Z,5100
8109,Robert,Lewis,"Biostatistician","Cambridge, MA",Biotechnology,2026-07-02T00:00:00Z,5108
8110,Karen,Williams,"Biostatistician","Cambridge, MA",Biotechnology,2026-10-22T00:00:00Z,5102
8111,Ashley,Miller,"Biostatistician","Cambridge, MA",Biotechnology,2026-03-18T00:00:00Z,5117
8112,Joseph,Brown,"Biostatistician","Cambridge, MA",Biotechnology,2026-03-07T00:00:00Z,5102
8113,Emily,Thompson,"Biostatistician","Cambridge, MA",Biotechnology,2026-10-09T00:00:00Z,5106
8114,Linda,White,"Biostatistician","Cambridge, MA",Biotechnology,2026-05-02T00:00:00Z,5118
8115,Anthony,Wilson,"Biostatistician","Cambridge, MA",Biotechnology,2026-06-16T00:00:00Z,5107
8116,James,Wilson,"Biostatistician","Cambridge, MA",Biotechnology,2026-02-04T00:00:00Z,5002
8117,Joseph,Wilson,"Biostatistician","Cambridge, MA",Biotechnology,2026-06-27T00:00:00Z,5111
8118,Michael,Harris,"Biostatistician","Cambridge, MA",Biotechnology,2026-09-25T00:00:00Z,5002
8119,Daniel,Smith,"Biostatistician","Cambridge, MA",Biotechnology,2026-01-19T00:00:00Z,5115
8120,Karen,Taylor,"Biostatistician","Cambridge, MA",Biotechnology,2026-04-23T00:00:00Z,5108
8121,Sandra,Brown,"Biostatistician","Cambridge, MA",Biotechnology,2026-09-24T00:00:00Z,5114
8122,Richard,Lewis,"Biostatistician","Cambridge, MA",Biotechnology,2026-08-17T00:00:00Z,5105
8123,James,Williams,"Biostatistician","Cambridge, MA",Biotechnology,2026-02-22T00:00:00Z,5100
8124,Karen,Johnson,"Biostatistician","Cambridge, MA",Biotechnology,2026-10-04T00:00:00Z,5115
8125,Joseph,Thompson,"Biostatistician","Cambridge, MA",Biotechnology,2026-06-09T00:00:00Z,5100
8126,Anthony,Moore,"Biostatistician","Cambridge, MA",Biotechnology,2026-09-05T00:00:00Z,5107
8127,Nancy,Walker,"Biostatistician","Cambridge, MA",Biotechnology,2026-03-13T00:00:00Z,5113
8128,David,Lee,"Biostatistician","Cambridge, MA",Biotechnology,2026-08-17T00:00:00Z,5114
8129,David,Wilson,"Biostatistician","Cambridge, MA",Biotechnology,2026-03-24T00:00:00Z,5105
8130,Charles,Walker,"Biostatistician","Cambridge, MA",Biotechnology,2026-03-07T00:00:00Z,5112
8131,Susan,White,"Biostatistician","Cambridge, MA",Biotechnology,2026-02-10T00:00:00Z,5108
8132,James,Johnson,"Biostatistician","Cambridge, MA",Biotechnology,2026-06-26T00:00:00Z,5103
8133,Ashley,Anderson,"Biostatistician","Cambridge, MA",Biotechnology,2026-06-02T00:00:00Z,5107
8134,Jennifer,Wilson,"Biostatistician","Cambridge, MA",Biotechnology,2026-08-15T00:00:00Z,5116
8135,Matthew,Miller,"Biostatistician","Cambridge, MA",Biotechnology,2026-04-25T00:00:00Z,5002
8136,Robert,Miller,"Biostatistician","Cambridge, MA",Biotechnology,2026-07-19T00:00:00Z,5117
8137,James,Walker,"Biostatistician","Cambridge, MA",Biotechnology,2026-07-23T00:00:00Z,5102
8138,Matthew,Wilson,"Biostatistician","Cambridge, MA",Biotechnology,2026-10-13T00:00:00Z,5109
8139,Michael,Davis,"Biostatistician","Cambridge, MA",Biotechnology,2026-08-23T00:00:00Z,5102
8140,Matthew,Young,"Biostatistician","Cambridge, MA",Biotechnology,2026-02-21T00:00:00Z,5116
8141,Linda,Johnson,"Biostatistician","Cambridge, MA",Biotechnology,2026-07-13T00:00:00Z,5119
8142,James,Thompson,"Biostatistician","Cambridge, MA",Biotechnology,2026-04-09T00:00:00Z,5100
8143,Sandra,Brown,"Biostatistician","Cambridge, MA",Biotechnology,2026-09-26T00:00:00Z,5111
8144,Matthew,Jones,"Biostatistician","Cambridge, MA",Biotechnology,2026-08-08T00:00:00Z,5115
8145,Sandra,Lewis,"Biostatistician","Cambridge, MA",Biotechnology,2026-03-09T00:00:00Z,5118
8146,Karen,Williams,"Biostatistician","Cambridge, MA",Biotechnology,2026-06-03T00:00:00Z,5104
8147,Robert,Taylor,"Biostatistician","Cambridge, MA",Biotechnology,2026-09-12T00:00:00Z,5114
8148,Mark,Young,"Biostatistician","Cambridge, MA",Biotechnology,2026-02-22T00:00:00Z,5109
8149,Jennifer,Miller,"Biostatistician","Cambridge, MA",Biotechnology,2026-07-22T00:00:00Z,5102
8150,James,Harris,"Biostatistician","Cambridge, MA",Biotechnology,2026-09-27T00:00:00Z,5105
8151,Thomas,Brown,"Biostatistician","Cambridge, MA",Biotechnology,2026-09-02T00:00:00Z,5100
8152,Susan,Williams,"Biostatistician","Cambridge, MA",Biotechnology,2026-04-01T00:00:00Z,5113
8153,Anthony,Davis,"Biostatistician","Cambridge, MA",Biotechnology,2026-03-07T00:00:00Z,5110
8154,Michael,Wilson,"Biostatistician","Cambridge, MA",Biotechnology,2026-05-27T00:00:00Z,5113
8155,Emily,White,"Biostatistician","Cambridge, MA",Biotechnology,2026-10-04T00:00:00Z,5111
8156,Richard,Thompson,"Biostatistician","Cambridge, MA",Biotechnology,2026-05-08T00:00:00Z,5104
8157,Charles,Harris,"Biostatistician","Cambridge, MA",Biotechnology,2026-06-15T00:00:00Z,5107
8158,Emily,Wilson,"Biostatistician","Cambridge, MA",Biotechnology,2026-09-03T00:00:00Z,5116
8159,Matthew,Garcia,"Biostatistician","Cambridge, MA",Biotechnology,2026-02-25T00:00:00Z,5101
8160,Ashley,White,"Biostatistician","Cambridge, MA",Biotechnology,2026-04-17T00:00:00Z,5001
8161,Charles,Johnson,"Biostatistician","Cambridge, MA",Biotechnology,2026-09-04T00:00:00Z,5118
8162,Matthew,Moore,"Biostatistician","Cambridge, MA",Biotechnology,2026-08-19T00:00:00Z,5102
8163,Sandra,Clark,"Biostatistician","Cambridge, MA",Biotechnology,2026-01-12T00:00:00Z,5103
8164,Jennifer,Walker,"Biostatistician","Cambridge, MA",Biotechnology,2026-07-10T00:00:00Z,5002
8165,Ashley,Moore,"Biostatistician","Cambridge, MA",Biotechnology,2026-04-05T00:00:00Z,5117
8166,Charles,Moore,"Biostatistician","Cambridge, MA",Biotechnology,2026-01-10T00:00:00Z,5108
8167,Sandra,Thompson,"Biostatistician","Cambridge, MA",Biotechnology,2026-09-19T00:00:00Z,5118
8168,Nancy,Lewis,"Biostatistician","Cambridge, MA",Biotechnology,2026-05-19T00:00:00Z,5111
8169,Susan,Brown,"Biostatistician","Cambridge, MA",Biotechnology,2026-02-12T00:00:00Z,5002
8170,James,Smith,"Biostatistician","Cambridge, MA",Biotechnology,2026-08-22T00:00:00Z,5002
8171,Matthew,Thompson,"Biostatistician","Cambridge, MA",Biotechnology,2026-01-24T00:00:00Z,5105
