id,dealname,pipeline,dealstage,amount,closedate,dealtype,associated_company,associated_contact,createdate,lastmodifieddate
deal_001,Ridgemont Q4 Contract,default,contractsent,18500.00,2026-10-30,existing_customer,Ridgemont Building Supply,hb_ct_001,2026-09-20,2026-09-30
deal_002,Appalachian Renewal,default,closedwon,38400.00,2026-09-20,existing_customer,Appalachian Building Materials,hb_ct_002,2026-09-01,2026-09-20
deal_003,TN Valley Ag - Winter Haul,default,qualifiedtobuy,12000.00,2026-11-15,new_customer,TN Valley Agriculture,hb_ct_003,2026-09-15,2026-09-28
deal_004,Mountainview - Expired Insurance,default,appointmentscheduled,0.00,,existing_customer,Mountainview Logistics,hb_ct_006,2026-09-28,2026-09-30
deal_0100,Deal 5,default,closedwon,9270.00,2026-10-08,existing_customer,,,2026-09-01,2026-09-30
deal_0101,Deal 6,default,presentationscheduled,8520.00,2026-10-18,existing_customer,,,2026-09-01,2026-09-30
deal_0102,Deal 7,default,presentationscheduled,10060.00,2026-12-26,existing_customer,,,2026-09-01,2026-09-30
deal_0103,Deal 8,default,presentationscheduled,10712.00,2026-11-05,existing_customer,,,2026-09-01,2026-09-30
deal_0104,Deal 9,default,presentationscheduled,5300.00,2026-11-05,existing_customer,,,2026-09-01,2026-09-30
deal_0105,Deal 10,default,presentationscheduled,4978.00,2026-12-22,existing_customer,,,2026-09-01,2026-09-30
deal_0106,Deal 11,default,qualifiedtobuy,5013.00,2026-11-27,existing_customer,,,2026-09-01,2026-09-30
deal_0107,Deal 12,default,closedwon,4218.00,2026-12-15,existing_customer,,,2026-09-01,2026-09-30
deal_0108,Deal 13,default,qualifiedtobuy,10368.00,2026-12-09,existing_customer,,,2026-09-01,2026-09-30
deal_0109,Deal 14,default,closedwon,3612.00,2026-10-13,existing_customer,,,2026-09-01,2026-09-30
deal_0110,Deal 15,default,qualifiedtobuy,12463.00,2026-11-02,existing_customer,,,2026-09-01,2026-09-30
deal_0111,Deal 16,default,qualifiedtobuy,10169.00,2026-12-06,existing_customer,,,2026-09-01,2026-09-30
deal_0112,Deal 17,default,presentationscheduled,9745.00,2026-10-27,existing_customer,,,2026-09-01,2026-09-30
deal_0113,Deal 18,default,closedwon,8755.00,2026-12-07,existing_customer,,,2026-09-01,2026-09-30
deal_0114,Deal 19,default,closedlost,14028.00,2026-12-10,existing_customer,,,2026-09-01,2026-09-30
deal_0115,Deal 20,default,presentationscheduled,6523.00,2026-10-26,existing_customer,,,2026-09-01,2026-09-30
deal_0116,Deal 21,default,closedwon,5084.00,2026-11-28,existing_customer,,,2026-09-01,2026-09-30
deal_0117,Deal 22,default,closedwon,5721.00,2026-11-05,existing_customer,,,2026-09-01,2026-09-30
deal_0118,Deal 23,default,qualifiedtobuy,5317.00,2026-10-17,existing_customer,,,2026-09-01,2026-09-30
deal_0119,Deal 24,default,closedwon,1632.00,2026-11-26,existing_customer,,,2026-09-01,2026-09-30
deal_0120,Deal 25,default,closedlost,14980.00,2026-12-25,existing_customer,,,2026-09-01,2026-09-30
deal_0121,Deal 26,default,closedlost,6007.00,2026-11-07,existing_customer,,,2026-09-01,2026-09-30
deal_0122,Deal 27,default,closedwon,2717.00,2026-11-14,existing_customer,,,2026-09-01,2026-09-30
deal_0123,Deal 28,default,presentationscheduled,8897.00,2026-12-25,existing_customer,,,2026-09-01,2026-09-30
deal_0124,Deal 29,default,closedlost,11084.00,2026-12-07,existing_customer,,,2026-09-01,2026-09-30
deal_0125,Deal 30,default,presentationscheduled,3212.00,2026-12-16,existing_customer,,,2026-09-01,2026-09-30
deal_0126,Deal 31,default,closedwon,9180.00,2026-10-25,existing_customer,,,2026-09-01,2026-09-30
deal_0127,Deal 32,default,presentationscheduled,3006.00,2026-10-07,existing_customer,,,2026-09-01,2026-09-30
deal_0128,Deal 33,default,closedwon,1277.00,2026-10-06,existing_customer,,,2026-09-01,2026-09-30
deal_0129,Deal 34,default,presentationscheduled,5600.00,2026-12-04,existing_customer,,,2026-09-01,2026-09-30
deal_0130,Deal 35,default,closedwon,13707.00,2026-11-06,existing_customer,,,2026-09-01,2026-09-30
deal_0131,Deal 36,default,closedwon,5688.00,2026-12-25,existing_customer,,,2026-09-01,2026-09-30
deal_0132,Deal 37,default,qualifiedtobuy,14015.00,2026-10-01,existing_customer,,,2026-09-01,2026-09-30
deal_0133,Deal 38,default,presentationscheduled,13244.00,2026-10-14,existing_customer,,,2026-09-01,2026-09-30
deal_0134,Deal 39,default,closedlost,12510.00,2026-10-01,existing_customer,,,2026-09-01,2026-09-30
deal_0135,Deal 40,default,closedlost,5543.00,2026-10-09,existing_customer,,,2026-09-01,2026-09-30
