receipt_id,shop_id,buyer_user_id,buyer_email,name,address_first_line,address_city,address_state,address_zip,address_country,status,payment_method,grandtotal,subtotal,total_shipping_cost,total_tax_cost,discount_amt,gift_message,is_gift,shipping_carrier,tracking_code,created_timestamp,updated_timestamp,shipped_timestamp,estimated_delivery
3001,29457183,856506,jordan.klein@gmail.com,Jordan Klein,1042 Bedford Ave,Brooklyn,NY,11216,USA,shipped,stripe,6500,5515,985,441,0,,true,USPS,9400111202555512345700,1786816800,1786824000,1786824000,
3002,29457183,222778,rashida.p.mail@gmail.com,Rashida Patel,3418 30th Ave,Astoria,NY,11102,USA,shipped,stripe,3800,2815,985,225,0,,true,USPS,9400111202555512345701,1787421600,1787428800,1787428800,
3003,29457183,25270,taylor.m.manhattan@mail.com,Taylor M Manhattan,3876 Court St,Brooklyn,NY,11201,USA,shipped,stripe,4800,3815,985,305,0,,true,USPS,9400111202555512345702,1788804000,1788811200,1788811200,
3004,29457183,441628,quinn.s.bronx@mail.com,Quinn S Bronx,699 Broadway,Brooklyn,NY,11207,USA,shipped,stripe,2400,1415,985,113,0,,true,USPS,9400111202555512345703,1789754400,1789761600,1789761600,
3005,29457183,524892,morgan.l.brooklyn@gmail.com,Morgan Lee,88 Havemeyer St,Brooklyn,NY,11211,USA,refunded,stripe,3800,2815,985,225,0,,true,USPS,9400111202555512345704,1788460200,1788620400,1788467400,
3006,29457183,524892,morgan.l.brooklyn@gmail.com,Morgan Lee,88 Havemeyer St,Brooklyn,NY,11211,USA,shipped,stripe,3800,2815,985,225,0,,true,USPS,9400111202555512345705,1788704100,1788716700,1788716700,
3007,29457183,913572,noa.p.brooklyn@mail.com,Noa P Brooklyn,2914 Broadway,Brooklyn,NY,11207,USA,delivered,stripe,2400,1415,985,113,0,,false,USPS,,1784759280,1784766480,1784766480,
3008,29457183,747766,lee.s.brooklyn@mail.com,Lee S Brooklyn,1774 Ave A,Brooklyn,NY,11207,USA,shipped,stripe,4800,3815,985,305,0,,false,USPS,,1787502360,1787509560,1787509560,
3009,29457183,795129,skylar.h.bronx@mail.com,Skylar H Bronx,1931 Main St,Brooklyn,NY,11205,USA,shipped,stripe,6500,5515,985,441,0,,false,USPS,,1786908900,1786916100,1786916100,
3010,29457183,71547,river.t.queens@mail.com,River T Queens,2475 Ave A,Brooklyn,NY,11201,USA,shipped,stripe,2400,1415,985,113,0,,false,USPS,,1783115640,1783122840,1783122840,
3011,29457183,258289,harper.k.bronx@mail.com,Harper K Bronx,2440 Nostrand Ave,Brooklyn,NY,11201,USA,shipped,stripe,6500,5515,985,441,0,,false,USPS,,1787351940,1787359140,1787359140,
3012,29457183,846417,alex.r.brooklyn@mail.com,Alex R Brooklyn,3587 Main St,Brooklyn,NY,11204,USA,shipped,stripe,2400,1415,985,113,0,,false,USPS,,1790629860,1790637060,1790637060,
3013,29457183,47156,casey.t.manhattan@mail.com,Casey T Manhattan,2241 Nostrand Ave,Brooklyn,NY,11200,USA,shipped,stripe,2400,1415,985,113,0,,false,USPS,,1783009500,1783016700,1783016700,
3014,29457183,47156,casey.t.manhattan@mail.com,Casey T Manhattan,2241 Nostrand Ave,Brooklyn,NY,11200,USA,shipped,stripe,6500,5515,985,441,0,,false,USPS,,1787432820,1787440020,1787440020,
3015,29457183,795129,skylar.h.bronx@mail.com,Skylar H Bronx,1931 Main St,Brooklyn,NY,11205,USA,shipped,stripe,3800,2815,985,225,0,,false,USPS,,1784664420,1784671620,1784671620,
3016,29457183,524892,morgan.l.brooklyn@gmail.com,Morgan Lee,88 Havemeyer St,Brooklyn,NY,11211,USA,shipped,stripe,4800,3815,985,305,0,,false,USPS,,1790542920,1790550120,1790550120,
