id,name,desc,closed,id_organization,url,member_ids
brd_1f6cbb77-bc85-49bb-82db-ce9bf0f4557b,CISSP CPE hunt Q4 2026,"8 CPE remaining out of 40. Deadline Feb 10, 2027.",False,org_a4fb2809-98da-4a6a-9eee-f6dee64dba9a,https://trello.com/b/f53f709a/cissp-cpe-hunt-q4-2026,mem_b1161a19-21c4-4ff3-94cd-aa81955805ee
brd_d6eb1da3-3bfd-401e-ad45-9e645f3f17a9,OSCP prep 2027,Target Q3 2027 exam.,False,org_a4fb2809-98da-4a6a-9eee-f6dee64dba9a,https://trello.com/b/eec1c585/oscp-prep-2027,mem_b1161a19-21c4-4ff3-94cd-aa81955805ee
brd_17d1ffd7-0313-4523-bdea-5c538fc38cce,Reed Security Notes side-project sprints,Rolling backlog.,False,org_a4fb2809-98da-4a6a-9eee-f6dee64dba9a,https://trello.com/b/85006de7/reed-security-notes-side-project-sprints,mem_b1161a19-21c4-4ff3-94cd-aa81955805ee
brd_936d0c4f-3d03-498f-aa62-db56c653aebd,House hunt Silver Spring 2027,"Lease ends Mar 31, 2027.",False,org_a4fb2809-98da-4a6a-9eee-f6dee64dba9a,https://trello.com/b/af3b379c/house-hunt-silver-spring-2027,mem_b1161a19-21c4-4ff3-94cd-aa81955805ee
brd_54f7d41c-07b4-4fe4-a5d2-e5a5c3a6cd49,Baby prep delivery checklist,"Due Feb 22, 2027.",False,org_a4fb2809-98da-4a6a-9eee-f6dee64dba9a,https://trello.com/b/d3d3f8f9/baby-prep-delivery-checklist,mem_b1161a19-21c4-4ff3-94cd-aa81955805ee
brd_c1ef11a1-859e-4269-9b30-3767e77e6804,Paternity leave runbook Torchwood,Handoff to Priya.,False,org_a4fb2809-98da-4a6a-9eee-f6dee64dba9a,https://trello.com/b/4c6fedc5/paternity-leave-runbook-torchwood,mem_b1161a19-21c4-4ff3-94cd-aa81955805ee
brd_19ab3c6f-cc4d-4e5f-b87f-e2f522f729a2,wall board,Matter feeling home true move participant.,True,org_a4fb2809-98da-4a6a-9eee-f6dee64dba9a,https://trello.com/b/9d341067/line-response-show,mem_b1161a19-21c4-4ff3-94cd-aa81955805ee
brd_9f52fe10-c847-4c1d-a1d7-aecefac276b1,product board,Even yes trade network could beat me.,True,org_a4fb2809-98da-4a6a-9eee-f6dee64dba9a,https://trello.com/b/69459340/station-no-know-let,mem_b1161a19-21c4-4ff3-94cd-aa81955805ee
brd_b524ddc9-f5b9-4632-a454-4c085eecd34b,today board,Citizen employee story.,False,org_a4fb2809-98da-4a6a-9eee-f6dee64dba9a,https://trello.com/b/b968ea92/agree-eye-force,mem_b1161a19-21c4-4ff3-94cd-aa81955805ee
brd_72a1aee6-a40c-4666-883f-bfc712a269e3,media board,Yard value around model.,True,org_a4fb2809-98da-4a6a-9eee-f6dee64dba9a,https://trello.com/b/8f5be938/husband-data-third,mem_b1161a19-21c4-4ff3-94cd-aa81955805ee
