agent_id,name,brokerage,phone,email,license_number,active_listings,sold_last_12mo,rating,reviews
agent-helen-marquez,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e001,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e001,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e002,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e002,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e003,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e003,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e004,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e004,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e005,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e005,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e006,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e006,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e007,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e007,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e008,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e008,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e009,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e009,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e010,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e010,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e011,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e011,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e012,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e012,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e013,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e013,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e014,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e014,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e015,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e015,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e016,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e016,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e017,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e017,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e018,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e018,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e019,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e019,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e020,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e020,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e021,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e021,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e022,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e022,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e023,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e023,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e024,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e024,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e025,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e025,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e026,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e026,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e027,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e027,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e028,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e028,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e029,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e029,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e030,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e030,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e031,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e031,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e032,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e032,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e033,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e033,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e034,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e034,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e035,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e035,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e036,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e036,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e037,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e037,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e038,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e038,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
agent-helen-marquez-e039,Helen Marquez,Berks Commercial Realty,(610) 555-0142,helen.marquez@berkscommercial.com,RS-PA-297841,14,22,4.7,68
agent-marcus-dibella-e039,Marcus DiBella,Keller Williams Reading,(610) 555-0187,marcus.dibella@kw.com,RS-PA-284912,21,38,4.5,102
