id,invoice_number,status,recipient_email,amount_value,currency_code,due_date,note
INV2_584D1E1679A7B040,INV-3100,SENT,trenton.chessplayer@gmail.com,50.00,USD,2026-10-15,Bridgeton Chess Club annual dues 2026
INV2_72E19E3E89B70B13,INV-3101,PAID,foxchase.buyer22@gmail.com,36.00,USD,2026-03-10,Honey order - ships Monday
INV2_D3A410975D000937,INV-3102,SENT,cherryhill.knight@gmail.com,50.00,USD,2026-10-15,Bridgeton Chess Club annual dues 2026
INV2_0BF24D707979F7AA,INV-3103,PAID,rittenhouse.honeyfan@gmail.com,24.00,USD,2026-02-20,Comb honey - 2 jars
INV2_1C374A4665CFE3C4,INV-3104,DRAFT,princeton.endgame@gmail.com,50.00,USD,2026-11-01,Bridgeton Chess Club annual dues 2026
INV2_FD7FFD21E3BB0F61,INV-3105,PAID,manayunk.localfoods@gmail.com,42.50,USD,2026-03-05,Honey order - case of three 12oz jars
INV2_A917C0E3D2B548F6,INV-3106,SENT,wilmington.rook@gmail.com,50.00,USD,2026-10-20,Bridgeton Chess Club annual dues 2026
INV2_3E0B7A14962DC85F,INV-3107,PAID,germantown.gardener@gmail.com,28.00,USD,2026-02-12,Honey order - ships Monday
INV2_6D2F0A9C817E435B,INV-3108,SENT,newark.openings@gmail.com,50.00,USD,2026-11-05,Bridgeton Chess Club annual dues 2026
INV2_9C4E2A0D763B158F,INV-3109,PAID,chestnuthill.pantry@gmail.com,18.00,USD,2026-01-28,Comb honey - single jar
INV2_0A73E1B5C849D26F,INV-3110,DRAFT,media.checkmate@gmail.com,50.00,USD,2026-10-25,Bridgeton Chess Club annual dues 2026
INV2_5B8C0E1A734D962F,INV-3111,SENT,northliberties.kitchen@gmail.com,54.00,USD,2026-03-18,Honey order - half case wildflower
INV2_7E1A0C9D352B846F,INV-3112,SENT,lancaster.tactician@gmail.com,50.00,USD,2026-11-12,Bridgeton Chess Club annual dues 2026
INV2_2D0B7A4E916C385F,INV-3113,PAID,fishtown.market@gmail.com,30.00,USD,2026-02-26,Honey order - ships Monday
INV2_8A3C0E15D7942B6F,INV-3114,SENT,doylestown.queensgambit@gmail.com,50.00,USD,2026-10-30,Bridgeton Chess Club annual dues 2026
INV2_4C9E0A2D813B765F,INV-3115,PAID,queenvillage.harvest@gmail.com,21.00,USD,2026-01-15,Comb honey - 2 jars
INV2_1F0A7C3E926D485B,INV-3116,DRAFT,bensalem.bishop@gmail.com,50.00,USD,2026-11-18,Bridgeton Chess Club annual dues 2026
INV2_6E2C0A8D157B934F,INV-3117,SENT,ardmore.farmstand@gmail.com,48.00,USD,2026-03-22,Honey order - case of four 8oz hex jars
INV2_3B0D7A1E649C285F,INV-3118,SENT,reading.pawnstorm@gmail.com,50.00,USD,2026-12-01,Bridgeton Chess Club annual dues 2026
INV2_9A4C0E2D718B635F,INV-3119,PAID,phoenixville.greengrocer@gmail.com,33.00,USD,2026-02-08,Honey order - ships Monday
INV2_5D0A7C3E812B946F,INV-3120,DRAFT,allentown.zugzwang@gmail.com,50.00,USD,2026-12-08,Bridgeton Chess Club annual dues 2026
INV2_7C0E2A9D436B815F,INV-3121,PAID,southphilly.cornerstore@gmail.com,27.00,USD,2026-01-20,Comb honey - 3 jars
