item_id,column_id,text,value
item-1002,status,Reported,reported
item-1002,number,128900,128900
item-1002,date,2026-09-22,2026-09-22
item-1002,owner,Gerald Roman,gerald
item-1001,status,Reported,reported
item-1001,number,108090,108090
item-1001,date,2026-09-22,2026-09-22
item-1003,number,68300,68300
item-1003,date,2026-09-22,2026-09-22
item-1004,status,Not Started,not_started
item-1004,date,2026-10-14,2026-10-14
item-1005,status,Not Started,not_started
item-1005,date,2026-11-09,2026-11-09
item-1006,status,Working on it,working
item-1007,status,Working on it,working
item-1008,status,Working on it,working
item-1009,status,Working on it,working
item-1010,status,Working on it,working
item-1011,status,Working on it,working
item-1012,status,Working on it,working
item-1013,status,Working on it,working
item-1014,status,Working on it,working
item-1015,status,Working on it,working
item-1016,status,Working on it,working
item-1017,status,Working on it,working
item-1018,status,Working on it,working
item-1019,status,Working on it,working
item-1020,status,Working on it,working
item-1021,status,Working on it,working
item-1022,status,Working on it,working
item-1023,status,Working on it,working
item-1024,status,Working on it,working
item-1025,status,Working on it,working
item-1026,status,Working on it,working
item-1027,status,Working on it,working
item-1028,status,Working on it,working
item-1029,status,Working on it,working
item-1030,status,Working on it,working
item-1031,status,Working on it,working
item-1032,status,Working on it,working
item-1033,status,Working on it,working
item-1034,status,Working on it,working
item-1035,status,Working on it,working
item-1036,status,Working on it,working
item-1037,status,Working on it,working
item-1038,status,Working on it,working
item-1039,status,Working on it,working
item-1040,status,Working on it,working
item-1041,status,Working on it,working
item-1042,status,Working on it,working
item-1043,status,Working on it,working
item-1044,status,Working on it,working
item-1045,status,Working on it,working
item-1046,status,Working on it,working
item-1047,status,Working on it,working
item-1048,status,Working on it,working
item-1049,status,Working on it,working
item-1050,status,Working on it,working
item-1051,status,Working on it,working
item-1052,status,Working on it,working
item-1053,status,Working on it,working
item-1054,status,Working on it,working
item-1055,status,Working on it,working
item-1056,status,Working on it,working
item-1057,status,Working on it,working
item-1058,status,Working on it,working
item-1059,status,Working on it,working
item-1060,status,Working on it,working
item-1061,status,Working on it,working
item-1062,status,Working on it,working
item-1063,status,Working on it,working
item-1064,status,Working on it,working
item-1065,status,Working on it,working
item-1066,status,Working on it,working
item-1067,status,Working on it,working
item-1068,status,Working on it,working
item-1069,status,Working on it,working
item-1070,status,Working on it,working
item-1071,status,Working on it,working
item-1072,status,Working on it,working
item-1073,status,Working on it,working
item-1074,status,Working on it,working
item-1075,status,Working on it,working
item-1076,status,Working on it,working
item-1077,status,Working on it,working
item-1078,status,Working on it,working
item-1079,status,Working on it,working
item-1080,status,Working on it,working
item-1081,status,Working on it,working
item-1082,status,Working on it,working
item-1083,status,Working on it,working
item-1084,status,Working on it,working
item-1085,status,Working on it,working
item-1086,status,Working on it,working
item-1087,status,Working on it,working
item-1088,status,Working on it,working
item-1089,status,Working on it,working
item-1090,status,Working on it,working
item-1091,status,Working on it,working
item-1092,status,Working on it,working
item-1093,status,Working on it,working
item-1094,status,Working on it,working
item-1095,status,Working on it,working
item-1096,status,Working on it,working
item-1097,status,Working on it,working
item-1098,status,Working on it,working
item-1099,status,Working on it,working
item-1100,status,Working on it,working
item-1101,status,Working on it,working
item-1102,status,Working on it,working
item-1103,status,Working on it,working
item-1104,status,Working on it,working
item-1105,status,Working on it,working
item-1106,status,Working on it,working
item-1107,status,Working on it,working
item-1108,status,Working on it,working
item-1109,status,Working on it,working
item-1110,status,Working on it,working
item-1111,status,Working on it,working
item-1112,status,Working on it,working
item-1113,status,Working on it,working
item-1114,status,Working on it,working
item-1115,status,Working on it,working
item-1116,status,Working on it,working
item-1117,status,Working on it,working
item-1118,status,Working on it,working
item-1119,status,Working on it,working
item-1120,status,Working on it,working
