"review_id","listing_id","guest_name","rating","comment","created_at"
"rev_0001","lst_0040","Daniel Brown","5","delta stone ocean delta golf delta tower market","2024-06-12T08:16:00Z"
"rev_0002","lst_0142","Matthew Thomas","5","river ocean stone juliet juliet hotel alpha alpha","2024-07-08T20:46:00Z"
"rev_0003","lst_0034","James Gonzalez","4","cloud delta india bridge forest valley valley echo","2024-08-06T10:28:00Z"
"rev_0004","lst_0127","Robert Smith","5","market foxtrot juliet juliet stone ocean mountain echo","2024-11-05T16:31:00Z"
"rev_0005","lst_0042","Jessica Hernandez","2","stone stone mountain delta river charlie market hotel","2024-05-17T03:55:00Z"
"rev_0006","lst_0140","Lisa Jackson","2","tower bridge juliet forest river market hotel charlie","2024-11-05T00:06:00Z"
"rev_0007","lst_0027","Susan Lopez","3","stone river delta bridge india mountain mountain tower","2024-02-20T11:41:00Z"
"rev_0008","lst_0050","William Davis","2","bravo stone river ocean bravo cloud stone mountain","2024-06-17T12:56:00Z"
"rev_0009","lst_0109","John Martin","1","valley hotel stone charlie mountain mountain ocean delta","2024-09-27T13:19:00Z"
"rev_0010","lst_0145","Lisa Martin","3","valley mountain cloud ocean valley bravo alpha charlie","2024-03-05T10:14:00Z"
"rev_0011","lst_0108","Thomas Johnson","2","bravo forest golf echo juliet valley tower echo","2024-10-11T14:40:00Z"
"rev_0012","lst_0128","Charles Garcia","3","cloud ocean ocean delta bridge cloud juliet delta","2024-02-09T23:56:00Z"
"rev_0013","lst_0067","Barbara Garcia","2","market charlie cloud india india delta bravo valley","2024-06-02T08:41:00Z"
"rev_0014","lst_0030","Karen Rodriguez","5","forest hotel foxtrot tower river tower ocean hotel","2024-11-20T08:42:00Z"
"rev_0015","lst_0072","Michael Moore","1","tower bridge forest charlie juliet bridge bravo hotel","2024-04-27T21:40:00Z"
"rev_0016","lst_0085","Susan Taylor","1","stone bravo cloud valley delta bravo bridge ocean","2024-04-08T02:41:00Z"
"rev_0017","lst_0116","Sarah Wilson","2","tower juliet river foxtrot mountain hotel india bridge","2024-11-13T13:51:00Z"
"rev_0018","lst_0097","Richard Anderson","1","tower forest bravo foxtrot foxtrot alpha bravo tower","2024-07-19T20:23:00Z"
"rev_0019","lst_0097","William Anderson","3","juliet india stone ocean bridge hotel juliet delta","2024-03-12T18:41:00Z"
"rev_0020","lst_0078","Jessica Thomas","1","ocean golf india golf alpha ocean forest echo","2024-01-28T19:50:00Z"
"rev_0021","lst_0048","Elizabeth Wilson","1","golf juliet alpha india bravo hotel mountain echo","2024-08-24T07:53:00Z"
"rev_0022","lst_0083","Anthony Smith","2","ocean valley delta river tower forest bravo valley","2024-08-01T04:37:00Z"
"rev_0023","lst_0148","Michael Johnson","4","charlie valley juliet valley bravo hotel hotel bravo","2024-08-09T14:03:00Z"
"rev_0024","lst_0016","William Jackson","3","charlie juliet mountain stone cloud india india echo","2024-10-31T18:18:00Z"
"rev_0025","lst_0009","Susan Anderson","5","bridge hotel alpha juliet stone mountain valley charlie","2024-09-18T07:01:00Z"
"rev_0026","lst_0139","Thomas Thomas","5","golf juliet mountain market bridge delta ocean juliet","2024-11-14T12:33:00Z"
"rev_0027","lst_0138","Nancy Gonzalez","4","tower india foxtrot market bridge echo valley bridge","2024-10-18T22:28:00Z"
"rev_0028","lst_0066","John Hernandez","4","mountain river hotel charlie tower valley mountain echo","2024-08-19T04:46:00Z"
"rev_0029","lst_0017","Lisa Williams","3","hotel ocean market bravo alpha delta market bridge","2024-07-26T09:38:00Z"
"rev_0030","lst_0062","Christopher Brown","4","bravo ocean bravo foxtrot stone cloud ocean cloud","2024-07-10T18:26:00Z"
"rev_0031","lst_0121","Christopher Davis","5","bravo echo valley mountain bravo charlie forest forest","2024-07-14T18:51:00Z"
"rev_0032","lst_0071","James Smith","4","river golf forest foxtrot foxtrot ocean cloud market","2024-06-17T03:38:00Z"
"rev_0033","lst_0066","Matthew Davis","2","juliet river bravo valley stone bravo tower delta","2024-09-30T19:03:00Z"
"rev_0034","lst_0129","James Martin","4","tower alpha india bridge bravo tower foxtrot valley","2024-08-07T20:27:00Z"
"rev_0035","lst_0025","Helen Gonzalez","1","juliet juliet delta stone delta alpha valley juliet","2024-10-12T00:21:00Z"
"rev_0036","lst_0089","Nancy Taylor","5","delta tower alpha stone juliet forest river forest","2024-12-25T15:11:00Z"
"rev_0037","lst_0009","Elizabeth Smith","2","bravo bravo bravo ocean valley bravo golf river","2024-08-10T05:49:00Z"
"rev_0038","lst_0078","Robert Martinez","4","india stone charlie foxtrot tower golf market echo","2024-07-04T02:38:00Z"
"rev_0039","lst_0022","Charles Johnson","1","charlie valley india echo bridge mountain tower india","2024-09-05T22:48:00Z"
"rev_0040","lst_0137","Jessica Johnson","3","river valley delta market echo cloud hotel hotel","2024-04-11T22:17:00Z"
