timestamp	sender	message
2026-02-08 09:14	Ingrid Santos	Morning honey. Did you take your vitamin D? The dark months are the worst for it
2026-02-08 09:31	Alex	yes mom, every day. promise
2026-02-08 09:33	Anders	she keeps a literal spreadsheet mom she is fine
2026-02-08 09:34	Ingrid Santos	Good. A spreadsheet is very you Alex
2026-02-08 12:02	Alex	Anders how did the soil ecology midterm go
2026-02-08 12:20	Anders	B+ I think. the curve saved me
2026-02-08 12:21	Alex	thats great!! drinks on me next time youre in tacoma
2026-02-11 18:40	Ingrid Santos	Happy birthday to me, 50 today. Feeling ancient
2026-02-11 18:42	Alex	youre not ancient, youre vintage. love you. card is in the mail i swear
2026-02-11 18:45	Anders	happy bday mom!!
2026-02-15 20:11	Alex	fyi heading to portland next weekend to see kai, borrowing marisols car
2026-02-15 20:13	Ingrid Santos	Drive safe. Text me when you get there. Both ways
2026-02-15 20:14	Alex	i always do
2026-02-22 16:55	Anders	is the reefs memory book actually good or just you being a marine nerd
2026-02-22 16:58	Alex	both can be true. its good. ill mail it to you when im done
