Name	Role	Preferred	Phone	Email
Sarah Cooper	Wife and ICE	Text	(215) 555-0342	sarah.cooper@philasportrehab.com
Barbara Cooper	Mother	Phone	(215) 555-0367	barbara.cooper@yahoo.com
Chris Reynolds	Assistant choreographer	Text	(215) 555-0378	chris.reynolds@pda-dance.org
Patricia Walsh	PDA Director	Email	(215) 555-0389	pwalsh@pda-dance.org
Mike Bradley	Best friend	Text or Signal	(215) 555-0395	mike.bradley@keystonearts.edu
Lisa Thompson	Costume designer	Email	(215) 555-0401	lisa.t.costumes@studio-mail.com
Dave Marshall	Lighting designer	Email	(215) 555-0413	dave@marshalllighting.com
Steve Henderson	Contractor	Phone	(215) 555-0424	steve@hendersonhomereno.com
Dr. Whitfield	Pediatrician	Phone	(215) 555-0435	
Dr. Mitchell	Dentist	Phone	(215) 555-0446	
Dr. Sullivan	Rheumatologist for Barbara	Phone	(215) 555-0457	
Amanda Brooks	NCB soloist	Email		amanda.brooks@nationalclassicalballet.org
Keystone Dance Academy	Emily studio	Phone	(215) 555-0468	
