Date	Source	Type	Amount_USD	Running_Total_USD
2026-01-01	Lionsgate Partners	Payroll	3050.00	3050.00
2026-01-03	Rebecca Harding	Child support	500.00	3550.00
2026-01-10	Montgomery College	Adjunct net	750.00	4300.00
2026-02-01	Lionsgate Partners	Payroll	3050.00	7350.00
2026-02-03	Rebecca Harding	Child support	450.00	7800.00
2026-02-10	Montgomery College	Adjunct net	750.00	8550.00
2026-10-01	Lionsgate Partners	Payroll	3050.00	11600.00
2026-10-03	Rebecca Harding	Child support	500.00	12100.00
2026-10-10	Montgomery College	Adjunct net	750.00	12850.00
2026-11-01	Lionsgate Partners	Payroll	3050.00	15900.00
2026-11-03	Rebecca Harding	Child support	500.00	16400.00
2026-11-10	Montgomery College	Adjunct net	750.00	17150.00
		Total deposits		17150.00
