invoice_id,invoice_number,type,contact_id,contact_name,date,due_date,status,line_amount_types,sub_total,total_tax,total,amount_due,amount_paid,currency_code,reference
INV-BCI-2026-018,INV-BCI-2026-018,ACCREC,C_BCI,British Craft Imports,2026-04-12,2026-05-12,PAID,Exclusive,3840.00,0.00,3840.00,0.00,3840.00,GBP,BCI UK channel
INV-BCI-2026-019,INV-BCI-2026-019,ACCREC,C_BCI,British Craft Imports,2026-04-30,2026-05-30,PAID,Exclusive,2560.00,0.00,2560.00,0.00,2560.00,GBP,BCI UK channel
INV-BCI-2026-020,INV-BCI-2026-020,ACCREC,C_BCI,British Craft Imports,2026-05-22,2026-06-21,PAID,Exclusive,6200.00,0.00,6200.00,0.00,6200.00,GBP,BCI UK channel
INV-BCI-2026-021,INV-BCI-2026-021,ACCREC,C_BCI,British Craft Imports,2026-06-10,2026-07-10,AUTHORISED,Exclusive,4500.00,0.00,4500.00,300.00,4200.00,GBP,BCI UK channel - short pay 300 GBP no memo
INV-BCI-2026-022,INV-BCI-2026-022,ACCREC,C_BCI,British Craft Imports,2026-07-04,2026-08-03,PAID,Exclusive,3600.00,0.00,3600.00,0.00,3600.00,GBP,BCI UK channel
INV-BCI-2026-023,INV-BCI-2026-023,ACCREC,C_BCI,British Craft Imports,2026-07-22,2026-08-21,PAID,Exclusive,2240.00,0.00,2240.00,0.00,2240.00,GBP,BCI UK channel
INV-BCI-2026-024,INV-BCI-2026-024,ACCREC,C_BCI,British Craft Imports,2026-08-08,2026-09-07,AUTHORISED,Exclusive,4820.00,0.00,4820.00,4820.00,0.00,GBP,BCI UK channel
INV-BCI-2026-025,INV-BCI-2026-025,ACCREC,C_BCI,British Craft Imports,2026-08-22,2026-09-21,AUTHORISED,Exclusive,7400.00,0.00,7400.00,7400.00,0.00,GBP,BCI UK channel
INV-BCI-2026-026,INV-BCI-2026-026,ACCREC,C_BCI,British Craft Imports,2026-09-04,2026-10-04,AUTHORISED,Exclusive,2420.00,0.00,2420.00,2420.00,0.00,GBP,BCI UK channel
INV-BCI-2026-027,INV-BCI-2026-027,ACCREC,C_BCI,British Craft Imports,2026-09-20,2026-10-20,AUTHORISED,Exclusive,4640.00,0.00,4640.00,4640.00,0.00,GBP,BCI UK channel
INV-BCI-2026-028,INV-BCI-2026-028,ACCREC,C_BCI,British Craft Imports,2026-09-30,2026-10-30,AUTHORISED,Exclusive,6800.00,0.00,6800.00,6800.00,0.00,GBP,BCI UK channel
