id,iid,project_id,title,description,state,author,assignee,labels,created_at,updated_at,closed_at
40001,1,501,[timesheet-1985] Sophia Rivera - annual pay-period ledger,Digitized ledger for Sophia Rivera covering FY1985. Pay periods: 26 bi-weekly cycles (1985-01-06 through 1985-12-24). Regular hours: 2080. OT hours: 155. Source: paper ledger PB-85-1001. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,sophia.rivera,"timesheet,archive,fy-1985",1985-01-06T09:00:00Z,1985-12-31T17:00:00Z,1985-12-31T17:00:00Z
40002,2,501,[timesheet-1986] Sophia Rivera - annual pay-period ledger,Digitized ledger for Sophia Rivera covering FY1986. Pay periods: 26 bi-weekly cycles (1986-01-06 through 1986-12-24). Regular hours: 2080. OT hours: 73. Source: paper ledger PB-86-1001. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,sophia.rivera,"timesheet,archive,fy-1986",1986-01-06T09:00:00Z,1986-12-31T17:00:00Z,1986-12-31T17:00:00Z
40003,3,501,[timesheet-1987] Sophia Rivera - annual pay-period ledger,Digitized ledger for Sophia Rivera covering FY1987. Pay periods: 26 bi-weekly cycles (1987-01-06 through 1987-12-24). Regular hours: 2080. OT hours: 167. Source: paper ledger PB-87-1001. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,sophia.rivera,"timesheet,archive,fy-1987",1987-01-06T09:00:00Z,1987-12-31T17:00:00Z,1987-12-31T17:00:00Z
40004,4,501,[timesheet-1988] Sophia Rivera - annual pay-period ledger,Digitized ledger for Sophia Rivera covering FY1988. Pay periods: 26 bi-weekly cycles (1988-01-06 through 1988-12-24). Regular hours: 2080. OT hours: 143. Source: paper ledger PB-88-1001. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,sophia.rivera,"timesheet,archive,fy-1988",1988-01-06T09:00:00Z,1988-12-31T17:00:00Z,1988-12-31T17:00:00Z
40005,5,501,[timesheet-1989] Sophia Rivera - annual pay-period ledger,Digitized ledger for Sophia Rivera covering FY1989. Pay periods: 26 bi-weekly cycles (1989-01-06 through 1989-12-24). Regular hours: 2080. OT hours: 96. Source: paper ledger PB-89-1001. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,sophia.rivera,"timesheet,archive,fy-1989",1989-01-06T09:00:00Z,1989-12-31T17:00:00Z,1989-12-31T17:00:00Z
40006,6,501,[timesheet-1990] Sophia Rivera - annual pay-period ledger,Digitized ledger for Sophia Rivera covering FY1990. Pay periods: 26 bi-weekly cycles (1990-01-06 through 1990-12-24). Regular hours: 2080. OT hours: 91. Source: paper ledger PB-90-1001. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,sophia.rivera,"timesheet,archive,fy-1990",1990-01-06T09:00:00Z,1990-12-31T17:00:00Z,1990-12-31T17:00:00Z
40007,7,501,[timesheet-1991] Sophia Rivera - annual pay-period ledger,Digitized ledger for Sophia Rivera covering FY1991. Pay periods: 26 bi-weekly cycles (1991-01-06 through 1991-12-24). Regular hours: 2080. OT hours: 62. Source: paper ledger PB-91-1001. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,sophia.rivera,"timesheet,archive,fy-1991",1991-01-06T09:00:00Z,1991-12-31T17:00:00Z,1991-12-31T17:00:00Z
40008,8,501,[timesheet-1992] Sophia Rivera - annual pay-period ledger,Digitized ledger for Sophia Rivera covering FY1992. Pay periods: 26 bi-weekly cycles (1992-01-06 through 1992-12-24). Regular hours: 2080. OT hours: 109. Source: paper ledger PB-92-1001. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,sophia.rivera,"timesheet,archive,fy-1992",1992-01-06T09:00:00Z,1992-12-31T17:00:00Z,1992-12-31T17:00:00Z
40009,9,501,[timesheet-1993] Sophia Rivera - annual pay-period ledger,Digitized ledger for Sophia Rivera covering FY1993. Pay periods: 26 bi-weekly cycles (1993-01-06 through 1993-12-24). Regular hours: 2080. OT hours: 25. Source: paper ledger PB-93-1001. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,sophia.rivera,"timesheet,archive,fy-1993",1993-01-06T09:00:00Z,1993-12-31T17:00:00Z,1993-12-31T17:00:00Z
40010,10,501,[timesheet-1994] Sophia Rivera - annual pay-period ledger,Digitized ledger for Sophia Rivera covering FY1994. Pay periods: 26 bi-weekly cycles (1994-01-06 through 1994-12-24). Regular hours: 2080. OT hours: 111. Source: paper ledger PB-94-1001. Digitized 1998-07-15 during GitLab migration.,closed,karen.thompson,sophia.rivera,"timesheet,archive,fy-1994",1994-01-06T09:00:00Z,1994-12-31T17:00:00Z,1994-12-31T17:00:00Z
