id,name,activity_type,distance,average_grade,maximum_grade,elevation_high,elevation_low,climb_category,city,state
100000,Clark Thomas Jessup,activity_type-00000,95.37,31.29,69.47,7.46,5.39,66,Great Falls,MT
100007,Glen Jessup,activity_type-00001,55.57,86.89,87.22,4.13,22.88,15,Missoula,MT
100014,Emma Jessup,activity_type-00002,12.49,28.76,7.04,71.09,40.15,204,Helena,MT
100021,Wade Jessup,activity_type-00003,92.13,8.59,87.83,40.49,94.16,203,Helena,MT
100028,Aiden Jessup,activity_type-00004,41.94,46.47,82.67,73.71,56.66,155,Helena,MT
100035,Sophie Jessup,activity_type-00005,97.52,75.38,30.89,70.99,47.72,198,Helena,MT
100042,Neil Petrovic,activity_type-00006,30.31,52.92,74.57,44.32,39.21,373,Kalispell,MT
100049,Diane Howell,activity_type-00007,93.68,72.67,70.70,38.50,34.44,103,West Glacier,MT
100056,Josie Firth,activity_type-00008,85.14,84.94,44.50,99.49,5.02,0,Whitefish,MT
100063,Ben Alvarado,activity_type-00009,35.05,74.00,30.51,37.28,80.16,145,Kalispell,MT
100070,Karen Ng,activity_type-00010,61.52,44.56,87.25,98.35,47.71,59,Kalispell,MT
100077,Heather Jessup,activity_type-00011,51.62,88.56,80.85,51.43,0.14,498,Kalispell,MT
100084,Marcus Ridley,activity_type-00012,18.89,91.84,90.04,94.48,88.06,71,West Glacier,MT
100091,Priya Sundaram,activity_type-00013,53.56,20.86,34.93,93.85,9.98,57,Whitefish,MT
100098,Ted McAllister,activity_type-00014,14.99,23.46,7.52,37.79,98.02,228,Cody,MT
100105,Ranger Bergstrom,activity_type-00015,37.13,9.03,46.53,45.91,96.49,79,West Glacier,MT
100112,Sam Iverson,activity_type-00016,81.57,86.37,67.29,87.48,29.33,10,West Glacier,MT
100119,Amelia Chen,activity_type-00017,11.09,9.85,99.03,58.18,57.49,453,Missoula,MT
100126,Rob Doherty,activity_type-00018,70.96,0.28,92.41,33.74,80.70,116,Bozeman,MT
100133,Val Cortez,activity_type-00019,26.89,28.84,58.28,83.59,54.04,475,Whitefish,MT
100140,Rachel Okafor,activity_type-00020,34.52,2.04,99.82,87.01,28.01,321,Missoula,MT
100147,Jack Underhill,activity_type-00021,71.79,14.20,41.86,44.42,67.63,82,West Glacier,MT
100154,Wren Kaur,activity_type-00022,7.48,16.71,10.29,87.58,54.93,54,Livingston,MT
100161,Xiao Ramirez,activity_type-00023,75.21,71.07,86.52,95.09,97.07,337,Whitefish,MT
100168,Yara Young,activity_type-00024,18.82,51.95,64.43,57.40,18.25,325,Butte,MT
100175,Zane Ferrari,activity_type-00025,41.24,59.92,43.75,44.76,99.40,359,Whitefish,MT
100182,Anika Meyer,activity_type-00026,12.49,8.66,56.30,62.58,66.62,304,Billings,MT
100189,Bram Ueda,activity_type-00027,32.06,16.25,79.44,8.71,82.51,448,Kalispell,MT
100196,Cora Diaz,activity_type-00028,19.15,52.86,56.01,80.00,88.95,3,Billings,MT
100203,Deshaun Kaur,activity_type-00029,42.80,6.95,76.48,85.11,6.01,183,Whitefish,MT
100210,Eli Ramirez,activity_type-00030,93.12,79.92,86.45,27.32,0.87,469,Polson,MT
100217,Freya Young,activity_type-00031,44.53,5.33,57.91,4.42,21.52,10,Kalispell,MT
100224,Gabriel Ferrari,activity_type-00032,16.96,81.43,18.00,19.73,66.40,252,Havre,MT
100231,Hana Meyer,activity_type-00033,85.89,27.20,10.92,17.37,10.26,471,Columbia Falls,MT
100238,Ian Ueda,activity_type-00034,64.23,39.88,95.81,25.32,4.66,3,Bozeman,MT
100245,Jessa Diaz,activity_type-00035,23.43,98.75,43.22,7.00,53.53,395,Kalispell,MT
100252,Kai Kaur,activity_type-00036,0.10,58.49,81.87,65.25,59.07,40,Billings,MT
100259,Lena Ramirez,activity_type-00037,12.72,96.36,72.97,7.81,73.68,432,Butte,MT
100266,Mateo Young,activity_type-00038,29.03,56.98,40.08,47.36,57.29,402,Polson,MT
100273,Nia Ferrari,activity_type-00039,93.00,32.99,24.61,0.81,55.25,138,Bozeman,MT
100280,Owen Meyer,activity_type-00040,7.81,54.40,14.19,30.88,52.76,367,Polson,MT
100287,Petra Ueda,activity_type-00041,65.16,80.00,68.92,99.05,89.46,376,Livingston,MT
100294,Rosa Diaz,activity_type-00042,82.87,50.00,16.98,88.29,94.66,292,Havre,MT
100301,Sam Kaur,activity_type-00043,25.20,93.75,20.77,58.10,76.68,383,Helena,MT
100308,Tara Ramirez,activity_type-00044,11.46,35.93,34.21,90.39,86.78,178,Helena,MT
100315,Ursula Young,activity_type-00045,44.23,3.81,51.41,20.27,75.30,242,Helena,MT
100322,Viktor Ferrari,activity_type-00046,37.80,1.25,34.32,97.71,70.05,364,Kalispell,MT
100329,Wanda Meyer,activity_type-00047,14.37,53.75,40.11,97.29,78.15,288,Whitefish,MT
100336,Xander Ueda,activity_type-00048,38.27,36.44,71.79,16.22,69.22,408,Havre,MT
100343,Yusuf Diaz,activity_type-00049,1.38,99.88,62.82,2.63,23.22,88,Columbia Falls,MT
100350,Zola Kaur,activity_type-00050,67.96,91.46,35.57,32.92,60.19,47,Kalispell,MT
100357,Adele Ramirez,activity_type-00051,93.04,91.75,73.96,97.39,39.69,190,Polson,MT
100364,Bruno Young,activity_type-00052,24.88,0.81,69.07,77.78,5.51,218,Helena,MT
100371,Camila Ferrari,activity_type-00053,3.97,78.07,27.44,56.41,17.53,74,Havre,MT
