id,company_id,first_name,last_name,business_name,type,email,hourly_rate,wage_type,start_date
GUST_09dd0f6c,COMP_6a51874c,Carlos,Whitfield,Acme Corp,Office Supplies,carlos.whitfield0@gmail.com,16.00,Office Supplies,2026-10-28T08:00:00-08:00
GUST_88fa5907,COMP_d37b54f2,June,68),Pinnacle Solutions,Software,june.68)@yahoo.com,33.31,Software,2026-10-12T11:07:00-08:00
GUST_226202c8,COMP_5b8f1582,Karen,1983),Vertex Industries,Consulting,karen1983)@outlook.com,50.62,Consulting,2026-09-25T14:14:00-08:00
GUST_ccf844c2,COMP_57e69054,David,1981),Summit Group,Marketing,david.1981)@hotmail.com,67.93,Marketing,2026-09-08T17:21:00-08:00
GUST_5e7f38fc,COMP_982aa564,Ethan,2014),Horizon Partners,Travel,ethan.2014)4@aol.com,84.24,Travel,2026-08-21T08:28:00-08:00
GUST_dc837867,COMP_17d39d73,Maya,2016),Cascade Systems,Equipment,maya2016)@icloud.com,101.55,Equipment,2026-08-04T11:35:00-08:00
GUST_68bb3078,COMP_714a1723,Kevin,1986),Stellar Tech,Training,kevin.1986)@mail.com,118.86,Training,2026-07-17T14:42:00-08:00
GUST_d1568e5a,COMP_258f584d,Robert,1998),Meridian Labs,Subscriptions,robert.1998)@protonmail.com,135.17,Subscriptions,2026-06-28T17:49:00-08:00
GUST_13f98cad,COMP_84a7151a,Helen,2007),Atlas Ventures,Shipping,helen2007)8@comcast.net,152.48,Shipping,2026-06-13T08:56:00-08:00
GUST_b05bc3cc,COMP_84e2ca50,Linda,1957),Apex Digital,Utilities,linda.1957)@att.net,169.79,Utilities,2026-05-26T11:03:00-08:00
GUST_aca4b885,COMP_14595d7b,Frank,1958),Vanguard Co,Professional Services,frank.1958)@bellsouth.net,186.10,Professional Services,2026-05-09T14:10:00-08:00
GUST_a777f3a6,COMP_7130d48d,Connie,1960),Nexus Enterprises,Insurance,connie1960)@charter.net,203.41,Insurance,2026-04-22T17:17:00-08:00
GUST_a5ee3203,COMP_63832da6,Doug,1954),Beacon Analytics,Maintenance,doug.1954)12@earthlink.net,220.72,Maintenance,2026-04-05T08:24:00-08:00
GUST_9b601785,COMP_6ab53b11,Elena,1960),Crestview LLC,Legal,elena.1960)@msn.com,237.03,Legal,2026-03-18T11:31:00-08:00
GUST_2d892db1,COMP_17baea51,The,family),Ironwood Capital,Advertising,thefamily)@gmail.com,254.34,Advertising,2026-03-01T14:38:00-08:00
GUST_c4aa11e7,COMP_951fb2f9,Dr.,52),Silverline Consulting,Technology,dr..52)@yahoo.com,271.65,Technology,2026-02-14T17:45:00-08:00
GUST_44751f7c,COMP_6821c25a,Dr.,59),Trident Holdings,Meals & Entertainment,dr..59)16@outlook.com,288.96,Meals & Entertainment,2026-01-27T08:52:00-08:00
GUST_d9b43519,COMP_ebdc73df,Dr.,48),Orion Dynamics,Rent,dr.48)@hotmail.com,305.27,Rent,2026-01-10T11:59:00-08:00
GUST_74759faa,COMP_5e43b195,William,Davis,Redwood Logistics,Telecommunications,william.davis@aol.com,322.58,Telecommunications,2025-12-28T14:06:00-08:00
GUST_2e828bdd,COMP_b568aaa4,Dorothy,Lee,Bluewave Media,Cloud Services,dorothy.lee@icloud.com,339.89,Cloud Services,2025-12-11T17:13:00-08:00
