id,company_id,first_name,last_name,email,department,job_title,rate,payment_unit,flsa_status,start_date,terminated
GUST_09dd0f6c,COMP_6a51874c,Carlos,Whitfield,carlos.whitfield0@gmail.com,Engineering,Software Engineer,16.00,11.00,admin,2026-10-28T08:00:00-08:00,true
GUST_88fa5907,COMP_d37b54f2,June,68),june.68)@yahoo.com,Marketing,Product Manager,33.31,28.31,member,2026-10-12T11:07:00-08:00,false
GUST_226202c8,COMP_5b8f1582,Karen,1983),karen1983)@outlook.com,Sales,Designer,50.62,45.62,viewer,2026-09-25T14:14:00-08:00,false
GUST_ccf844c2,COMP_57e69054,David,1981),david.1981)@hotmail.com,Operations,Data Analyst,67.93,62.93,editor,2026-09-08T17:21:00-08:00,true
GUST_5e7f38fc,COMP_982aa564,Ethan,2014),ethan.2014)4@aol.com,HR,Marketing Manager,84.24,79.24,owner,2026-08-21T08:28:00-08:00,false
GUST_dc837867,COMP_17d39d73,Maya,2016),maya2016)@icloud.com,Finance,Sales Rep,101.55,96.55,contributor,2026-08-04T11:35:00-08:00,false
GUST_68bb3078,COMP_714a1723,Kevin,1986),kevin.1986)@mail.com,Support,Operations Lead,118.86,12.86,admin,2026-07-17T14:42:00-08:00,true
GUST_d1568e5a,COMP_258f584d,Robert,1998),robert.1998)@protonmail.com,Design,HR Specialist,135.17,29.17,member,2026-06-28T17:49:00-08:00,false
GUST_13f98cad,COMP_84a7151a,Helen,2007),helen2007)8@comcast.net,Product,Content Writer,152.48,46.48,viewer,2026-06-13T08:56:00-08:00,true
GUST_b05bc3cc,COMP_84e2ca50,Linda,1957),linda.1957)@att.net,Legal,Account Manager,169.79,63.79,editor,2026-05-26T11:03:00-08:00,true
GUST_aca4b885,COMP_14595d7b,Frank,1958),frank.1958)@bellsouth.net,Research & Development,Support Agent,186.10,80.10,owner,2026-05-09T14:10:00-08:00,false
GUST_a777f3a6,COMP_7130d48d,Connie,1960),connie1960)@charter.net,Information Technology,QA Engineer,203.41,97.41,contributor,2026-04-22T17:17:00-08:00,true
