id,employee_id,job_title,rate,payment_unit,flsa_status,effective_date
GUST_09dd0f6c,EMPL_3749deda,Software Engineer,16.00,11.00,admin,2026-10-28T08:00:00-08:00
GUST_88fa5907,EMPL_cc5bb89e,Product Manager,33.31,28.31,member,2026-10-12T11:07:00-08:00
GUST_226202c8,EMPL_78c687be,Designer,50.62,45.62,viewer,2026-09-25T14:14:00-08:00
GUST_ccf844c2,EMPL_b3af9b9f,Data Analyst,67.93,62.93,editor,2026-09-08T17:21:00-08:00
GUST_5e7f38fc,EMPL_1622f127,Marketing Manager,84.24,79.24,owner,2026-08-21T08:28:00-08:00
GUST_dc837867,EMPL_002d7f74,Sales Rep,101.55,96.55,contributor,2026-08-04T11:35:00-08:00
GUST_68bb3078,EMPL_587cc8d6,Operations Lead,118.86,12.86,admin,2026-07-17T14:42:00-08:00
GUST_d1568e5a,EMPL_416fe4e6,HR Specialist,135.17,29.17,member,2026-06-28T17:49:00-08:00
GUST_13f98cad,EMPL_34e8831d,Content Writer,152.48,46.48,viewer,2026-06-13T08:56:00-08:00
GUST_b05bc3cc,EMPL_5c375594,Account Manager,169.79,63.79,editor,2026-05-26T11:03:00-08:00
GUST_aca4b885,EMPL_5329ccd2,Support Agent,186.10,80.10,owner,2026-05-09T14:10:00-08:00
GUST_a777f3a6,EMPL_68bd7606,QA Engineer,203.41,97.41,contributor,2026-04-22T17:17:00-08:00
GUST_a5ee3203,EMPL_e998192d,DevOps Engineer,220.72,13.72,admin,2026-04-05T08:24:00-08:00
GUST_9b601785,EMPL_2846f28f,Finance Analyst,237.03,30.03,member,2026-03-18T11:31:00-08:00
GUST_2d892db1,EMPL_658a955d,Project Manager,254.34,47.34,viewer,2026-03-01T14:38:00-08:00
GUST_c4aa11e7,EMPL_d5e8bea9,Senior Software Engineer,271.65,64.65,editor,2026-02-14T17:45:00-08:00
GUST_44751f7c,EMPL_196a1c53,Staff Engineer,288.96,81.96,owner,2026-01-27T08:52:00-08:00
GUST_d9b43519,EMPL_2a19f6da,Principal Architect,305.27,98.27,contributor,2026-01-10T11:59:00-08:00
GUST_74759faa,EMPL_3c109511,Engineering Manager,322.58,14.58,admin,2025-12-28T14:06:00-08:00
GUST_2e828bdd,EMPL_0785b27a,VP of Engineering,339.89,31.89,member,2025-12-11T17:13:00-08:00
GUST_a2facae2,EMPL_8f9cbc37,CTO,356.20,48.20,viewer,2025-11-24T08:20:00-08:00
GUST_1dc5484e,EMPL_64cd81ff,CFO,373.51,65.51,editor,2025-11-07T11:27:00-08:00
GUST_4c930685,EMPL_69156be6,COO,390.82,82.82,owner,2026-10-20T14:34:00-08:00
GUST_46bf5126,EMPL_f0cdbbfb,Chief of Staff,407.13,99.13,contributor,2026-10-03T17:41:00-08:00
GUST_5da41c3e,EMPL_c0b46fbe,Director of Operations,424.44,15.44,admin,2026-09-16T08:48:00-08:00
GUST_b95f130b,EMPL_dac04755,General Manager,441.75,32.75,member,2026-08-28T11:55:00-08:00
GUST_2ce9b41a,EMPL_e3a44ceb,Business Analyst,458.06,49.06,viewer,2026-08-12T14:02:00-08:00
GUST_2f531789,EMPL_62e3bd41,Systems Administrator,475.37,66.37,editor,2026-07-25T17:09:00-08:00
GUST_1e5b5d6c,EMPL_bbcfffd6,Database Administrator,492.68,83.68,owner,2026-07-08T08:16:00-08:00
GUST_acc6f4c4,EMPL_66fcc8ae,Network Engineer,13.99,100.99,contributor,2026-06-21T11:23:00-08:00
