Name	Relationship	Phone	Email	Notes
Linda Petersen-Chen	Daughter	(412) 555-0312	linda.petersenchen@gmail.com	Mt. Lebanon, Sunday dinners
Kevin Chen	Son-in-law	(412) 555-0319	kevin.chen@gmail.com	IT help, good guy
Steve Petersen III	Son	(412) 555-0326	steve.petersen3@gmail.com	Lawrenceville, recovery
Mary Petersen	Mother	(412) 555-0333		Greenfield Senior Living, calls and visits
Donnie Brezinski	Best friend	(412) 555-0340	donnie.brezinski@gmail.com	Bowling, poker, Steelers
Carol Brezinski	Friend	(412) 555-0347	carol.brezinski@gmail.com	Social events, holidays
Ray Guzman	Work colleague	(412) 555-0354	ray.guzman@gmail.com	Trade academy, fellow trainer
Father Stanislaw Nowak	Pastor	(412) 555-0361	father.nowak@gmail.com	St. Michael's, pastoral care
Rose Petersen-Barrett	Sister	(412) 555-0368	rose.barrett@gmail.com	Squirrel Hill, shares mother's care
Harold Novak	CPA	(412) 555-0375	harold.novak@gmail.com	Tax preparation, annual
Dr. Joseph Petrosky	Doctor	(412) 555-0382		Southside Medical Associates
