contact_id,name,first_name,last_name,email,is_customer,is_supplier,status,account_number
cxgrantsub00000000000000000000001,Voices of the Past: Foundation Grant Subaccount,,,grants@cornerstone-museum.example,false,true,ACTIVE,VPOFG-2026
cxcoinbasesettlement00000000000001,Coinbase Commerce Settlement,,,settlement@coinbase-commerce.example,true,false,ACTIVE,CCS-2026
cxvendor-bhmcustom0000000000000001,BHM Custom Fabrication,Reggie,Lloyd,ar@bhm-custom-fab.example,false,true,ACTIVE,BHMC-001
cxvendor-stationflow000000000001,Stationflow Inc,Nora,Penczek,ar@stationflow.example,false,true,ACTIVE,STN-001
cxvendor-soundshield00000000001,SoundShield Studios,Mike,Avery,ar@soundshield.example,false,true,ACTIVE,SSS-001
cxvendor-magnolia0000000000001,Magnolia Conservation LLC,Janelle,Daly,ar@magnolia-conservation.example,false,true,ACTIVE,MAG-001
cxvendor-cornerstonecat0000001,Cornerstone Catering Co,Wesley,Boyd,ar@cornerstone-catering.example,false,true,ACTIVE,CCC-001
cxvendor-magiccityprint000001,Magic City Print Group,Penny,Holloway,ar@magiccity-print.example,false,true,ACTIVE,MCP-001
cxdonor-bridgeforth0000000001,Bridgeforth Family Charitable Trust,Eldridge,Bridgeforth,trustee@bridgeforth-charitable.example,true,false,ACTIVE,BFCT-001
cxdonor-civicfriends0000000001,Civic Friends of Crestwood,Glenda,Holmes,treasurer@civic-friends.example,true,false,ACTIVE,CFC-001
cxfill000000000000000000000000101,Vista Acoustics,Vista,,ar@vista.example,false,true,ACTIVE,VF-0001
cxfill000000000000000000000000102,Heritage Fine Arts Shipping LLC,Heritage,,ar@heritage.example,false,true,ACTIVE,VF-0002
cxfill000000000000000000000000103,Foothills HVAC,Foothills,,ar@foothills.example,false,true,ACTIVE,VF-0003
cxfill000000000000000000000000104,Riverbend Janitorial,Riverbend,,ar@riverbend.example,false,true,ACTIVE,VF-0004
cxfill000000000000000000000000105,Magic City Office Supply,Magic,,ar@magic.example,false,true,ACTIVE,VF-0005
cxfill000000000000000000000000106,Birmingham Photo Lab,Birmingham,,ar@birmingham.example,false,true,ACTIVE,VF-0006
cxfill000000000000000000000000107,Cahaba Graphic Design,Cahaba,,ar@cahaba.example,false,true,ACTIVE,VF-0007
cxfill000000000000000000000000108,Pratt Stage Rentals,Pratt,,ar@pratt.example,false,true,ACTIVE,VF-0008
