Id,DisplayName,GivenName,FamilyName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr,Balance,Active,Job,Notes
1,Matter 0419 Client,,,,,,"{""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70130""}",8500.00,true,false,Expected deposit pending
201,Delacroix Client,Delacroix,Client,Delacroix LLC,"{""Address"": ""client1@example.com""}","{""FreeFormNumber"": ""+15045553001""}","{""Line1"": ""101 Canal St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70111""}",150.00,true,false,Matter Delacroix
202,Boudreaux Client,Boudreaux,Client,Boudreaux LLC,"{""Address"": ""client2@example.com""}","{""FreeFormNumber"": ""+15045553002""}","{""Line1"": ""102 Canal St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70112""}",300.00,true,false,Matter Boudreaux
203,Arceneaux Client,Arceneaux,Client,Arceneaux LLC,"{""Address"": ""client3@example.com""}","{""FreeFormNumber"": ""+15045553003""}","{""Line1"": ""103 Canal St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70113""}",450.00,true,false,Matter Arceneaux
204,Fontaine Client,Fontaine,Client,Fontaine LLC,"{""Address"": ""client4@example.com""}","{""FreeFormNumber"": ""+15045553004""}","{""Line1"": ""104 Canal St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70114""}",600.00,true,false,Matter Fontaine
205,Guidry Client,Guidry,Client,Guidry LLC,"{""Address"": ""client5@example.com""}","{""FreeFormNumber"": ""+15045553005""}","{""Line1"": ""105 Canal St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70115""}",750.00,true,false,Matter Guidry
206,Hebert Client,Hebert,Client,Hebert LLC,"{""Address"": ""client6@example.com""}","{""FreeFormNumber"": ""+15045553006""}","{""Line1"": ""106 Canal St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70116""}",900.00,true,false,Matter Hebert
207,Landry Client,Landry,Client,Landry LLC,"{""Address"": ""client7@example.com""}","{""FreeFormNumber"": ""+15045553007""}","{""Line1"": ""107 Canal St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70117""}",1050.00,true,false,Matter Landry
208,Maddox Client,Maddox,Client,Maddox LLC,"{""Address"": ""client8@example.com""}","{""FreeFormNumber"": ""+15045553008""}","{""Line1"": ""108 Canal St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70118""}",1200.00,true,false,Matter Maddox
209,Naquin Client,Naquin,Client,Naquin LLC,"{""Address"": ""client9@example.com""}","{""FreeFormNumber"": ""+15045553009""}","{""Line1"": ""109 Canal St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70119""}",1350.00,true,false,Matter Naquin
210,Ortega Client,Ortega,Client,Ortega LLC,"{""Address"": ""client10@example.com""}","{""FreeFormNumber"": ""+15045553010""}","{""Line1"": ""110 Canal St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70110""}",1500.00,true,false,Matter Ortega
211,Prejean Client,Prejean,Client,Prejean LLC,"{""Address"": ""client11@example.com""}","{""FreeFormNumber"": ""+15045553011""}","{""Line1"": ""111 Canal St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70111""}",1650.00,true,false,Matter Prejean
212,Robicheaux Client,Robicheaux,Client,Robicheaux LLC,"{""Address"": ""client12@example.com""}","{""FreeFormNumber"": ""+15045553012""}","{""Line1"": ""112 Canal St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70112""}",1800.00,true,false,Matter Robicheaux
213,Savoy Client,Savoy,Client,Savoy LLC,"{""Address"": ""client13@example.com""}","{""FreeFormNumber"": ""+15045553013""}","{""Line1"": ""113 Canal St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70113""}",1950.00,true,false,Matter Savoy
214,Trahan Client,Trahan,Client,Trahan LLC,"{""Address"": ""client14@example.com""}","{""FreeFormNumber"": ""+15045553014""}","{""Line1"": ""114 Canal St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70114""}",2100.00,true,false,Matter Trahan
215,Vidrine Client,Vidrine,Client,Vidrine LLC,"{""Address"": ""client15@example.com""}","{""FreeFormNumber"": ""+15045553015""}","{""Line1"": ""115 Canal St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70115""}",2250.00,true,false,Matter Vidrine
