name,email,tag_set_on,last_activity_in_hubspot,in_airtable_roster,memo,stale_reason,is_duplicate_of
Brianna Mendez,bri.mendez@gmail.com,2026-06-08,2026-06-08,True,,,
Hailey Park,hailey.park.dance@gmail.com,2026-06-08,2026-06-08,True,,,
Megan Rodriguez,meg.rod95@gmail.com,2026-06-08,2026-06-08,True,,,
Sophia Liu,sophie.liu.pa@gmail.com,2026-06-08,2026-06-08,True,,,
Caitlyn Brennan,caitlyn.b@yahoo.com,2026-06-08,2026-06-08,True,,,
Tasha Owens,tasha.owens@outlook.com,2026-06-08,2026-06-08,True,,,
Maya Kapoor,maya.k@hotmail.com,2026-06-08,2026-06-08,True,,,
Olivia Tran,olivia.t.berks@gmail.com,2026-06-08,2026-06-08,True,,,
Rachel Goldberg,rachel.goldberg.dance@gmail.com,2026-06-08,2026-06-08,True,,,
Priya Iyer,priya@iyertaxpa.com,2026-06-08,2026-06-08,True,,,
Jennifer Holcomb,jen.holcomb@gmail.com,2026-06-08,2026-06-08,True,,,
Carla Reyes,carla.reyes.lancaster@gmail.com,2026-06-08,2026-06-08,True,,,
Elena Vasquez,elena.vee@protonmail.com,2026-06-08,2026-06-08,True,,,
Yara Khalil,yara.khalil.dance@gmail.com,2026-06-08,2026-06-08,True,,,
Mia Whitfield,mia.whit@gmail.com,2026-06-08,2026-06-08,True,,,
Deborah Hsu,deborah.hsu.md@gmail.com,2026-06-08,2026-06-08,True,,,
Tara Ng,tara.ng@outlook.com,2026-06-08,2026-06-08,True,,,
Anastasia Reilly,anastasia.reilly@gmail.com,2026-06-08,2026-06-08,True,,,
Diane Petrenko,diane.petrenko@verizon.net,2026-06-08,2026-06-08,True,,,
Linda Stamatakis,linda.stam@yahoo.com,2026-06-08,2026-06-08,True,,,
Beth Hartley,bethh@gmail.com,2026-06-08,2026-06-08,True,,,
Nicole Kearney,nicole.k.wyomissing@gmail.com,2026-06-08,2026-06-08,True,,,
Ashley Bauer,ashley.bauer.pa@gmail.com,2026-06-08,2026-06-08,True,,,
Vanessa Choi,vchoi.berks@gmail.com,2026-06-08,2026-06-08,True,,,
Lisa Truong,lisa.truong@gmail.com,2026-06-08,2026-06-08,True,,,
Erin Donaldson,erin.donaldson@gmail.com,2026-06-08,2026-06-08,True,,,
Maria Concepcion,maria.concepcion@gmail.com,2026-06-08,2026-06-08,True,,,
Hannah Ruiz,hannah.ruiz.berks@gmail.com,2026-06-08,2026-06-08,True,,,
Sarah O'Connell,soconnell.dance@gmail.com,2026-06-08,2026-06-08,True,,,
Tina Mwangi,tina.mwangi.pa@gmail.com,2026-06-08,2026-06-08,True,,,
Jess Reyes,jess.reyes.weds@gmail.com,2026-06-08,2026-06-08,True,"This is Amanda's best friend Jess, who came to a handful of classes early in the year. Should not be confused with student rate.",,
Renee Atkins,renee.atkins@gmail.com,2026-06-08,2026-06-08,True,,,
Kelly DiSanto,kdisanto.pa@gmail.com,2026-06-08,2026-06-08,True,,,
Amber Rosario,amber.rosario@gmail.com,2026-06-08,2026-06-08,True,,,
Patricia Wong,pwong.dance@gmail.com,2026-06-08,2026-06-08,True,,,
Janelle Foster,janelle.foster@gmail.com,2026-06-08,2026-06-08,True,,,
Crystal Aguilar,crystal.aguilar.berks@gmail.com,2026-06-08,2026-06-08,True,,,
Frances Boyle,fran.boyle@gmail.com,2026-06-08,2026-06-08,True,,,
Marie LeClair,marie.leclair@gmail.com,2026-06-08,2026-06-08,True,,,
Bethany Carter,bethany.carter.dance@gmail.com,2026-06-08,2026-06-08,True,,,
Rosa Iglesias,rosa.iglesias@gmail.com,2026-06-08,2026-06-08,True,,,
Sasha Kim,sasha.kim.pa@gmail.com,2026-06-08,2026-06-08,True,,,
Hope Mitchell,hope.mitchell@gmail.com,2026-06-08,2026-06-08,True,,,
Stephanie Quinn,steph.quinn@hotmail.com,2026-06-08,2026-06-08,False,,"Came to two Beginner Mon classes in April 2026, never returned. Email still subscribed to newsletter.",
Rebecca Wang,becky.wang.dance@gmail.com,2026-06-08,2026-06-08,False,,One drop-in May 2026. No follow-up.,
Allison Chen,ali.chen.pa@gmail.com,2026-06-08,2026-06-08,False,,One drop-in May 2026.,
Charlotte Davies,charlotte.davies@gmail.com,2026-06-08,2026-06-08,False,,"Tried Open Sat in March, moved to Philadelphia in April.",
Megan A. Rodriguez,megan.a.rodriguez@gmail.com,2026-06-08,2026-06-08,False,,"Duplicate of Megan Rodriguez (different email format from the same import). Same person, double-listed.",Megan Rodriguez
Pri Iyer,p.iyer.dance@gmail.com,2026-06-08,2026-06-08,False,,Duplicate of Priya Iyer (Priya used a personal Gmail to RSVP to a spring pop-up; CRM treated as new contact).,Priya Iyer
Holly Sherwood,holly.sherwood.79@yahoo.com,2026-06-08,2026-06-08,False,,Two Beginner Mon classes February 2026. Stopped coming.,
Lauren Bly,lauren.bly@gmail.com,2026-06-08,2026-06-08,False,,One drop-in February 2026.,
Cassandra Pope,cassandra.pope@gmail.com,2026-06-08,2026-06-08,False,,One drop-in March 2026.,
