date,buyer_name_on_receipt,amount,card_brand,last_four,captured_by,memo
2026-10-07,Brianna Mendez,30.0,Visa,1182,Nat Taveras,
2026-10-07,Hailey Park,30.0,Visa,0824,,
2026-10-07,Megan Rodriguez,30.0,Mastercard,5510,,Also on the Eventbrite list. Duplicate.
2026-10-07,Sophia Liu,30.0,Visa,7734,,
2026-10-07,Caitlyn Brennan,30.0,Amex,1003,,
2026-10-07,Tasha Owens,30.0,Visa,9921,,
2026-10-07,Maya Kapoor,30.0,Visa,4187,,Also on the Eventbrite list. Duplicate.
2026-10-07,Olivia Tran,30.0,Visa,2298,,
2026-10-10,Rachel Goldberg,30.0,Visa,5610,,Also on the Eventbrite list. Duplicate.
2026-10-10,Priya Iyer,30.0,Visa,0048,,"Same Priya as the CPA, also a Saturday Open regular."
2026-10-10,Jennifer Holcomb,30.0,Mastercard,3320,,
2026-10-10,Carla Reyes,30.0,Visa,8841,,Jess Reyes's cousin. Not the same Reyes.
2026-10-10,Elena Vasquez,30.0,Visa,6602,,Also on the Eventbrite list. Duplicate.
2026-10-10,Yara Khalil,30.0,Visa,4419,,
2026-10-10,Mia Whitfield,30.0,Visa,7281,,Also on the Eventbrite list. Duplicate.
2026-10-10,Deborah Hsu,30.0,Amex,1140,,
2026-10-10,Tara Ng,30.0,Visa,2002,,
2026-10-10,Anastasia Reilly,30.0,Mastercard,9047,,Also on the Eventbrite list. Duplicate.
