date,sender_name,amount_usd,memo
2026-10-04,Diane Petrenko,80.0,Beginner Mon four-week refresh.
2026-09-30,Linda Stamatakis,135.0,10-class punch card. Linda has done this since 2024.
2026-09-28,Rachel Goldberg,22.0,Saturday Open drop-in. Same Rachel who also bought the Halloween 3-pack via Stripe and showed up in the Square Halloween sign-up sheet.
2026-09-15,Diane Petrenko,22.0,Drop-in Beginner Mon.
2026-09-07,Linda Stamatakis,22.0,Drop-in Open Sat.
2026-08-30,Diane Petrenko,80.0,Four-week pass.
2026-08-23,Beth Hartley,60.0,Online class package — Beth pays monthly via PayPal because her card kept failing the auto-pay setup.
2026-08-15,Linda Stamatakis,22.0,Drop-in.
2026-07-26,Diane Petrenko,80.0,Four-week pass.
2026-07-22,Beth Hartley,60.0,Monthly class package.
