id,name,type,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,start_date,kudos_count,segment_id
9000001,Morning Run with Priya,Run,4828.0,1800,1860,12.0,2.68,2026-09-24T06:30:00Z,8,
9000002,Sunday Basketball,Workout,0,5400,5400,0,0,2026-09-24T13:00:00Z,3,
9000003,Evening Jog - Roosevelt Park,Run,3218.0,1500,1550,8.0,2.15,2026-09-20T18:00:00Z,5,
9000004,Sunday Basketball,Workout,0,5400,5400,0,0,2026-09-17T13:00:00Z,4,
9000005,Evening jog,Walk,3904.8,1319,1562,37.9,2.96,2026-08-06T07:00:00-04:00,26,
9000006,Evening jog,Walk,11023.6,3187,3428,16.6,3.46,2026-02-13T07:00:00-04:00,15,
9000007,Evening jog,Ride,11551.4,692,914,21.5,16.69,2026-06-15T07:00:00-04:00,21,
9000008,Weekend ride,Workout,3794.1,3623,3630,7.2,1.05,2026-02-07T07:00:00-04:00,30,
9000009,Morning run with Priya,Basketball,5662.8,700,894,1.3,8.09,2026-05-08T07:00:00-04:00,21,
9000010,Weekend ride,Ride,9022.4,957,1034,116.7,9.43,2026-03-22T07:00:00-04:00,0,
9000011,Evening jog,Workout,9557.0,2238,2328,49.0,4.27,2026-02-18T07:00:00-04:00,18,
9000012,Sunday basketball run,Walk,7044.7,758,912,118.6,9.29,2026-09-12T07:00:00-04:00,27,
9000013,Evening jog,Walk,4816.1,3097,3159,67.8,1.56,2026-06-16T07:00:00-04:00,13,
9000014,Weekend ride,Basketball,7462.4,1409,1708,79.7,5.3,2026-01-27T07:00:00-04:00,11,
9000015,Lunch walk,Walk,10240.9,4444,4521,88.0,2.3,2026-05-01T07:00:00-04:00,5,
9000016,Evening jog,Workout,7825.0,914,1101,8.4,8.56,2026-02-27T07:00:00-04:00,11,
9000017,Sunday basketball run,Basketball,3394.9,766,923,70.8,4.43,2026-06-07T07:00:00-04:00,4,
9000018,Morning run with Priya,Ride,7617.2,2687,2947,118.2,2.83,2026-06-17T07:00:00-04:00,29,
9000019,Evening jog,Basketball,11106.1,951,1001,91.9,11.68,2026-05-23T07:00:00-04:00,27,
9000020,Morning run with Priya,Workout,4274.7,3821,3965,2.4,1.12,2026-01-27T07:00:00-04:00,29,
9000021,Weekend ride,Run,8115.1,2703,2995,77.3,3.0,2026-08-10T07:00:00-04:00,30,
9000022,Weekend ride,Run,3237.8,1073,1342,90.1,3.02,2026-05-25T07:00:00-04:00,4,
9000023,Evening jog,Walk,11518.5,4081,4376,62.9,2.82,2026-06-13T07:00:00-04:00,1,
9000024,Evening jog,Ride,11203.5,821,1001,10.4,13.65,2026-07-25T07:00:00-04:00,2,
9000025,Morning run with Priya,Run,11598.9,4235,4424,63.3,2.74,2026-04-18T07:00:00-04:00,22,
9000026,Lunch walk,Walk,3567.4,718,870,75.4,4.97,2026-08-24T07:00:00-04:00,21,
9000027,Weekend ride,Workout,8703.0,3845,3856,75.2,2.26,2026-07-07T07:00:00-04:00,30,
9000028,Sunday basketball run,Workout,6255.6,1908,2052,81.7,3.28,2026-07-02T07:00:00-04:00,9,
9000029,Morning run with Priya,Run,3702.3,2620,2626,38.4,1.41,2026-04-15T07:00:00-04:00,5,
9000030,Evening jog,Basketball,2241.6,1589,1785,97.4,1.41,2026-08-09T07:00:00-04:00,18,
9000031,Weekend ride,Walk,6231.0,711,988,60.0,8.76,2026-08-25T07:00:00-04:00,27,
9000032,Morning run with Priya,Run,1606.4,3999,4120,110.3,0.4,2026-04-24T07:00:00-04:00,7,
9000033,Weekend ride,Workout,3140.9,4320,4343,71.7,0.73,2026-02-02T07:00:00-04:00,16,
9000034,Sunday basketball run,Run,2423.4,3397,3539,2.9,0.71,2026-02-28T07:00:00-04:00,1,
9000035,Weekend ride,Basketball,4255.6,971,1061,106.9,4.38,2026-02-09T07:00:00-04:00,26,
9000036,Weekend ride,Basketball,5267.3,3209,3355,32.8,1.64,2026-03-26T07:00:00-04:00,15,
9000037,Morning run with Priya,Ride,7341.9,1940,2187,17.4,3.78,2026-08-13T07:00:00-04:00,4,
9000038,Lunch walk,Workout,10183.5,4677,4877,61.9,2.18,2026-09-24T07:00:00-04:00,20,
9000039,Morning run with Priya,Workout,10975.3,2295,2461,67.8,4.78,2026-08-09T07:00:00-04:00,20,
9000040,Sunday basketball run,Basketball,9204.4,1647,1806,80.7,5.59,2026-06-25T07:00:00-04:00,17,
9000041,Lunch walk,Basketball,7522.8,1884,1932,88.3,3.99,2026-02-28T07:00:00-04:00,10,
9000042,Sunday basketball run,Walk,7108.4,1257,1464,63.8,5.66,2026-09-28T07:00:00-04:00,4,
9000043,Morning run with Priya,Ride,3073.2,3679,3962,96.4,0.84,2026-07-06T07:00:00-04:00,28,
9000044,Evening jog,Ride,3749.2,4213,4348,39.6,0.89,2026-02-25T07:00:00-04:00,18,
9000045,Morning run with Priya,Ride,4670.4,3914,3991,28.5,1.19,2026-04-14T07:00:00-04:00,11,
9000046,Weekend ride,Run,5609.2,1528,1735,73.3,3.67,2026-04-22T07:00:00-04:00,14,
9000047,Morning run with Priya,Ride,1512.3,1559,1739,46.9,0.97,2026-04-20T07:00:00-04:00,2,
9000048,Lunch walk,Basketball,10605.4,4196,4390,71.0,2.53,2026-03-16T07:00:00-04:00,28,
9000049,Sunday basketball run,Run,8381.2,4752,4888,39.2,1.76,2026-06-16T07:00:00-04:00,29,
9000050,Weekend ride,Run,4057.4,3465,3757,75.8,1.17,2026-02-04T07:00:00-04:00,3,
9000051,Morning run with Priya,Basketball,8595.5,3433,3591,66.0,2.5,2026-02-17T07:00:00-04:00,0,
9000052,Sunday basketball run,Workout,4403.6,3628,3804,67.4,1.21,2026-03-25T07:00:00-04:00,11,
9000053,Lunch walk,Ride,2147.9,2444,2631,5.9,0.88,2026-08-11T07:00:00-04:00,16,
9000054,Morning run with Priya,Basketball,10985.7,4689,4741,90.1,2.34,2026-03-14T07:00:00-04:00,2,
9000055,Weekend ride,Ride,9251.2,1718,1906,0.5,5.38,2026-01-14T07:00:00-04:00,1,
9000056,Sunday basketball run,Workout,11049.1,3804,4019,64.4,2.9,2026-03-02T07:00:00-04:00,18,
9000057,Weekend ride,Ride,3170.0,2388,2438,101.8,1.33,2026-07-06T07:00:00-04:00,22,
9000058,Morning run with Priya,Ride,6017.6,611,829,53.6,9.85,2026-02-25T07:00:00-04:00,23,
