id,createdTime,Name,Status,Owner,Budget
recProj0000000001,2026-10-01T00:00:00.000Z,Mortgage,On Track,Angela Pham,3400.0
recProj0000000002,2026-10-01T00:00:00.000Z,Childcare,On Track,Angela Pham,1830.0
recProj0000000003,2026-10-01T00:00:00.000Z,529 Contributions,On Track,Angela Pham,1000.0
recProj0000000004,2026-10-01T00:00:00.000Z,Groceries,Pending,Angela Pham,800.0
recProj0000000005,2026-10-01T00:00:00.000Z,Utilities,Pending,Angela Pham,350.0
recProj0000000006,2026-10-01T00:00:00.000Z,Healthcare,On Track,Angela Pham,160.0
recProj0000000007,2026-10-01T00:00:00.000Z,Transportation,Pending,Angela Pham,400.0
recProj0000000008,2026-10-01T00:00:00.000Z,Dining,Pending,Angela Pham,300.0
recProj0000000009,2026-10-01T00:00:00.000Z,Recreation,On Track,Angela Pham,425.0
recProj0000000010,2026-10-01T00:00:00.000Z,Professional,Over Budget,Angela Pham,350.0
recProj0000000011,2026-10-01T00:00:00.000Z,Subscriptions,Pending,Angela Pham,150.0
recProj0000000012,2026-10-01T00:00:00.000Z,Misc,Pending,Angela Pham,200.0
recProj0000000013,2026-06-03T06:45:00.000Z,Misc,Over Budget,Angela Pham,3400.0
recProj0000000014,2026-07-01T15:15:00.000Z,Dining,Pending,Angela Pham,300.0
recProj0000000015,2026-09-28T18:30:00.000Z,Utilities,On Track,Angela Pham,350.0
recProj0000000016,2026-07-25T20:30:00.000Z,Misc,Pending,Angela Pham,1830.0
recProj0000000017,2026-06-24T13:00:00.000Z,529 Contributions,Over Budget,Angela Pham,400.0
recProj0000000018,2026-08-02T21:15:00.000Z,Healthcare,Over Budget,Angela Pham,1830.0
recProj0000000019,2026-11-04T07:15:00.000Z,Mortgage,Over Budget,Angela Pham,425.0
recProj0000000020,2026-11-13T16:45:00.000Z,Transportation,Over Budget,Angela Pham,150.0
recProj0000000021,2026-07-06T15:30:00.000Z,Misc,Over Budget,Angela Pham,150.0
recProj0000000022,2026-10-06T06:00:00.000Z,Childcare,On Track,Angela Pham,1830.0
recProj0000000023,2026-09-17T22:30:00.000Z,Dining,On Track,Angela Pham,200.0
recProj0000000024,2026-11-21T09:00:00.000Z,Subscriptions,On Track,Angela Pham,1000.0
recProj0000000025,2026-09-17T06:00:00.000Z,529 Contributions,On Track,Angela Pham,350.0
recProj0000000026,2026-07-27T09:00:00.000Z,Transportation,On Track,Angela Pham,400.0
recProj0000000027,2026-11-26T16:00:00.000Z,Transportation,On Track,Angela Pham,150.0
recProj0000000028,2026-06-09T18:15:00.000Z,Healthcare,Over Budget,Angela Pham,425.0
recProj0000000029,2026-07-02T20:00:00.000Z,Childcare,Pending,Angela Pham,1000.0
recProj0000000030,2026-09-10T06:30:00.000Z,Utilities,Over Budget,Angela Pham,1830.0
recProj0000000031,2026-07-02T08:15:00.000Z,Dining,Pending,Angela Pham,3400.0
recProj0000000032,2026-08-16T13:00:00.000Z,Recreation,Over Budget,Angela Pham,400.0
recProj0000000033,2026-09-02T07:30:00.000Z,Subscriptions,On Track,Angela Pham,1830.0
recProj0000000034,2026-08-11T06:00:00.000Z,Professional,Pending,Angela Pham,200.0
recProj0000000035,2026-08-02T20:45:00.000Z,Transportation,Pending,Angela Pham,160.0
recProj0000000036,2026-06-03T20:45:00.000Z,Misc,On Track,Angela Pham,160.0
recProj0000000037,2026-06-08T11:00:00.000Z,Subscriptions,Pending,Angela Pham,1000.0
recProj0000000038,2026-10-17T20:00:00.000Z,Mortgage,On Track,Angela Pham,3400.0
recProj0000000039,2026-06-15T09:00:00.000Z,Healthcare,Pending,Angela Pham,1830.0
recProj0000000040,2026-08-06T12:45:00.000Z,Childcare,Pending,Angela Pham,200.0
recProj0000000041,2026-11-01T17:45:00.000Z,Mortgage,Over Budget,Angela Pham,350.0
recProj0000000042,2026-08-27T10:15:00.000Z,Dining,On Track,Angela Pham,3400.0
recProj0000000043,2026-08-11T06:30:00.000Z,Childcare,Pending,Angela Pham,200.0
recProj0000000044,2026-10-22T21:15:00.000Z,Utilities,On Track,Angela Pham,1830.0
recProj0000000045,2026-11-23T21:45:00.000Z,Healthcare,On Track,Angela Pham,800.0
recProj0000000046,2026-08-25T19:00:00.000Z,Childcare,On Track,Angela Pham,350.0
recProj0000000047,2026-07-21T09:45:00.000Z,Subscriptions,Pending,Angela Pham,200.0
recProj0000000048,2026-08-12T14:15:00.000Z,Professional,On Track,Angela Pham,400.0
recProj0000000049,2026-08-09T11:45:00.000Z,Recreation,On Track,Angela Pham,800.0
recProj0000000050,2026-07-04T07:00:00.000Z,Misc,Pending,Angela Pham,350.0
recProj0000000051,2026-07-07T12:15:00.000Z,529 Contributions,Over Budget,Angela Pham,425.0
recProj0000000052,2026-06-22T12:00:00.000Z,Professional,On Track,Angela Pham,200.0
recProj0000000053,2026-11-20T06:15:00.000Z,Recreation,On Track,Angela Pham,1830.0
recProj0000000054,2026-11-14T18:45:00.000Z,Mortgage,Over Budget,Angela Pham,350.0
recProj0000000055,2026-07-03T17:15:00.000Z,Transportation,Pending,Angela Pham,200.0
recProj0000000056,2026-10-18T12:15:00.000Z,Professional,On Track,Angela Pham,3400.0
recProj0000000057,2026-08-03T18:30:00.000Z,Recreation,Over Budget,Angela Pham,1830.0
recProj0000000058,2026-06-02T17:15:00.000Z,Professional,Pending,Angela Pham,400.0
recProj0000000059,2026-09-26T08:45:00.000Z,Utilities,Over Budget,Angela Pham,300.0
recProj0000000060,2026-07-21T17:30:00.000Z,Subscriptions,Over Budget,Angela Pham,1830.0
recProj0000000061,2026-11-15T16:00:00.000Z,Childcare,Over Budget,Angela Pham,425.0
recProj0000000062,2026-10-14T19:45:00.000Z,Subscriptions,Over Budget,Angela Pham,425.0
recProj0000000063,2026-08-12T22:00:00.000Z,Recreation,Over Budget,Angela Pham,800.0
recProj0000000064,2026-08-19T14:45:00.000Z,529 Contributions,On Track,Angela Pham,800.0
recProj0000000065,2026-10-08T08:15:00.000Z,529 Contributions,Pending,Angela Pham,150.0
recProj0000000066,2026-07-26T16:30:00.000Z,Utilities,Pending,Angela Pham,160.0
recProj0000000067,2026-10-08T12:00:00.000Z,Groceries,On Track,Angela Pham,1830.0
recProj0000000068,2026-09-03T06:30:00.000Z,Professional,On Track,Angela Pham,200.0
recProj0000000069,2026-11-10T09:00:00.000Z,Transportation,On Track,Angela Pham,150.0
recProj0000000070,2026-07-22T08:15:00.000Z,Groceries,On Track,Angela Pham,160.0
recProj0000000071,2026-09-20T09:15:00.000Z,Professional,On Track,Angela Pham,3400.0
recProj0000000072,2026-07-17T13:45:00.000Z,Childcare,On Track,Angela Pham,200.0
recProj0000000073,2026-07-12T08:15:00.000Z,Recreation,On Track,Angela Pham,425.0
recProj0000000074,2026-09-04T08:45:00.000Z,Utilities,On Track,Angela Pham,400.0
recProj0000000075,2026-06-10T10:15:00.000Z,Subscriptions,Pending,Angela Pham,150.0
recProj0000000076,2026-07-07T15:00:00.000Z,Groceries,Pending,Angela Pham,800.0
recProj0000000077,2026-06-15T20:45:00.000Z,Recreation,Over Budget,Angela Pham,800.0
recProj0000000078,2026-06-04T06:45:00.000Z,Misc,Pending,Angela Pham,400.0
recProj0000000079,2026-10-23T20:45:00.000Z,Healthcare,Pending,Angela Pham,300.0
recProj0000000080,2026-11-02T16:45:00.000Z,Healthcare,On Track,Angela Pham,800.0
recProj0000000081,2026-10-18T15:00:00.000Z,529 Contributions,On Track,Angela Pham,200.0
recProj0000000082,2026-09-01T09:30:00.000Z,Dining,On Track,Angela Pham,1830.0
recProj0000000083,2026-09-11T14:45:00.000Z,529 Contributions,Over Budget,Angela Pham,1000.0
recProj0000000084,2026-10-05T22:15:00.000Z,529 Contributions,Pending,Angela Pham,150.0
recProj0000000085,2026-08-24T10:15:00.000Z,Childcare,On Track,Angela Pham,800.0
recProj0000000086,2026-10-23T21:15:00.000Z,Healthcare,On Track,Angela Pham,1830.0
recProj0000000087,2026-08-16T10:30:00.000Z,Utilities,Over Budget,Angela Pham,200.0
recProj0000000088,2026-09-06T21:15:00.000Z,Groceries,On Track,Angela Pham,425.0
recProj0000000089,2026-08-07T14:30:00.000Z,Transportation,On Track,Angela Pham,3400.0
recProj0000000090,2026-09-20T11:45:00.000Z,Utilities,On Track,Angela Pham,300.0
recProj0000000091,2026-09-16T15:00:00.000Z,Groceries,Over Budget,Angela Pham,200.0
recProj0000000092,2026-10-21T20:00:00.000Z,Healthcare,On Track,Angela Pham,425.0
recProj0000000093,2026-10-25T14:30:00.000Z,Misc,Over Budget,Angela Pham,1000.0
recProj0000000094,2026-09-28T16:15:00.000Z,Subscriptions,On Track,Angela Pham,300.0
recProj0000000095,2026-09-21T15:30:00.000Z,Utilities,Pending,Angela Pham,3400.0
recProj0000000096,2026-06-16T09:15:00.000Z,Dining,On Track,Angela Pham,1000.0
recProj0000000097,2026-11-10T16:15:00.000Z,529 Contributions,On Track,Angela Pham,3400.0
recProj0000000098,2026-11-01T11:45:00.000Z,Professional,Pending,Angela Pham,200.0
recProj0000000099,2026-06-08T20:00:00.000Z,Transportation,Pending,Angela Pham,1830.0
recProj0000000100,2026-06-16T13:30:00.000Z,Utilities,Over Budget,Angela Pham,350.0
recProj0000000101,2026-08-12T21:00:00.000Z,Healthcare,Pending,Angela Pham,3400.0
recProj0000000102,2026-08-10T19:15:00.000Z,Mortgage,Over Budget,Angela Pham,150.0
recProj0000000103,2026-06-01T12:15:00.000Z,Dining,Over Budget,Angela Pham,150.0
recProj0000000104,2026-09-28T11:30:00.000Z,Transportation,On Track,Angela Pham,200.0
recProj0000000105,2026-08-23T07:15:00.000Z,529 Contributions,Pending,Angela Pham,350.0
recProj0000000106,2026-10-10T20:15:00.000Z,Groceries,Pending,Angela Pham,425.0
recProj0000000107,2026-08-23T16:00:00.000Z,Transportation,On Track,Angela Pham,425.0
recProj0000000108,2026-07-26T12:30:00.000Z,Healthcare,On Track,Angela Pham,200.0
recProj0000000109,2026-07-09T20:15:00.000Z,Childcare,Over Budget,Angela Pham,300.0
recProj0000000110,2026-09-15T22:30:00.000Z,Subscriptions,On Track,Angela Pham,425.0
recProj0000000111,2026-06-18T19:00:00.000Z,Transportation,On Track,Angela Pham,150.0
recProj0000000112,2026-06-04T15:45:00.000Z,Childcare,Over Budget,Angela Pham,1830.0
recProj0000000113,2026-07-18T16:15:00.000Z,Transportation,Pending,Angela Pham,200.0
recProj0000000114,2026-06-16T07:30:00.000Z,Childcare,Pending,Angela Pham,300.0
recProj0000000115,2026-06-18T18:15:00.000Z,Utilities,Pending,Angela Pham,425.0
recProj0000000116,2026-11-16T11:30:00.000Z,Subscriptions,On Track,Angela Pham,1830.0
recProj0000000117,2026-11-06T13:00:00.000Z,Recreation,Over Budget,Angela Pham,425.0
recProj0000000118,2026-08-28T22:00:00.000Z,Misc,Pending,Angela Pham,160.0
recProj0000000119,2026-07-06T20:00:00.000Z,Healthcare,Pending,Angela Pham,400.0
recProj0000000120,2026-10-12T18:45:00.000Z,Recreation,Over Budget,Angela Pham,1000.0
recProj0000000121,2026-08-17T06:45:00.000Z,Utilities,Over Budget,Angela Pham,3400.0
recProj0000000122,2026-08-16T15:15:00.000Z,Transportation,Pending,Angela Pham,1830.0
recProj0000000123,2026-10-14T09:45:00.000Z,Mortgage,Over Budget,Angela Pham,160.0
recProj0000000124,2026-11-02T14:30:00.000Z,Healthcare,On Track,Angela Pham,200.0
recProj0000000125,2026-06-10T21:00:00.000Z,Dining,Over Budget,Angela Pham,800.0
recProj0000000126,2026-10-08T15:45:00.000Z,Groceries,Pending,Angela Pham,150.0
recProj0000000127,2026-08-17T12:15:00.000Z,Utilities,Pending,Angela Pham,300.0
recProj0000000128,2026-11-22T21:45:00.000Z,Utilities,Over Budget,Angela Pham,150.0
recProj0000000129,2026-09-26T19:30:00.000Z,Groceries,Pending,Angela Pham,1830.0
recProj0000000130,2026-07-06T07:30:00.000Z,Healthcare,Over Budget,Angela Pham,300.0
recProj0000000131,2026-11-06T17:00:00.000Z,Subscriptions,On Track,Angela Pham,160.0
recProj0000000132,2026-08-03T16:15:00.000Z,Misc,Pending,Angela Pham,425.0
recProj0000000133,2026-08-26T21:00:00.000Z,Professional,On Track,Angela Pham,1000.0
recProj0000000134,2026-07-24T14:45:00.000Z,Subscriptions,Pending,Angela Pham,425.0
recProj0000000135,2026-10-23T11:00:00.000Z,Utilities,Over Budget,Angela Pham,3400.0
recProj0000000136,2026-06-06T10:15:00.000Z,Mortgage,On Track,Angela Pham,400.0
recProj0000000137,2026-08-20T17:30:00.000Z,Recreation,On Track,Angela Pham,1000.0
recProj0000000138,2026-06-23T06:00:00.000Z,Recreation,On Track,Angela Pham,1000.0
recProj0000000139,2026-06-19T14:00:00.000Z,Subscriptions,Pending,Angela Pham,160.0
recProj0000000140,2026-09-06T19:30:00.000Z,Groceries,Over Budget,Angela Pham,800.0
recProj0000000141,2026-11-26T09:45:00.000Z,Groceries,Over Budget,Angela Pham,1830.0
recProj0000000142,2026-07-14T16:15:00.000Z,Recreation,Over Budget,Angela Pham,160.0
recProj0000000143,2026-06-09T21:30:00.000Z,Subscriptions,Pending,Angela Pham,150.0
recProj0000000144,2026-09-27T16:30:00.000Z,Healthcare,Over Budget,Angela Pham,160.0
recProj0000000145,2026-11-25T12:30:00.000Z,Dining,Pending,Angela Pham,3400.0
recProj0000000146,2026-07-26T20:30:00.000Z,Mortgage,On Track,Angela Pham,1830.0
recProj0000000147,2026-06-09T16:15:00.000Z,Dining,Pending,Angela Pham,350.0
recProj0000000148,2026-11-11T06:45:00.000Z,Recreation,Over Budget,Angela Pham,400.0
recProj0000000149,2026-08-26T10:45:00.000Z,Misc,Pending,Angela Pham,350.0
recProj0000000150,2026-11-09T15:45:00.000Z,Professional,Over Budget,Angela Pham,800.0
recProj0000000151,2026-09-24T21:00:00.000Z,Subscriptions,Pending,Angela Pham,3400.0
