Id,DisplayName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr_Line1,BillAddr_City,BillAddr_CountrySubDivisionCode,BillAddr_PostalCode,Balance,Active,AcctNum,Vendor1099
V-101,Elena's Kitchen,Elena Vasquez Catering LLC,elena@elenaskitchen.com,(915) 555-0301,2410 Alameda Ave,El Paso,TX,79905,3400.0,Y,EK-2024,Y
V-102,Casa Flores Florist,Casa Flores LLC,orders@casaflores.com,(915) 555-0302,1180 Piedras St,El Paso,TX,79903,475.0,Y,CF-2023,N
V-103,Los Hermanos Trio,Los Hermanos Music,booking@loshermanostrio.com,(915) 555-0303,845 Montana Ave,El Paso,TX,79902,600.0,Y,LH-2024,Y
V-104,El Paso Party Rentals,EP Party Rentals Inc,service@eppartyrentals.com,(915) 555-0304,4620 Dyer St,El Paso,TX,79930,380.0,Y,EPPR-2022,N
V-105,Audio Express,Audio Express El Paso,rentals@audioexpressep.com,(915) 555-0305,8020 Gateway Blvd E,El Paso,TX,79907,175.0,Y,AE-2024,N
V-106,Quick Print,Quick Print of El Paso,orders@quickprintep.com,(915) 555-0306,3812 Alameda Ave,El Paso,TX,79905,62.5,Y,QP-2023,N
V-107,Costco,Costco Wholesale,,(915) 855-4400,6101 Gateway Blvd W,El Paso,TX,79925,0.0,Y,,N
V-200,El Paso Electric,El Paso Electric,utilities@epelectric.com,(915) 543-5711,100 N Stanton St,El Paso,TX,79901,890.0,Y,,N
V-201,El Paso Water,El Paso Water,billing@epwater.org,(915) 594-5500,1154 Hawkins Blvd,El Paso,TX,79925,245.5,N,,N
V-202,Texas Gas Service,Texas Gas Service,service@texasgasservice.com,(800) 700-2443,320 Marconi St,El Paso,TX,79907,180.0,N,,N
V-203,Spectrum Business Internet,Spectrum Business Internet,business@spectrum.com,(866) 892-0019,1201 N Piedras St,El Paso,TX,79903,120.0,N,,N
V-204,Church Mutual Insurance,Church Mutual Insurance,claims@churchmutual.com,(800) 554-2642,3000 Schuster Ave,Merrill,WI,54452,320.0,N,,N
V-205,Diocesan Publications,Diocesan Publications,orders@diocesanpubs.com,(800) 233-8200,1 W Prendergast St,Bath,PA,18014,180.0,N,,N
V-206,Cokesbury,Cokesbury,orders@cokesbury.com,(800) 672-1789,2222 Rosa Parks Blvd,Nashville,TN,37228,245.0,N,,N
V-207,LifeWay Christian Resources,LifeWay Christian Resources,orders@lifeway.com,(800) 458-2772,1 LifeWay Plaza,Nashville,TN,37234,180.0,N,,N
V-208,Guerra Pest Control,Guerra Pest Control,service@guerrapest.com,(915) 592-4322,10600 Pebble Hills,El Paso,TX,79935,95.0,N,,N
V-209,Coronado Landscaping,Coronado Landscaping,office@coronadolandscape.com,(915) 588-2288,1420 Airway Blvd,El Paso,TX,79925,320.0,N,,N
V-210,Mission HVAC,Mission HVAC,service@missionhvac.com,(915) 594-6100,7620 N Loop Dr,El Paso,TX,79915,480.0,N,,N
V-211,Sun City Cleaning,Sun City Cleaning,office@suncitycleaning.com,(915) 566-8100,3810 Alameda Ave,El Paso,TX,79905,180.0,N,,N
V-212,Chihuahuan Bread,Chihuahuan Bread,orders@chihuahuanbread.com,(915) 533-8200,2911 Alameda Ave,El Paso,TX,79905,145.0,N,,N
V-213,Rio Grande Produce,Rio Grande Produce,orders@riograndeproduce.com,(915) 544-3700,2140 Doniphan Dr,El Paso,TX,79922,210.0,N,,N
V-214,El Paso Church Supply,El Paso Church Supply,orders@epchurchsupply.com,(915) 566-3400,6220 Doniphan Dr,El Paso,TX,79932,380.0,N,,N
V-215,El Paso Times Advertising,El Paso Times Advertising,ads@elpasotimes.com,(915) 546-6100,300 N Campbell St,El Paso,TX,79901,125.0,N,,N
V-216,Borderland Sound,Borderland Sound,rentals@borderlandsound.com,(915) 594-8800,10390 Vista Del Sol,El Paso,TX,79925,220.0,N,,N
V-217,Del Sol Balloons,Del Sol Balloons,orders@delsolballoons.com,(915) 566-8800,5720 N Mesa St,El Paso,TX,79912,65.0,N,,N
V-218,Piedras Piano Tuning,Piedras Piano Tuning,service@piedraspiano.com,(915) 533-8500,1420 Piedras St,El Paso,TX,79903,180.0,N,,N
V-219,Central Prayer Book,Central Prayer Book,orders@centralprayerbook.com,(214) 720-3390,1630 Ross Ave,Dallas,TX,75201,145.0,N,,N
V-220,Sanctuary Candle Co,Sanctuary Candle Co,orders@sanctuarycandle.com,(773) 328-4200,4801 W North Ave,Chicago,IL,60639,180.0,N,,N
V-221,Fair Trade Coffee Co-op,Fair Trade Coffee Co-op,orders@fairtradecoffee.coop,(608) 257-2225,500 W Main St,Madison,WI,53703,180.0,N,,N
V-222,Guadalupana Statuary,Guadalupana Statuary,orders@guadalupanastatuary.com,(915) 566-4400,5620 Alameda Ave,El Paso,TX,79905,320.0,N,,N
V-223,Ferguson Plumbing,Ferguson Plumbing,service@fergusonplumbing.com,(915) 593-9200,8900 Rojas Dr,El Paso,TX,79907,340.0,N,,N
V-224,SW Regional Diocese,SW Regional Diocese,office@swregionaldiocese.org,(505) 823-3000,111 Copper Ave NW,Albuquerque,NM,87102,2400.0,Y,,N
V-225,Grace Ministries Publishing,Grace Ministries Publishing,orders@graceministries.com,(407) 574-5900,4051 W Colonial Dr,Orlando,FL,32808,145.0,N,,N
V-226,Cielo Vista Copiers,Cielo Vista Copiers,service@cielovistacopiers.com,(915) 590-4400,8401 Cielo Vista Dr,El Paso,TX,79925,180.0,N,,N
V-227,El Paso Trash Service,El Paso Trash Service,billing@eptrash.com,(915) 212-6000,5501 Fred Wilson Ave,El Paso,TX,79906,95.0,N,,N
V-228,Piedras Locksmith,Piedras Locksmith,service@piedraslocksmith.com,(915) 566-8200,1240 Piedras St,El Paso,TX,79903,120.0,N,,N
V-229,Sofia Coleman-Alarcon,Sofia Coleman-Alarcon,sofia.alarcon@gmail.com,(915) 555-0138,,El Paso,TX,,0.0,N,,N
V-230,Rosa Villarreal,Rosa Villarreal,rosa.villarreal@gmail.com,(915) 555-0192,,El Paso,TX,,0.0,N,,N
V-300,Maria Marquez — Cleaning Service,Maria Marquez — Cleaning Service,maria.marquez@cleaningservice.com,(915) 555-4000,2000 Piedras St,El Paso,TX,79903,180,N,,N
V-301,Juan Fernandez — Handyman,Juan Fernandez — Handyman,juan.fernandez@handyman.com,(915) 555-4001,2010 Piedras St,El Paso,TX,79903,320,N,,N
V-302,Ana Diaz — Photography,Ana Diaz — Photography,ana.diaz@photography.com,(915) 555-4002,2020 Dyer St,El Paso,TX,79903,45,N,,N
V-303,Luis Silva — Videography,Luis Silva — Videography,luis.silva@videography.com,(915) 555-4003,2030 Dyer St,El Paso,TX,79903,320,N,,N
V-304,Carmen Cardenas — Musician,Carmen Cardenas — Musician,carmen.cardenas@musician.com,(915) 555-4004,2040 Piedras St,El Paso,TX,79903,45,N,,N
V-305,Miguel Barrera — Speaker,Miguel Barrera — Speaker,miguel.barrera@speaker.com,(915) 555-4005,2050 Alameda St,El Paso,TX,79903,80,N,,N
