Id,DisplayName,GivenName,FamilyName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr_Line1,BillAddr_City,BillAddr_CountrySubDivisionCode,BillAddr_PostalCode,Balance,Active,Job,Notes
PL-001,Consuelo Ramirez,Consuelo,Ramirez,,consuelo.ramirez@gmail.com,(915) 555-0629,,El Paso,TX,79903,0.0,Y,Holiday-2026,"Ramirez family, 20yr member"
PL-002,Roberto Hernandez,Roberto,Hernandez,,roberto.hernandez@gmail.com,(915) 555-0405,,El Paso,TX,79903,0.0,Y,Holiday-2026,Roberto+Blanca Hernandez
PL-003,Alicia Marquez,Alicia,Marquez,,alicia.marquez@gmail.com,(915) 555-0547,,El Paso,TX,79903,0.0,Y,Holiday-2026,Cash at Nov 1 committee mtg
PL-004,Manuel Garcia,Manuel,Garcia,,manuel.garcia@gmail.com,(915) 555-0373,,El Paso,TX,79903,0.0,Y,Holiday-2026,Choir family
PL-005,Yolanda Nunez,Yolanda,Nunez,,yolanda.nunez@gmail.com,(915) 555-0730,,El Paso,TX,79903,0.0,Y,Holiday-2026,Widow support recipient
PL-006,Ricardo Lopez,Ricardo,Lopez,,ricardo.lopez@gmail.com,(915) 555-0600,,El Paso,TX,79903,0.0,Y,Holiday-2026,Lopez Auto Body owner
PL-007,Sylvia Estrada,Sylvia,Estrada,,sylvia.estrada@gmail.com,(915) 555-0921,,El Paso,TX,79903,0.0,Y,Holiday-2026,Estrada+Maria
PL-008,Miguel Herrera,Miguel,Herrera,,miguel.herrera@gmail.com,(915) 555-0683,,El Paso,TX,79903,0.0,Y,Holiday-2026,New family since spring
PL-009,Elena Ochoa,Elena,Ochoa,,elena.ochoa@gmail.com,(915) 555-0606,,El Paso,TX,79903,0.0,Y,Holiday-2026,Ochoa/Rangel household
PL-010,Antonio Gonzalez,Antonio,Gonzalez,,antonio.gonzalez@gmail.com,(915) 555-0862,,El Paso,TX,79903,0.0,Y,Holiday-2026,Sunday usher
PL-011,Guadalupe Molina,Guadalupe,Molina,,guadalupe.molina@gmail.com,(915) 555-0639,,El Paso,TX,79903,0.0,Y,Holiday-2026,"Molina family, 15yr"
PL-012,Jose Mendoza,Jose,Mendoza,,jose.mendoza@gmail.com,(915) 555-0607,,El Paso,TX,79903,0.0,Y,Holiday-2026,Mendoza tribute in memory of Rosa Mendoza
PL-013,Ignacio Fernandez,Ignacio,Fernandez,,ignacio.fernandez@gmail.com,(915) 555-0252,,El Paso,TX,79903,0.0,Y,Holiday-2026,Cash on Sunday Nov 8
PL-014,Herminia Perez,Herminia,Perez,,herminia.perez@gmail.com,(915) 555-0402,,El Paso,TX,79903,0.0,Y,Holiday-2026,Perez altar guild
PL-015,Alfonso Delgado,Alfonso,Delgado,,alfonso.delgado@gmail.com,(915) 555-0476,,El Paso,TX,79903,0.0,Y,Holiday-2026,Delgado church council
PL-016,Amelia Rivera,Amelia,Rivera,,amelia.rivera@gmail.com,(915) 555-0313,,El Paso,TX,79903,0.0,Y,Holiday-2026,Rivera family
PL-017,Camila Salazar,Camila,Salazar,,camila.salazar@gmail.com,(915) 555-0250,,El Paso,TX,79903,0.0,Y,Holiday-2026,"Salazar, Isabella's classmate's family"
PL-018,Diego Torres,Diego,Torres,,diego.torres@gmail.com,(915) 555-0142,,El Paso,TX,79903,0.0,Y,Holiday-2026,"Torres, Sunday school teacher"
PL-019,Federico Ortiz,Federico,Ortiz,,federico.ortiz@gmail.com,(915) 555-0643,,El Paso,TX,79903,0.0,Y,Holiday-2026,Ortiz family
PL-020,Graciela Rodriguez,Graciela,Rodriguez,,graciela.rodriguez@gmail.com,(915) 555-0793,,El Paso,TX,79903,0.0,Y,Holiday-2026,"Rodriguez, choir"
PL-021,Humberto Vasquez,Humberto,Vasquez,,humberto.vasquez@gmail.com,(915) 555-0764,,El Paso,TX,79903,0.0,Y,Holiday-2026,Vasquez family
PL-022,Karla Ruiz,Karla,Ruiz,,karla.ruiz@gmail.com,(915) 555-0545,,El Paso,TX,79903,0.0,Y,Holiday-2026,Ruiz cash on Sunday
PL-023,Leonel Sanchez,Leonel,Sanchez,,leonel.sanchez@gmail.com,(915) 555-0763,,El Paso,TX,79903,0.0,Y,Holiday-2026,"Sanchez, hospitality"
PL-024,Marta Vega,Marta,Vega,,marta.vega@gmail.com,(915) 555-0207,,El Paso,TX,79903,0.0,Y,Holiday-2026,"Vega family, Vega Bakery owner"
