Name	Relationship	Phone	Email	Location
Mark Reyes	Husband	973-555-0184	mark.reyes.nwk@gmail.com	Newark area, NJ
Elena Reyes	Mother	973-555-0147		Newark area, NJ
Carla Reyes	Sister	908-555-0263	carla.reyes.eliz@gmail.com	Newark area, NJ
Miguel Reyes	Brother	201-555-0319	miguel.reyes.nj@gmail.com	Newark area, NJ
Tony Rizzi	Best friend, Turner superintendent	973-555-0412	tony.rizzi.nwk@gmail.com	NJ
Hector Vega	Crew lead	908-555-0378	hector.vega.eliz@gmail.com	NJ
Frank Delmonico	Regional project director	973-555-0534	fdelmonico@turnerconstruction.com	NJ
Dr. Patricia Almeida	Elena's PCP, Newark Community Health Centers	973-555-0289		NJ
Sofia Reyes	Niece	via Carla		Elizabeth, NJ
Lucas Reyes	Nephew	via Carla		Elizabeth, NJ
