id,type,title,username,first_name,last_name,description,member_count
1001,private,,amelia_o,Amelia,Ortega,,2
1002,private,,jonas_p,Jonas,Pereira,,2
-200500,group,Orbit Eng Standup,,,,Daily standup and incident coordination for the platform team.,6
-200501,supergroup,Orbit Deploys,,,,Automated deploy and alerting notifications.,12
-200502,group,Orbit Random,,,,Off-topic chatter and memes.,9
1005,open,Delta quartz 6,Summit frost 6,Lena,Winter,iris grove quartz note 6,747
1006,open,Cedar jade 7,Coral summit 7,Sven,Arnold,cedar coral willow note 7,83
1007,pending,Tidal cedar 8,Quartz river 8,Sage,Sommer,meadow coral meadow note 8,552
1008,pending,Cedar iris 9,Bravo meadow 9,Riley,Haas,delta orbit delta note 9,91
1009,closed,Iris iris 10,Violet zephyr 10,Paul,Braun,summit bravo summit note 10,99
1010,active,Meadow tidal 11,River river 11,Casey,Schulz,iris pine zephyr note 11,410
1011,active,Quartz willow 12,Delta alpha 12,Rowan,Klein,quartz quartz jade note 12,465
1012,standard,Willow cedar 13,Ember pine 13,Lena,Arnold,iris zephyr grove note 13,694
1013,pending,Delta frost 14,Jade willow 14,Sage,Lorenz,haze kelp summit note 14,526
1014,general,Orbit tidal 15,Delta river 15,Alex,Koch,orbit orbit umber note 15,608
1015,closed,Willow tidal 16,Pine cedar 16,Taylor,Winter,cedar umber violet note 16,318
1016,standard,Willow haze 17,Tidal orbit 17,Sven,Koch,grove harbor zephyr note 17,32
1017,standard,Haze harbor 18,Violet meadow 18,Timo,Arnold,umber bravo grove note 18,422
1018,closed,Kelp kelp 19,Zephyr tidal 19,Emil,Meyer,meadow harbor river note 19,170
1019,pending,Willow pine 20,Jade quartz 20,Casey,Wolf,grove ember violet note 20,97
1020,active,Alpha ember 21,Coral delta 21,Riley,Arnold,kelp river zephyr note 21,655
1021,pending,Zephyr ember 22,Violet ember 22,Lena,Klein,grove river coral note 22,544
1022,pending,Harbor iris 23,Umber river 23,Jamie,Frank,umber delta ember note 23,195
1023,standard,Tidal orbit 24,Zephyr cedar 24,Inga,Arnold,umber kelp kelp note 24,779
1024,general,Meadow kelp 25,Tidal kelp 25,Quinn,Richter,orbit zephyr frost note 25,544
1025,closed,Zephyr meadow 26,Frost cedar 26,Parker,Busch,willow haze harbor note 26,651
1026,closed,Bravo meadow 27,Ember coral 27,Timo,Klein,zephyr river summit note 27,201
1027,open,Delta delta 28,Jade pine 28,Rowan,Koch,meadow pine quartz note 28,832
1028,pending,Delta summit 29,Umber grove 29,Timo,Arnold,kelp quartz coral note 29,741
1029,general,Coral jade 30,Frost cedar 30,Blair,Busch,violet violet zephyr note 30,96
1030,open,Meadow ember 31,Frost summit 31,Lena,Arnold,ember river haze note 31,129
1031,closed,Bravo river 32,Ember umber 32,Sam,Richter,zephyr willow orbit note 32,543
1032,active,Orbit kelp 33,Iris violet 33,Nora,Braun,coral iris quartz note 33,190
1033,active,Haze grove 34,Grove violet 34,Rowan,Winter,umber ember pine note 34,193
1034,general,Ember orbit 35,Bravo tidal 35,Emil,Schulz,jade haze kelp note 35,575
1035,general,Kelp zephyr 36,River alpha 36,Alex,Lorenz,zephyr harbor river note 36,867
1036,pending,Tidal frost 37,Kelp umber 37,Avery,Schulz,tidal frost grove note 37,560
1037,general,Meadow meadow 38,Grove meadow 38,Reese,Klein,bravo iris ember note 38,743
1038,closed,Delta umber 39,Umber kelp 39,Timo,Arnold,quartz quartz orbit note 39,135
1039,standard,Frost tidal 40,Zephyr kelp 40,Riley,Arnold,bravo summit cedar note 40,421
1040,closed,Willow umber 41,Cedar orbit 41,Morgan,Winter,umber willow kelp note 41,407
1041,closed,Pine bravo 42,Jade orbit 42,Inga,Braun,iris frost pine note 42,43
1042,closed,Zephyr pine 43,Quartz summit 43,Mara,Frank,coral violet pine note 43,582
1043,general,Jade iris 44,Zephyr alpha 44,Nora,Arnold,frost umber grove note 44,702
1044,general,Ember orbit 45,Quartz ember 45,Sage,Klein,coral ember haze note 45,616
1045,pending,Willow zephyr 46,Haze bravo 46,Devon,Berg,tidal grove coral note 46,290
1046,standard,Coral cedar 47,Orbit meadow 47,Inga,Sommer,willow jade frost note 47,548
1047,closed,Frost haze 48,Iris meadow 48,Sven,Arnold,iris iris umber note 48,347
1048,general,Coral kelp 49,Iris jade 49,Devon,Koch,orbit frost summit note 49,843
1049,open,Willow river 50,Pine bravo 50,Lena,Berg,harbor river zephyr note 50,568
1050,open,Cedar summit 51,Meadow orbit 51,Devon,Wolf,zephyr alpha delta note 51,538
1051,general,Jade coral 52,Summit frost 52,Reese,Schulz,coral alpha harbor note 52,40
1052,pending,Orbit coral 53,Ember river 53,Reese,Arnold,umber quartz bravo note 53,853
1053,general,Alpha summit 54,Coral pine 54,Casey,Klein,frost alpha umber note 54,389
1054,general,Meadow tidal 55,Pine harbor 55,Avery,Lorenz,meadow ember alpha note 55,91
1055,pending,Frost jade 56,Meadow meadow 56,Jamie,Koch,haze jade frost note 56,704
1056,open,Frost coral 57,Haze zephyr 57,Avery,Haas,orbit tidal grove note 57,658
1057,pending,Umber grove 58,Pine coral 58,Nora,Winter,cedar cedar zephyr note 58,201
1058,open,Summit pine 59,Violet harbor 59,Devon,Richter,grove orbit grove note 59,549
1059,pending,Delta frost 60,Bravo umber 60,Rowan,Koch,willow willow summit note 60,871
1060,standard,Pine quartz 61,Delta grove 61,Parker,Frank,zephyr umber iris note 61,155
1061,standard,Iris river 62,Violet jade 62,Emil,Braun,alpha orbit iris note 62,161
1062,general,Umber grove 63,Haze haze 63,Avery,Berg,ember violet tidal note 63,730
1063,general,Bravo willow 64,River violet 64,Sage,Richter,ember pine umber note 64,802
1064,open,Orbit frost 65,Quartz summit 65,Jamie,Haas,harbor umber frost note 65,668
1065,open,Tidal violet 66,Frost quartz 66,Timo,Klein,zephyr iris violet note 66,248
1066,open,Coral river 67,Cedar orbit 67,Quinn,Vogel,tidal grove jade note 67,324
1067,general,Meadow haze 68,Delta orbit 68,Inga,Schulz,alpha summit harbor note 68,225
1068,standard,Summit violet 69,Meadow pine 69,Blair,Meyer,frost willow summit note 69,376
1069,open,River coral 70,Violet ember 70,Quinn,Richter,tidal jade coral note 70,320
1070,closed,Kelp river 71,Willow haze 71,Inga,Frank,grove willow zephyr note 71,845
1071,general,Summit zephyr 72,Summit willow 72,Morgan,Berg,frost harbor cedar note 72,112
1072,closed,Quartz river 73,Haze umber 73,Jamie,Sommer,ember harbor grove note 73,540
1073,standard,Violet jade 74,Bravo kelp 74,Reese,Sommer,kelp coral grove note 74,395
1074,general,Jade tidal 75,Umber zephyr 75,Parker,Busch,cedar umber grove note 75,293
1075,open,Delta haze 76,Pine jade 76,Lena,Vogel,bravo alpha umber note 76,95
1076,pending,Bravo jade 77,Bravo orbit 77,Casey,Berg,alpha haze zephyr note 77,87
1077,pending,Frost ember 78,Orbit umber 78,Nora,Busch,pine frost summit note 78,515
1078,active,Delta river 79,Quartz violet 79,Inga,Winter,meadow frost zephyr note 79,837
1079,general,Zephyr grove 80,Ember coral 80,Taylor,Klein,summit pine quartz note 80,199
1080,active,Jade kelp 81,Summit jade 81,Paul,Busch,orbit kelp umber note 81,774
1081,closed,Meadow grove 82,Harbor kelp 82,Sven,Richter,umber frost umber note 82,803
1082,active,Coral alpha 83,Willow quartz 83,Jordan,Arnold,pine summit pine note 83,255
1083,closed,Orbit haze 84,Violet coral 84,Reese,Haas,kelp frost violet note 84,550
1084,open,Harbor harbor 85,Zephyr delta 85,Avery,Arnold,zephyr quartz kelp note 85,800
1085,pending,Haze kelp 86,Pine cedar 86,Alex,Klein,alpha tidal willow note 86,11
1086,pending,Cedar alpha 87,Kelp quartz 87,Sam,Wolf,tidal quartz bravo note 87,516
1087,standard,Cedar meadow 88,Bravo delta 88,Mara,Haas,haze summit alpha note 88,680
1088,closed,Zephyr frost 89,Orbit orbit 89,Reese,Arnold,jade harbor zephyr note 89,507
1089,closed,Bravo bravo 90,Harbor willow 90,Nora,Lorenz,zephyr coral river note 90,728
1090,closed,Meadow meadow 91,Ember grove 91,Inga,Meyer,delta quartz iris note 91,92
1091,general,Zephyr meadow 92,Meadow tidal 92,Mara,Berg,coral cedar zephyr note 92,177
1092,closed,Harbor river 93,Kelp orbit 93,Paul,Meyer,tidal meadow alpha note 93,563
1093,active,Delta summit 94,Tidal bravo 94,Taylor,Lorenz,cedar iris grove note 94,775
1094,active,Delta coral 95,Tidal river 95,Mara,Berg,tidal summit willow note 95,568
1095,pending,Kelp alpha 96,Grove coral 96,Riley,Arnold,cedar tidal ember note 96,804
1096,open,Tidal meadow 97,Zephyr haze 97,Quinn,Meyer,orbit willow alpha note 97,132
1097,general,Kelp umber 98,Jade summit 98,Sven,Frank,meadow tidal quartz note 98,232
1098,open,Coral alpha 99,Umber kelp 99,Mara,Richter,zephyr grove summit note 99,834
1099,pending,Pine frost 100,Alpha willow 100,Sage,Klein,coral harbor summit note 100,725
