id,ship_id,ship_date,carrier,tracking_number,destination,pieces_count,shipping_cost_usd,status
recSHIP00001,SHIP-00001,2026-03-03,USPS,TR884466991703,Turquoise Trail Gallery Santa Fe,4,13.02,delivered
recSHIP00002,SHIP-00002,2025-09-21,UPS,1Z651852523348,Red Earth Gallery Sedona,4,20.09,delivered
recSHIP00003,SHIP-00003,2025-06-20,USPS,TR161763169458,Turquoise Trail Gallery Santa Fe,2,18.08,delivered
recSHIP00004,SHIP-00004,2025-02-10,UPS,TR973781209429,Stephen Medina,1,34.83,delivered
recSHIP00005,SHIP-00005,2024-11-21,USPS,TR488231450187,Dustin Martin,4,18.73,in-transit
recSHIP00006,SHIP-00006,2024-09-19,UPS,7508669021106,Turquoise Trail Gallery Santa Fe,2,15.28,delivered
recSHIP00007,SHIP-00007,2024-07-23,FedEx,TR811460236621,Red Earth Gallery Sedona,1,13.84,delivered
recSHIP00008,SHIP-00008,2026-04-05,USPS,1Z153879282198,Turquoise Trail Gallery Santa Fe,1,35.84,in-transit
recSHIP00009,SHIP-00009,2025-03-03,FedEx,1Z418834729081,Turquoise Trail Gallery Santa Fe,1,26.43,delivered
recSHIP00010,SHIP-00010,2024-12-30,USPS,TR578159329099,Turquoise Trail Gallery Santa Fe,1,15.02,delivered
recSHIP00011,SHIP-00011,2025-01-02,FedEx,1Z277666324355,Raymond Merritt,2,20.33,delivered
recSHIP00012,SHIP-00012,2026-04-22,UPS,TR591655306185,Turquoise Trail Gallery Santa Fe,4,20.16,in-transit
recSHIP00013,SHIP-00013,2025-11-04,UPS,1Z877865971524,Red Earth Gallery Sedona,1,30.13,delivered
recSHIP00014,SHIP-00014,2025-06-11,USPS,1Z825519795954,Red Earth Gallery Sedona,1,39.89,delivered
recSHIP00015,SHIP-00015,2024-12-29,UPS,7465561169085,Turquoise Trail Gallery Santa Fe,1,28.42,delivered
recSHIP00016,SHIP-00016,2025-01-07,USPS,TR448697837971,Turquoise Trail Gallery Santa Fe,3,34.16,delivered
recSHIP00017,SHIP-00017,2025-05-03,UPS,TR427200064559,Shane Anderson,2,24.24,delivered
recSHIP00018,SHIP-00018,2025-03-11,USPS,7103668937875,Red Earth Gallery Sedona,3,22.67,delivered
recSHIP00019,SHIP-00019,2026-03-16,FedEx,7760315640908,Turquoise Trail Gallery Santa Fe,3,19.16,delivered
recSHIP00020,SHIP-00020,2025-04-19,USPS,1Z110030495332,Turquoise Trail Gallery Santa Fe,4,41.05,delivered
recSHIP00021,SHIP-00021,2025-05-30,FedEx,TR203863008946,Anthony Rivera,4,16.33,in-transit
recSHIP00022,SHIP-00022,2025-12-17,FedEx,TR179488037303,Turquoise Trail Gallery Santa Fe,4,15.02,in-transit
recSHIP00023,SHIP-00023,2025-09-07,FedEx,1Z636901816269,Sherry Porter,1,12.64,delivered
recSHIP00024,SHIP-00024,2024-08-15,USPS,TR119400388255,Turquoise Trail Gallery Santa Fe,4,36.04,in-transit
recSHIP00025,SHIP-00025,2024-08-25,UPS,7476697023282,Red Earth Gallery Sedona,1,10.11,delivered
recSHIP00026,SHIP-00026,2026-06-26,FedEx,TR525066416234,Turquoise Trail Gallery Santa Fe,2,24.52,delivered
recSHIP00027,SHIP-00027,2025-09-21,UPS,1Z581703109124,Red Earth Gallery Sedona,1,17.94,delivered
recSHIP00028,SHIP-00028,2026-02-01,UPS,1Z508110468390,Turquoise Trail Gallery Santa Fe,1,23.33,in-transit
recSHIP00029,SHIP-00029,2026-04-26,UPS,1Z701274520443,Red Earth Gallery Sedona,3,39.4,delivered
recSHIP00030,SHIP-00030,2026-06-05,FedEx,7576419152323,Turquoise Trail Gallery Santa Fe,3,37.59,delivered
recSHIP00031,SHIP-00031,2026-04-30,UPS,TR407058903322,Becky Morrison,4,41.46,delivered
recSHIP00032,SHIP-00032,2026-04-01,USPS,7795218043839,Sherry Porter,3,19.96,delivered
recSHIP00033,SHIP-00033,2025-07-08,USPS,TR801604323137,Red Earth Gallery Sedona,4,14.18,delivered
recSHIP00034,SHIP-00034,2025-04-11,UPS,TR818771760847,Red Earth Gallery Sedona,3,11.94,delivered
recSHIP00035,SHIP-00035,2026-02-28,FedEx,TR212714378624,Red Earth Gallery Sedona,1,36.61,delivered
recSHIP00036,SHIP-00036,2024-11-10,UPS,TR353802435543,Jason Mcclain,2,17.65,delivered
recSHIP00037,SHIP-00037,2025-05-18,FedEx,1Z612475995975,Turquoise Trail Gallery Santa Fe,1,37.11,delivered
recSHIP00038,SHIP-00038,2025-06-28,FedEx,1Z783929248895,Kelly Campbell,2,11.92,in-transit
recSHIP00039,SHIP-00039,2025-06-22,USPS,TR432898522767,Turquoise Trail Gallery Santa Fe,2,13.26,delivered
recSHIP00040,SHIP-00040,2024-08-01,USPS,7564522745898,Turquoise Trail Gallery Santa Fe,1,40.78,delivered
recSHIP00041,SHIP-00041,2025-12-09,USPS,1Z588015043388,Turquoise Trail Gallery Santa Fe,2,11.2,delivered
recSHIP00042,SHIP-00042,2024-07-16,UPS,7181705124567,Red Earth Gallery Sedona,3,19.4,delivered
recSHIP00043,SHIP-00043,2024-07-20,UPS,7288678878799,Turquoise Trail Gallery Santa Fe,3,31.52,delivered
recSHIP00044,SHIP-00044,2024-07-10,FedEx,7292534201959,Turquoise Trail Gallery Santa Fe,4,26.22,delivered
recSHIP00045,SHIP-00045,2026-03-12,FedEx,TR806405194038,Turquoise Trail Gallery Santa Fe,4,41.46,delivered
recSHIP00046,SHIP-00046,2025-04-26,FedEx,7353192737295,Ashley Schmidt MD,2,38.86,delivered
recSHIP00047,SHIP-00047,2025-01-03,USPS,7606250533855,Red Earth Gallery Sedona,2,20.09,delivered
recSHIP00048,SHIP-00048,2025-12-09,UPS,1Z616699324093,Red Earth Gallery Sedona,4,12.7,delivered
recSHIP00049,SHIP-00049,2025-12-06,UPS,TR341160238379,Karen Smith,1,11.1,delivered
recSHIP00050,SHIP-00050,2026-03-17,FedEx,1Z846458064562,Turquoise Trail Gallery Santa Fe,4,31.29,delivered
recSHIP00051,SHIP-00051,2025-12-20,UPS,TR756610290521,Red Earth Gallery Sedona,3,17.87,in-transit
recSHIP00052,SHIP-00052,2024-10-07,UPS,1Z715070983594,Turquoise Trail Gallery Santa Fe,3,27.78,delivered
recSHIP00053,SHIP-00053,2024-12-05,FedEx,TR219159504662,Red Earth Gallery Sedona,3,37.07,delivered
recSHIP00054,SHIP-00054,2026-06-13,USPS,1Z932106438273,Ellis Whitehorse,1,41.2,delivered
recSHIP00055,SHIP-00055,2025-10-03,USPS,7660978842511,Kara Shannon MD,3,30.31,delivered
recSHIP00056,SHIP-00056,2025-09-29,FedEx,1Z176411087958,Turquoise Trail Gallery Santa Fe,2,11.91,delivered
recSHIP00057,SHIP-00057,2026-04-28,FedEx,1Z151843549597,Stephen Alvarez,3,18.93,delivered
recSHIP00058,SHIP-00058,2026-01-14,UPS,1Z430519578318,Red Earth Gallery Sedona,3,13.27,delivered
recSHIP00059,SHIP-00059,2025-03-06,FedEx,7445785441450,Red Earth Gallery Sedona,4,10.31,delivered
recSHIP00060,SHIP-00060,2025-01-08,USPS,TR528643219582,Victoria Brown,4,40.54,delivered
recSHIP00061,SHIP-00061,2025-09-05,FedEx,7447595101197,Turquoise Trail Gallery Santa Fe,3,15.28,delivered
recSHIP00062,SHIP-00062,2026-02-28,UPS,1Z907107405332,Kayla Horn,1,34.55,delivered
recSHIP00063,SHIP-00063,2024-08-06,USPS,1Z883052843350,Red Earth Gallery Sedona,2,32.44,delivered
recSHIP00064,SHIP-00064,2025-09-20,UPS,1Z624774126251,Turquoise Trail Gallery Santa Fe,2,39.05,delivered
recSHIP00065,SHIP-00065,2026-01-23,UPS,TR750157952963,Brandon Richards,1,35.5,delivered
recSHIP00066,SHIP-00066,2025-08-19,FedEx,7563871066827,Red Earth Gallery Sedona,3,36.25,delivered
recSHIP00067,SHIP-00067,2025-03-16,USPS,TR696459319822,Red Earth Gallery Sedona,4,20.9,in-transit
recSHIP00068,SHIP-00068,2026-05-04,UPS,1Z585491635335,Laura Pena,3,12.25,delivered
recSHIP00069,SHIP-00069,2025-12-22,UPS,7548525673049,Michael Bush,3,13.17,delivered
recSHIP00070,SHIP-00070,2024-09-29,UPS,1Z882562874159,Joseph Smith,1,28.06,delivered
recSHIP00071,SHIP-00071,2025-10-17,USPS,TR273199567087,Turquoise Trail Gallery Santa Fe,2,31.06,delivered
recSHIP00072,SHIP-00072,2025-08-09,UPS,1Z142702689523,Red Earth Gallery Sedona,4,20.32,in-transit
recSHIP00073,SHIP-00073,2024-08-15,FedEx,1Z672145332883,Turquoise Trail Gallery Santa Fe,1,39.9,delivered
recSHIP00074,SHIP-00074,2025-01-07,FedEx,1Z233832477109,Grant Marquez,1,30.59,delivered
recSHIP00075,SHIP-00075,2025-11-26,USPS,TR253763821887,Red Earth Gallery Sedona,1,16.22,in-transit
recSHIP00076,SHIP-00076,2026-04-09,UPS,1Z858268723947,Turquoise Trail Gallery Santa Fe,3,31.07,delivered
recSHIP00077,SHIP-00077,2026-03-27,FedEx,1Z118682582281,Red Earth Gallery Sedona,4,35.63,delivered
recSHIP00078,SHIP-00078,2024-11-04,USPS,TR722184369925,Turquoise Trail Gallery Santa Fe,2,25.3,in-transit
recSHIP00079,SHIP-00079,2025-07-23,FedEx,1Z548429228234,Red Earth Gallery Sedona,2,35.76,delivered
