id,commission_id,buyer_name,buyer_email,piece_type,quoted_value_usd,deposit_cleared,deposit_amount_usd,status,opened,reserved_sku,reservation_note
recCOM0001,COM-0001,Sandra Roberts,sandra.roberts@example.com,bolo,515,False,0,open-no-deposit,2026-03-03,,
recCOM0002,COM-0002,Eileen Smith,eileen.smith@example.com,cuff,529,True,264.5,completed,2026-06-16,,
recCOM0003,COM-0003,Theresa Ingram,theresa.ingram@example.com,bolo,390,False,0,reserved,2025-10-22,,
recCOM0004,COM-0004,Stephen Alvarez,stephen.alvarez@example.com,cuff,534,False,0,open-no-deposit,2025-02-17,,
recCOM0005,COM-0005,Melody Cook,melody.cook@example.com,bolo,399,True,199.5,in-progress,2025-11-06,,
recCOM0006,COM-0006,Cheryl Gentry,cheryl.gentry@example.com,buckle,878,True,439.0,awaiting-stones,2024-12-20,,
recCOM0007,COM-0007,Matthew Johnson,matthew.johnson@example.com,bolo,431,True,215.5,in-progress,2026-03-03,,
recCOM0008,COM-0008,Larry Neal,larry.neal@example.com,buckle,681,False,0,awaiting-stones,2024-09-12,,
recCOM0009,COM-0009,Karen Smith,karen.smith@example.com,bolo,434,True,217.0,reserved,2025-10-19,,
recCOM0010,COM-0010,Brittany Nichols,brittany.nichols@example.com,buckle,708,True,354.0,reserved,2024-08-23,,
recCOM0011,COM-0011,Victoria Brown,victoria.brown@example.com,bolo,338,True,169.0,reserved,2025-01-04,,
recCOM0012,COM-0012,Michael Bush,michael.bush@example.com,buckle,836,False,0,in-progress,2025-09-20,,
recCOM0013,COM-0013,Dennis Gonzales,dennis.gonzales@example.com,buckle,720,True,360.0,reserved,2024-09-06,,
recCOM0014,COM-0014,Sherry Porter,sherry.porter@example.com,buckle,1181,True,590.5,awaiting-stones,2025-03-22,,
recCOM0015,COM-0015,Louis Chavez,louis.chavez@example.com,bolo,308,True,154.0,completed,2025-12-14,,
recCOM0016,COM-0016,Ernest Guerrero,ernest.guerrero@example.com,cuff,457,False,0,awaiting-stones,2024-10-23,,
recCOM0017,COM-0017,Christopher Smith,christopher.smith@example.com,buckle,945,True,472.5,reserved,2025-06-23,,
