Date	Student	Type	Minutes	Rate	Amount	Paid	Channel
2025-10-04	Sora Becker	private	60	80.00	80.00	yes	card app
2025-10-18	Amara Diallo	private	60	80.00	80.00	yes	card reader
2025-11-01	Owen Pratt	private	90	80.00	120.00	yes	online wallet
2025-11-15	Sora Becker	private	60	80.00	80.00	yes	card app
2025-12-06	Nina Castillo	private	60	80.00	80.00	yes	card app
2025-12-20	Amara Diallo	private	60	80.00	80.00	yes	card reader
2026-01-10	Owen Pratt	private	60	80.00	80.00	yes	online wallet
2026-01-24	Ken Whitfield	private	90	80.00	120.00	yes	card app
2026-02-07	Sora Becker	private	60	80.00	80.00	yes	card app
2026-02-21	Nina Castillo	private	60	80.00	80.00	yes	card reader
