id,name,real_name,email,is_admin,is_bot,tz,status_text,presence
U_MIDORI_K,midori,Midori Kelley,midori.kelley@voissync.ai,False,False,America/Los_Angeles,Madras race Sat — on-call Sat AM,active
U_WHITFIELD_K,drwhitfield,Dr. Karen Whitfield,karen.whitfield@gmail.com,True,False,America/Los_Angeles,,active
U_LINA_A,lina,Lina Torres,lina.torres@rimrockvalleyvet.com,False,False,America/Los_Angeles,Covering Sat PM for Midori,active
U_CAROL_B,carol,Carol Bishop,carol.bishop@rimrockvalleyvet.com,False,False,America/Los_Angeles,Front desk,active
U_DR_PATEL,drpatel,Dr. Anjali Patel,anjali.patel@rimrockvalleyvet.com,False,False,America/Los_Angeles,,away
U_DR_MARSH,drmarsh,Dr. Tom Marshfield,tom.marshfield@rimrockvalleyvet.com,False,False,America/Los_Angeles,On equine surgery this AM,active
U_TECH_BREE,bree,Bree Halvorsen,bree.halvorsen@rimrockvalleyvet.com,False,False,America/Los_Angeles,,active
U_TECH_DANNY,danny,Danny Reyes,danny.reyes@rimrockvalleyvet.com,False,False,America/Los_Angeles,,active
U_VENDORBOT,vendorbot,VendorBot,,False,True,America/Los_Angeles,,active
U_WES_C_1,wes1,Wes Coburn,wes.coburn1@rimrockvalleyvet.com,False,False,America/Los_Angeles,Covering AM shift,active
U_TECH_MASON,mason,Mason Reyes,mason.reyes@rimrockvalleyvet.com,False,False,America/Los_Angeles,On equine surgery this AM,active
U_WES_C_3,wes3,Wes Coburn,wes.coburn3@rimrockvalleyvet.com,False,False,America/Los_Angeles,Truck restock,active
U_GABE_R_4,gabe4,Gabe Ruiz,gabe.ruiz4@rimrockvalleyvet.com,False,False,America/Los_Angeles,Front desk,active
U_PRIYA_A_5,priya5,Priya Anand,priya.anand5@rimrockvalleyvet.com,False,False,America/Los_Angeles,On the route,active
U_DEE_N,dee,Dee Nakamura,dee.nakamura@rimrockvalleyvet.com,False,False,America/Los_Angeles,,away
U_DEE_N_7,dee7,Dee Nakamura,dee.nakamura7@rimrockvalleyvet.com,False,False,America/Los_Angeles,,active
U_GABE_R,gabe,Gabe Ruiz,gabe.ruiz@rimrockvalleyvet.com,False,False,America/Los_Angeles,Madras race Sat,away
U_TECH_MASON_9,mason9,Mason Reyes,mason.reyes9@rimrockvalleyvet.com,False,False,America/Los_Angeles,Covering AM shift,away
U_HOLLIS_P,hollis,Hollis Pham,hollis.pham@rimrockvalleyvet.com,False,False,America/Los_Angeles,Covering AM shift,active
U_GABE_R_11,gabe11,Gabe Ruiz,gabe.ruiz11@rimrockvalleyvet.com,False,False,America/Los_Angeles,Truck restock,away
U_TECH_MASON_12,mason12,Mason Reyes,mason.reyes12@rimrockvalleyvet.com,False,False,America/Los_Angeles,Out on a farm call,away
U_TECH_MASON_13,mason13,Mason Reyes,mason.reyes13@rimrockvalleyvet.com,False,False,America/Los_Angeles,Front desk,active
U_PRIYA_A,priya,Priya Anand,priya.anand@rimrockvalleyvet.com,False,False,America/Los_Angeles,On equine surgery this AM,active
U_WES_C,wes,Wes Coburn,wes.coburn@rimrockvalleyvet.com,False,False,America/Los_Angeles,On equine surgery this AM,active
U_DEE_N_16,dee16,Dee Nakamura,dee.nakamura16@rimrockvalleyvet.com,False,False,America/Los_Angeles,On equine surgery this AM,away
U_WES_C_17,wes17,Wes Coburn,wes.coburn17@rimrockvalleyvet.com,False,False,America/Los_Angeles,Truck restock,away
