guest_id	last_name	first_name	room_type	visit_count	last_visit	dietary_or_allergy	beverage_preference	transport_preference	dining_preference	notes	concierge_owner
HG-VIP-00427	Aldredge	Margaret	Heritage Suite	14	2026-02-09	gluten free, mild	champagne (Pol Roger Brut)	town car, Lincoln, prefer driver Hassan	Le Pigeon, no chef counter, table 6	turn down with The Oregonian and a Pellegrino, walking cane in coat closet	Yves
HG-VIP-00513	Whitlock	James and Karen	Hawthorne Suite	8	2026-01-18	none	Old Fashioned, Bulleit, single rock	hotel SUV preferred	Ataula or Bullard, late table, 9 PM	prefers a quiet room away from elevator, anniversary 14 February	Marc
HG-VIP-00644	Park	Eun-Jung	Premier King	5	2025-12-04	pescatarian	Korean tea (boricha), no sweet drinks	walks everywhere, Powell's a must	Pok Pok, Han Oak (introduce her if not visited)	visiting from Seoul, Sienna's cousin on the maternal side, family rate flagged	Yves
HG-VIP-00712	Ouellette	Charles	Concierge Floor King	22	2026-02-22	low sodium, dairy ok	black coffee strong, no decaf, no flavored	driver Marcel, only, never Uber	Higgins (sit at the bar), Toro Bravo	Québécois, French only, Marc covers when Yves off, do not pitch the gym	Marc
HG-VIP-00805	Patel	Ravi and Priti	Family Suite	3	2026-01-09	Jain vegetarian, no onion or garlic	masala chai (loose leaf), bring own tin	hotel car, two child seats	Pure Spice, Bhuna, advance call	traveling with grandparents and twin daughters age 4, request connecting room layout	Priya
HG-VIP-00911	Nakamura	Hiro	Hawthorne Suite	6	2025-11-30	shellfish allergy, severe	Japanese whisky neat, Nikka Coffey	taxi only, refuses ride share	Nodoguro, sit at counter, 6 PM	jet lag, requests black out curtains and a fan for white noise, late breakfast	Yves
HG-VIP-01032	Bellamy-Ross	Theodore	Heritage Suite	11	2026-02-26	intermittent fasting, eats after 1 PM	espresso, no sugar	hotel SUV, no chitchat	Bullard, request booth two	Portland Trail Blazers ownership group adjacent, never confirm or deny who he is meeting	Yves
HG-VIP-01188	Fontaine	Élise	Premier King	2	2025-10-22	vegetarian, eggs ok	French press, dark roast	loves a recommended walk, give her the Lan Su Garden loop	Le Pigeon, communal table fine	visiting from Lyon, French preferred, Marc and Yves split coverage	Marc
HG-VIP-01254	Yang	Mei-Lin and family	Family Suite	4	2026-01-12	no pork	jasmine tea, hot water bottles on request	town car, child seats	Han Oak, early seating	traveling with grandparents, sometimes brings homemade dumplings, refrigerator on floor	Priya
HG-VIP-01377	Doherty	Brendan	Concierge Floor King	17	2026-02-16	none, but he loves a steak	Guinness draft, never bottle	walks short, hotel car for long	Ringside Steakhouse, Friday only, 8 PM	Patrick Doyle's referral, treat as family, do not bill for the lobby pour	Yves
HG-VIP-01492	Sato	Aiko	Premier King	1	2026-02-28	tree nut allergy, severe	sparkling water with lime, no alcohol	hotel car, female driver if available	Hat Yai, Mediterranean Exploration Company	first time visitor, scout her dietary card to every restaurant we book	Jess
HG-VIP-01566	O'Hara	Liam	Hawthorne Suite	9	2026-02-03	none	Powell's recommendations, espresso strong	walks, knows the city	Bullard, Higgins, Le Pigeon (rotates)	thanks Yves by name in the guest survey every visit, Andrea has the file	Yves
HG-VIP-01670	Bourbeau	Henri	Concierge Floor King	7	2026-02-20	low cholesterol diet	dry martini, two olives, Tito's	town car, prefers Lincoln	Higgins, Ringside, classic places only	prefers French paper, Le Devoir, ships from Montréal monthly, Yves owns this	Yves
HG-VIP-01788	Andersen	Petra	Premier King	2	2025-12-17	gluten free, real, not preference	white wine, Oregon riesling	walks the Pearl, asks for Powell's map	Tusk, Bullard	dietary card matters, double check her every booking, do not skip	Jess
HG-VIP-01871	Tran	Linh and Kevin	Family Suite	3	2026-02-12	none	Vietnamese iced coffee, Phin filter	hotel car, baby on board	Pok Pok, Bullard	infant in room, request crib at check in always, low decibel hallway	Priya
HG-VIP-01934	McGuinness	Patrick	Hawthorne Suite	5	2026-02-19	none	Old Fashioned, anywhere reputable	walks	Higgins, late table	Patrick Doyle of Doyle and Sons Catering, Yves's mentor, family rate, do not over fuss	Yves
