invoice_id,invoice_number,type,contact_id,contact_name,date,due_date,status,line_amount_types,sub_total,total_tax,total,amount_due,amount_paid,currency_code,reference
iwx0001-0000-0000-0000-000000000001,INV-BEG-2026-Q1,ACCREC,cwx0001-0000-0000-0000-000000000001,Class Income Aggregate,2026-03-31,2026-03-31,PAID,NoTax,1620.00,0.00,1620.00,0.00,1620.00,USD,Beginner Mon Q1 2026
iwx0002-0000-0000-0000-000000000002,INV-BEG-2026-Q2,ACCREC,cwx0001-0000-0000-0000-000000000001,Class Income Aggregate,2026-06-30,2026-06-30,PAID,NoTax,1620.00,0.00,1620.00,0.00,1620.00,USD,Beginner Mon Q2 2026
iwx0003-0000-0000-0000-000000000003,INV-BEG-2026-Q3,ACCREC,cwx0001-0000-0000-0000-000000000001,Class Income Aggregate,2026-09-30,2026-09-30,PAID,NoTax,1240.00,0.00,1240.00,0.00,1240.00,USD,Beginner Mon Q3 2026 (Sep short due to Square feed break)
iwx0004-0000-0000-0000-000000000004,INV-INT-2026-Q1,ACCREC,cwx0001-0000-0000-0000-000000000001,Class Income Aggregate,2026-03-31,2026-03-31,PAID,NoTax,1773.00,0.00,1773.00,0.00,1773.00,USD,Intermediate Wed Q1 2026
iwx0005-0000-0000-0000-000000000005,INV-INT-2026-Q2,ACCREC,cwx0001-0000-0000-0000-000000000001,Class Income Aggregate,2026-06-30,2026-06-30,PAID,NoTax,1773.00,0.00,1773.00,0.00,1773.00,USD,Intermediate Wed Q2 2026
iwx0006-0000-0000-0000-000000000006,INV-INT-2026-Q3,ACCREC,cwx0001-0000-0000-0000-000000000001,Class Income Aggregate,2026-09-30,2026-09-30,PAID,NoTax,1478.60,0.00,1478.60,0.00,1478.60,USD,Intermediate Wed Q3 2026 (Sep short due to Stripe payout gap 295.40)
iwx0007-0000-0000-0000-000000000007,INV-CFF-2026-Q1,ACCREC,cwx0001-0000-0000-0000-000000000001,Class Income Aggregate,2026-03-31,2026-03-31,PAID,NoTax,1528.00,0.00,1528.00,0.00,1528.00,USD,Contemporary Fusion Thu Q1 2026
iwx0008-0000-0000-0000-000000000008,INV-CFF-2026-Q2,ACCREC,cwx0001-0000-0000-0000-000000000001,Class Income Aggregate,2026-06-30,2026-06-30,PAID,NoTax,1528.00,0.00,1528.00,0.00,1528.00,USD,Contemporary Fusion Thu Q2 2026
iwx0009-0000-0000-0000-000000000009,INV-CFF-2026-Q3,ACCREC,cwx0001-0000-0000-0000-000000000001,Class Income Aggregate,2026-09-30,2026-09-30,PAID,NoTax,1529.00,0.00,1529.00,0.00,1529.00,USD,Contemporary Fusion Thu Q3 2026
iwx0010-0000-0000-0000-000000000010,INV-OPN-2026-Q1,ACCREC,cwx0001-0000-0000-0000-000000000001,Class Income Aggregate,2026-03-31,2026-03-31,PAID,NoTax,1306.00,0.00,1306.00,0.00,1306.00,USD,Open Sat Q1 2026
iwx0011-0000-0000-0000-000000000011,INV-OPN-2026-Q2,ACCREC,cwx0001-0000-0000-0000-000000000001,Class Income Aggregate,2026-06-30,2026-06-30,PAID,NoTax,1306.00,0.00,1306.00,0.00,1306.00,USD,Open Sat Q2 2026
iwx0012-0000-0000-0000-000000000012,INV-OPN-2026-Q3,ACCREC,cwx0001-0000-0000-0000-000000000001,Class Income Aggregate,2026-09-30,2026-09-30,PAID,NoTax,1210.12,0.00,1210.12,0.00,1210.12,USD,Open Sat Q3 2026 (Sep short due to Square deposit gap 97.88)
iwx0013-0000-0000-0000-000000000013,INV-PVT-2026-Q1,ACCREC,cwx0002-0000-0000-0000-000000000002,Private Lesson Aggregate,2026-03-31,2026-03-31,PAID,NoTax,880.00,0.00,880.00,0.00,880.00,USD,Private lessons Q1 2026
iwx0014-0000-0000-0000-000000000014,INV-PVT-2026-Q2,ACCREC,cwx0002-0000-0000-0000-000000000002,Private Lesson Aggregate,2026-06-30,2026-06-30,PAID,NoTax,880.00,0.00,880.00,0.00,880.00,USD,Private lessons Q2 2026
iwx0015-0000-0000-0000-000000000015,INV-PVT-2026-Q3,ACCREC,cwx0002-0000-0000-0000-000000000002,Private Lesson Aggregate,2026-09-30,2026-09-30,PAID,NoTax,595.30,0.00,595.30,0.00,595.30,USD,Private lessons Q3 2026 (Sep short due to Stripe payout gap 284.70)
iwx0016-0000-0000-0000-000000000016,INV-CARLA-001,ACCREC,cwx0003-0000-0000-0000-000000000003,Carla Reyes,2026-10-04,2026-10-18,AUTHORISED,NoTax,120.00,0.00,120.00,120.00,0.00,USD,Private lesson 2026-10-04 outstanding
iwx0017-0000-0000-0000-000000000017,INV-WORK-2026-YTD,ACCREC,cwx0001-0000-0000-0000-000000000001,Class Income Aggregate,2026-09-30,2026-09-30,PAID,NoTax,720.00,0.00,720.00,0.00,720.00,USD,Workshop and popup YTD 2026
iwx0018-0000-0000-0000-000000000018,INV-MERCH-2026-YTD,ACCREC,cwx0001-0000-0000-0000-000000000001,Class Income Aggregate,2026-09-30,2026-09-30,PAID,NoTax,220.98,0.00,220.98,0.00,220.98,USD,Merchandise YTD 2026 (Sep merch table Square gap)
iwx0019-0000-0000-0000-000000000019,BILL-MKD-2026-1184,ACCPAY,cwx0008-0000-0000-0000-000000000008,MK Dancewear,2026-10-11,2026-11-01,AUTHORISED,NoTax,1360.00,0.00,1360.00,1360.00,0.00,USD,Fall Showcase costume order NET 30
iwx0020-0000-0000-0000-000000000020,BILL-IND-CARRY-2026,ACCPAY,cwx0009-0000-0000-0000-000000000009,IndieSyncWorks,2026-10-06,2026-10-20,AUTHORISED,NoTax,35.00,0.00,35.00,35.00,0.00,USD,Vimeo sync license Carry NET 14
iwx0021-0000-0000-0000-000000000021,BILL-RENT-2026-Q1,ACCPAY,cwx0006-0000-0000-0000-000000000006,Maribel Santos - Rhythm Dance Studio,2026-03-31,2026-03-31,PAID,NoTax,1200.00,0.00,1200.00,0.00,1200.00,USD,Studio rent Q1 2026 (Jan-Mar 400/mo)
iwx0022-0000-0000-0000-000000000022,BILL-RENT-2026-Q2,ACCPAY,cwx0006-0000-0000-0000-000000000006,Maribel Santos - Rhythm Dance Studio,2026-06-30,2026-06-30,PAID,NoTax,1200.00,0.00,1200.00,0.00,1200.00,USD,Studio rent Q2 2026 (Apr-Jun 400/mo)
