id,customer,subscription,amount_due,amount_paid,currency,status,number,charge,created,due_date
in_0000001,cus_buy-0015,,30000,30000,usd,paid,OMW-00001,ch_0000001,1772640723,1775232723
in_0000002,cus_buy-0019,,30000,30000,usd,paid,OMW-00002,ch_0000002,1766361128,1768953128
in_0000003,cus_buy-0049,,22000,22000,usd,paid,OMW-00003,ch_0000003,1759265001,1761857001
in_0000004,cus_buy-0001,,78000,78000,usd,paid,OMW-00004,ch_0000004,1759640510,1762232510
in_0000005,cus_buy-0070,,30000,30000,usd,paid,OMW-00005,ch_0000005,1764660808,1767252808
in_0000006,cus_buy-0085,,18000,18000,usd,paid,OMW-00006,ch_0000006,1762363291,1764955291
in_0000007,cus_buy-0069,,65000,65000,usd,paid,OMW-00007,ch_0000007,1778359534,1780951534
in_0000008,cus_buy-0043,,45000,45000,usd,paid,OMW-00008,ch_0000008,1764047674,1766639674
in_0000009,cus_buy-0029,,18000,18000,usd,paid,OMW-00009,ch_0000009,1765840391,1768432391
in_0000010,cus_buy-0093,,45000,45000,usd,paid,OMW-00010,ch_0000010,1774509117,1777101117
in_0000011,cus_buy-0036,,45000,45000,usd,paid,OMW-00011,ch_0000011,1770145351,1772737351
in_0000012,cus_buy-0015,,42000,42000,usd,paid,OMW-00012,ch_0000012,1753377322,1755969322
in_0000013,cus_buy-0033,,30000,30000,usd,paid,OMW-00013,ch_0000013,1753838996,1756430996
in_0000014,cus_buy-0092,,55000,55000,usd,paid,OMW-00014,ch_0000014,1782770440,1785362440
in_0000015,cus_buy-0020,,78000,78000,usd,paid,OMW-00015,ch_0000015,1770757374,1773349374
in_0000016,cus_buy-0097,,78000,78000,usd,paid,OMW-00016,ch_0000016,1776498667,1779090667
in_0000017,cus_buy-0009,,55000,55000,usd,paid,OMW-00017,ch_0000017,1780113768,1782705768
in_0000018,cus_buy-0006,,45000,45000,usd,paid,OMW-00018,ch_0000018,1781853920,1784445920
in_0000019,cus_buy-0079,,22000,22000,usd,paid,OMW-00019,ch_0000019,1780322442,1782914442
in_0000020,cus_buy-0019,,22000,22000,usd,paid,OMW-00020,ch_0000020,1779058277,1781650277
in_0000021,cus_buy-0100,,22000,22000,usd,paid,OMW-00021,ch_0000021,1767501220,1770093220
in_0000022,cus_buy-0084,,78000,78000,usd,paid,OMW-00022,ch_0000022,1763706601,1766298601
in_0000023,cus_buy-0013,,30000,30000,usd,paid,OMW-00023,ch_0000023,1777678204,1780270204
in_0000024,cus_buy-0087,,22000,22000,usd,paid,OMW-00024,ch_0000024,1757138347,1759730347
in_0000025,cus_buy-0105,,22000,22000,usd,paid,OMW-00025,ch_0000025,1765296113,1767888113
in_0000026,cus_buy-0119,,22000,22000,usd,paid,OMW-00026,ch_0000026,1767079425,1769671425
in_0000027,cus_buy-0103,,45000,45000,usd,paid,OMW-00027,ch_0000027,1766841005,1769433005
in_0000028,cus_buy-0116,,45000,45000,usd,paid,OMW-00028,ch_0000028,1752800861,1755392861
