id,name,email,description,currency,delinquent,balance,created,phone
cus_buy-0001,Joseph Smith,joseph.smith@example.com,Osborne Metalworks direct-etsy buyer,usd,False,0,1718994600,
cus_buy-0002,Tracy Smith,tracy.smith@example.com,Osborne Metalworks gallery-consigned buyer,usd,False,0,1748629800,
cus_buy-0003,Tami Moore,tami.moore@example.com,Osborne Metalworks gallery-consigned buyer,usd,False,0,1740162600,
cus_buy-0004,Adriana Harris,adriana.harris@example.com,Osborne Metalworks direct-etsy buyer,usd,False,0,1698517800,
cus_buy-0005,Ernest Guerrero,ernest.guerrero@example.com,Osborne Metalworks gallery-consigned buyer,usd,False,0,1782325800,
cus_buy-0006,Seth Escobar,seth.escobar@example.com,Osborne Metalworks fair-square buyer,usd,False,0,1731695400,
cus_buy-0007,Monique Hamilton,monique.hamilton@example.com,Osborne Metalworks gallery-consigned buyer,usd,False,0,1755023400,
cus_buy-0008,Andrew Brady,andrew.brady@example.com,Osborne Metalworks direct-instagram buyer,usd,False,0,1778092200,
cus_buy-0009,Anthony Rivera,anthony.rivera@example.com,Osborne Metalworks direct-etsy buyer,usd,False,0,1734287400,
cus_buy-0010,Peter Chapman,peter.chapman@example.com,Osborne Metalworks fair-square buyer,usd,False,0,1771957800,
cus_buy-0011,Diana Collins,diana.collins@example.com,Osborne Metalworks gallery-consigned buyer,usd,False,0,1710873000,
cus_buy-0012,Dana Smith,dana.smith@example.com,Osborne Metalworks direct-etsy buyer,usd,False,0,1732041000,
cus_buy-0013,Karen Duke,karen.duke@example.com,Osborne Metalworks direct-etsy buyer,usd,False,0,1743186600,
cus_buy-0014,Brandon Richards,brandon.richards@example.com,Osborne Metalworks direct-instagram buyer,usd,False,0,1766255400,
cus_buy-0015,Raymond Merritt,raymond.merritt@example.com,Osborne Metalworks gallery-consigned buyer,usd,False,0,1724524200,
cus_buy-0016,Gloria Sawyer,gloria.sawyer@example.com,Osborne Metalworks direct-etsy buyer,usd,False,0,1700418600,
cus_buy-0017,Christopher Smith,christopher.smith@example.com,Osborne Metalworks direct-etsy buyer,usd,False,0,1701109800,
cus_buy-0018,Jill Perry,jill.perry@example.com,Osborne Metalworks direct-instagram buyer,usd,False,0,1698777000,
cus_buy-0019,Joseph Jordan,joseph.jordan@example.com,Osborne Metalworks direct-instagram buyer,usd,False,0,1721845800,
cus_buy-0020,Jennifer Davila,jennifer.davila@example.com,Osborne Metalworks gallery-consigned buyer,usd,False,0,1755887400,
cus_buy-0021,Eileen Smith,eileen.smith@example.com,Osborne Metalworks fair-square buyer,usd,False,0,1730658600,
cus_buy-0022,Nathan Simmons,nathan.simmons@example.com,Osborne Metalworks fair-square buyer,usd,False,0,1721500200,
cus_buy-0023,Gregory Harris,gregory.harris@example.com,Osborne Metalworks direct-instagram buyer,usd,False,0,1688668200,
cus_buy-0024,Amanda Smith,amanda.smith@example.com,Osborne Metalworks direct-instagram buyer,usd,False,0,1705861800,
cus_buy-0025,Christopher Ellison,christopher.ellison@example.com,Osborne Metalworks fair-square buyer,usd,False,0,1775759400,
cus_buy-0026,Karen Smith,karen.smith@example.com,Osborne Metalworks fair-square buyer,usd,False,0,1717525800,
cus_buy-0027,Chad Miller,chad.miller@example.com,Osborne Metalworks direct-etsy buyer,usd,False,0,1780165800,
cus_buy-0028,Kathleen Norris,kathleen.norris@example.com,Osborne Metalworks direct-instagram buyer,usd,False,0,1781461800,
cus_buy-0029,Kelly Campbell,kelly.campbell@example.com,Osborne Metalworks gallery-consigned buyer,usd,False,0,1698172200,
cus_buy-0030,Sandra Roberts,sandra.roberts@example.com,Osborne Metalworks direct-instagram buyer,usd,False,0,1750617000,
