message_id,conversation_id,direction,from_wa_id,to_wa_id,type,text,template_name,status,sent_at
wa_msg_001,chat_ravi_kapoor,inbound,+17325550539,+17325550147,text,yo you still good for the grill sat? need to grab charcoal,,delivered,2026-09-29T18:30:00-04:00
wa_msg_002,chat_ravi_kapoor,inbound,+17325550539,+17325550147,text,bro that largemouth I caught sunday was legit 4 lbs. next trip we gotta hit round valley,,read,2026-09-24T20:15:00-04:00
wa_msg_003,chat_ravi_kapoor,outbound,+17325550147,+17325550539,text,"no way that was 4 lbs lol. round valley sounds good tho, maybe weekend after the bbq?",,read,2026-09-24T20:22:00-04:00
wa_msg_004,chat_ravi_kapoor,inbound,+17325550539,+17325550147,text,bet. also marcus said he's in for sunday hoops this week,,read,2026-09-27T19:00:00-04:00
wa_msg_005,chat_priya,inbound,+17325550148,+17325550147,text,Can you pick up Ana today? Nani has a doctor appt. I can't leave work early,,read,2026-09-28T13:00:00-04:00
wa_msg_006,chat_priya,outbound,+17325550147,+17325550148,text,"got it, ill grab her at 3. want me to swing by costco after?",,read,2026-09-28T13:10:00-04:00
wa_msg_007,chat_priya,inbound,+17325550148,+17325550147,text,"yes please! We need diapers, wipes, and paper towels. Love you",,read,2026-09-28T13:15:00-04:00
wa_msg_008,chat_family_group,inbound,+17325550310,group_jefferson_family,text,"Beta, Ana loved the new coloring books! She is very talented. - Nani",,read,2026-09-27T17:30:00-04:00
wa_msg_009,chat_family_group,outbound,+17325550147,group_jefferson_family,text,"ha she gets it from priya not me. mom, sunday dinner still at 11 right?",,read,2026-09-27T18:00:00-04:00
wa_msg_010,chat_amit,inbound,+17325550220,+17325550147,text,"Boss, the Chen Civic bumper is prepped. Carlos is spraying it first thing tomorrow morning.",,read,2026-09-24T16:45:00-04:00
wa_msg_011,chat_amit,outbound,+17325550147,+17325550220,text,"perfect. make sure carlos uses the envirobase for the blend, not the old stuff",,read,2026-09-24T17:00:00-04:00
wa_msg_012,chat_sunita,inbound,+17325550415,+17325550147,text,"Hari, can you review the Oct 5 run sheet by Thursday? I need to finalize the studio schedule. Thanks! - Sunita",,read,2026-09-29T09:30:00-04:00
wamid_bg_000,conv_bg_000,outbound,17325554272,17325550147,text,Thanks Hari!,,delivered,2026-09-05T14:00:00-04:00
wamid_bg_001,conv_bg_001,outbound,17325558018,17325550147,text,Can you send over the estimate?,,delivered,2026-09-08T08:00:00-04:00
wamid_bg_002,conv_bg_002,inbound,17325555502,17325550147,text,See you at 9,,delivered,2026-09-09T13:00:00-04:00
wamid_bg_003,conv_bg_003,outbound,17325552942,17325550147,text,Your Acura MDX is done!,,delivered,2026-08-11T10:00:00-04:00
wamid_bg_004,conv_bg_004,outbound,17325556584,17325550147,text,"Part is in, come by anytime",,delivered,2026-07-04T08:00:00-04:00
wamid_bg_005,conv_bg_005,outbound,17325559601,17325550147,text,Your Nissan Rogue is done!,,delivered,2026-07-19T17:00:00-04:00
wamid_bg_006,conv_bg_006,inbound,17325558126,17325550147,text,See you at 9,,delivered,2026-09-06T12:00:00-04:00
wamid_bg_007,conv_bg_007,inbound,17325551111,17325550147,text,"Part is in, come by anytime",,delivered,2026-09-27T11:00:00-04:00
wamid_bg_008,conv_bg_008,inbound,17325559096,17325550147,text,See you at 9,,delivered,2026-06-10T08:00:00-04:00
wamid_bg_009,conv_bg_009,inbound,17325559664,17325550147,text,"Part is in, come by anytime",,delivered,2026-09-10T12:00:00-04:00
wamid_bg_010,conv_bg_010,inbound,17325554698,17325550147,text,Can you send over the estimate?,,delivered,2026-09-26T17:00:00-04:00
wamid_bg_011,conv_bg_011,outbound,17325552865,17325550147,text,See you at 9,,delivered,2026-09-13T12:00:00-04:00
wamid_bg_012,conv_bg_012,outbound,17325552085,17325550147,text,Your VW Jetta is done!,,delivered,2026-08-08T08:00:00-04:00
wamid_bg_013,conv_bg_013,inbound,17325553255,17325550147,text,"Part is in, come by anytime",,delivered,2026-08-24T13:00:00-04:00
wamid_bg_014,conv_bg_014,outbound,17325559875,17325550147,text,Your Acura MDX is done!,,delivered,2026-06-14T12:00:00-04:00
wamid_bg_015,conv_bg_015,inbound,17325555839,17325550147,text,Can you send over the estimate?,,delivered,2026-07-15T16:00:00-04:00
wamid_bg_016,conv_bg_016,inbound,17325552373,17325550147,text,Can you send over the estimate?,,delivered,2026-06-26T11:00:00-04:00
wamid_bg_017,conv_bg_017,inbound,17325556045,17325550147,text,Thanks Hari!,,delivered,2026-08-24T13:00:00-04:00
wamid_bg_018,conv_bg_018,outbound,17325552077,17325550147,text,Can you send over the estimate?,,delivered,2026-09-07T13:00:00-04:00
wamid_bg_019,conv_bg_019,inbound,17325558639,17325550147,text,Thanks Hari!,,delivered,2026-09-01T11:00:00-04:00
wamid_bg_020,conv_bg_020,inbound,17325554725,17325550147,text,Can you send over the estimate?,,delivered,2026-06-28T16:00:00-04:00
wamid_bg_021,conv_bg_021,inbound,17325554588,17325550147,text,Your Ford Escape is done!,,delivered,2026-08-15T12:00:00-04:00
wamid_bg_022,conv_bg_022,inbound,17325559959,17325550147,text,Your Mazda CX-5 is done!,,delivered,2026-07-28T08:00:00-04:00
wamid_bg_023,conv_bg_023,outbound,17325555682,17325550147,text,Can you send over the estimate?,,delivered,2026-08-20T17:00:00-04:00
wamid_bg_024,conv_bg_024,outbound,17325557374,17325550147,text,Your Hyundai Sonata is done!,,delivered,2026-09-22T10:00:00-04:00
wamid_bg_025,conv_bg_025,outbound,17325559010,17325550147,text,Can you send over the estimate?,,delivered,2026-06-26T14:00:00-04:00
wamid_bg_026,conv_bg_026,inbound,17325554945,17325550147,text,"Part is in, come by anytime",,delivered,2026-09-15T14:00:00-04:00
wamid_bg_027,conv_bg_027,inbound,17325559048,17325550147,text,Thanks Hari!,,delivered,2026-08-08T09:00:00-04:00
wamid_bg_028,conv_bg_028,outbound,17325556761,17325550147,text,Your Subaru Forester is done!,,delivered,2026-08-11T18:00:00-04:00
wamid_bg_029,conv_bg_029,inbound,17325555098,17325550147,text,"Part is in, come by anytime",,delivered,2026-09-08T10:00:00-04:00
wamid_bg_030,conv_bg_030,outbound,17325552347,17325550147,text,Your Nissan Altima is done!,,delivered,2026-07-10T10:00:00-04:00
wamid_bg_031,conv_bg_031,inbound,17325553290,17325550147,text,See you at 9,,delivered,2026-09-24T08:00:00-04:00
