Month	Layla_Net_NGN	Marcus_Income_NGN	Total_Income	Rent	Nanny_Pay	School_Fees	Groceries	Fuel_Transport	Utilities_EEDC	Karen_Support	Books_Personal	Medical	Dining_Entertainment	Misc_Household	Total_Expenses	Net_Savings
January 2025	420000	350000	770000	120000	45000	85000	58000	39000	22000	30000	18000	8000	15000	22000	462000	308000
February 2025	420000	380000	800000	120000	45000	0	62000	41000	25000	30000	11000	24000	12000	18000	388000	412000
March 2025	420000	420000	840000	120000	45000	0	55000	40000	23000	30000	14000	6000	18000	31000	382000	458000
April 2025	420000	320000	740000	120000	45000	85000	59000	42000	26000	30000	8000	10000	10000	20000	455000	285000
May 2025	420000	380000	800000	120000	45000	0	61000	40000	24000	30000	22000	5000	14000	16000	377000	423000
June 2025	420000	400000	820000	120000	45000	0	64000	43000	28000	30000	9000	9000	20000	19000	387000	433000
July 2025	420000	390000	810000	120000	45000	0	57000	39000	22000	30000	15000	7000	11000	24000	370000	440000
August 2025	420000	360000	780000	120000	45000	0	65000	41000	25000	30000	10000	12000	16000	28000	392000	388000
September 2025	420000	380000	800000	120000	45000	85000	60000	44000	26000	30000	13000	8000	13000	21000	465000	335000
October 2025	420000	420000	840000	120000	45000	0	62000	40000	24000	30000	19000	6000	18000	17000	381000	459000
November 2025	420000	340000	760000	120000	45000	0	63000	41000	23000	30000	12000	10000	22000	35000	401000	359000
December 2025	420000	360000	780000	120000	45000	42500	72000	38000	18000	30000	12800	14000	46700	31000	470000	310000
