Date	Student_Name	Programme	Year_of_Study	Meeting_Type	Duration_min	Topics_Discussed	Actions_Assigned_to_Student	Deadline	Status
2025-01-14	Chukwuemeka Obi	MSc Agricultural Biotechnology	2	Weekly supervision	60	SSR marker analysis pipeline setup; literature gap in West African cassava diversity studies	Run 48-sample gel electrophoresis; update literature matrix	2025-01-28	Completed
2025-01-21	Adaeze Nwosu	PhD Crop Science	1	Induction meeting	90	Thesis outline review; WAITA yam field protocol briefing; reading list	Complete annotated bibliography chapters 1-3; field safety training	2025-02-07	Completed
2025-01-28	Obinna Eze	PhD Agronomy	1	Weekly supervision	45	Soil nutrient sampling design for Udi plots; statistical blocking plan	Finalize sampling grid map; submit draft to Derek Walsh for review	2025-02-10	Completed
2025-02-04	Chukwuemeka Obi	MSc Agricultural Biotechnology	2	Weekly supervision	60	Gel results review; allelic diversity table; Chapter 2 structure discussion	Draft Chapter 2 Methods section; rerun 4 failed marker reactions	2025-02-18	Completed
2025-02-11	Adaeze Nwosu	PhD Crop Science	1	Weekly supervision	60	Research proposal draft review; research gap sharpened to yam D. alata in SE Nigeria	Revise proposal intro; submit to Layla by Feb 28	2025-02-28	Completed
2025-02-18	Obinna Eze	PhD Agronomy	1	Weekly supervision	45	Reviewed soil sampling protocol; linked to WAADA ethics requirements	Complete ethics form Annex 4B and submit; start baseline measurements	2025-03-04	Completed
2025-04-01	Chukwuemeka Obi	MSc Agricultural Biotechnology	2	Milestone review	90	Year 2 progress review; Chapter 2 submitted for Layla comments; data interpretation discussion	Incorporate feedback on Chapter 2; begin Chapter 3 outline	2025-04-22	Completed
2025-04-15	Adaeze Nwosu	PhD Crop Science	1	Weekly supervision	60	Field site visits planning; yam genotype accession list from IITA	Confirm accession availability with IITA Ibadan; draft fieldwork permit application	2025-04-30	Completed
2025-05-06	Obinna Eze	PhD Agronomy	1	Weekly supervision	45	Baseline soil data review; pH variability across plots discussed	Outlier investigation for plot UDI-P07; write-up Section 3.1 draft	2025-05-20	Completed
2025-06-10	Chukwuemeka Obi	MSc Agricultural Biotechnology	2	Chapter review	90	Chapter 3 phylogenetic tree discussion; STRUCTURE analysis results	Finalize STRUCTURE bar plots; format references in APA 7th	2025-06-30	Completed
2025-07-08	Adaeze Nwosu	PhD Crop Science	1	Field prep meeting	60	Planting protocol for 12 yam accessions at Udi site; data collection forms	Prepare data recording sheets; coordinate with Derek for equipment check	2025-07-14	Completed
2025-08-12	Obinna Eze	PhD Agronomy	1	Results review	60	Reviewed mid-season soil N, P, K values; correlation with cassava yield preliminary look	Run Pearson correlation in R; prepare summary table for thesis Chapter 4	2025-08-26	Completed
2025-09-09	Chukwuemeka Obi	MSc Agricultural Biotechnology	2	Weekly supervision	60	Chapter 4 biofortification trait mapping; QTL discussion with Amina's EACRI dataset	Merge NNU and EACRI marker datasets carefully; send merged file to Layla	2025-09-23	Completed
2025-10-14	Adaeze Nwosu	PhD Crop Science	1	Harvest data review	75	Yam yield data from Udi plots; tuber weight and vine length measurements	Clean dataset in R; produce exploratory plots for weekly meeting	2025-10-28	Completed
2025-11-18	Obinna Eze	PhD Agronomy	1	Thesis chapter review	60	Reviewed Chapter 4 draft; discussion section needs strengthening; references incomplete	Expand discussion; add 6 more relevant citations; resubmit by Dec 9	2025-12-09	In Progress
2025-12-02	Chukwuemeka Obi	MSc Agricultural Biotechnology	2	Reference letter briefing	30	Discussed PhD application to UI; Layla to write reference letter by Jan 10 2026	Provide Layla with application details and CV by Dec 10	2025-12-10	Completed
2026-01-13	Adaeze Nwosu	PhD Crop Science	1	Year 1 annual review	90	Full Year 1 review: fieldwork completed, data collected; proposal defence scheduled Feb	Prepare defence slides; submit written report to Layla by Jan 27	2026-01-27	Completed
2026-01-20	Chukwuemeka Obi	MSc Agricultural Biotechnology	2	Weekly supervision	60	Chapter 4 revision; conference abstract for NNU Crop Science October 2026	Submit abstract draft to Layla by Feb 3	2026-02-03	Completed
