message_id,to_email,from_email,subject,template_id,status,opens,clicks,sent_at
sgm_001,maria@harborview-walker.com,jae.chandler@Finthesiss.ai,Invoice INV-2026-0212 from Chandler Electric LLC,tpl_invoice,delivered,2,1,2026-09-01T09:15:00-05:00
sgm_002,heaton.house@gmail.com,jae.chandler@Finthesiss.ai,Invoice INV-2026-0208 from Chandler Electric LLC,tpl_invoice,delivered,1,0,2026-09-10T11:00:00-05:00
sgm_003,jia.nguyen.bv@gmail.com,jae.chandler@Finthesiss.ai,Estimate from Chandler Electric LLC,tpl_estimate,delivered,3,1,2026-09-04T08:30:00-05:00
sgm_004,jkowalski.bayview@gmail.com,jae.chandler@Finthesiss.ai,Re: Solar inquiry - Chandler Electric LLC,,delivered,1,0,2026-09-08T14:20:00-05:00
sg_msg_ocavuyt6,john.rz4s@outlook.com,jae@chandlerelectric.com,Subject przyit,tpl_d1lq,delivered,1,0,2026-01-12T10:41:00
sg_msg_i1ams61r,mark.ftkh@yahoo.com,jae@chandlerelectric.com,Subject egsbqe,tpl_g5j2,opened,2,1,2025-01-15T10:08:00
sg_msg_yndfvjv0,tom.e927@yahoo.com,jae@chandlerelectric.com,Subject 35526h,tpl_iaeq,opened,2,1,2025-07-18T09:37:00
sg_msg_y24x97fg,tom.j40d@yahoo.com,jae@chandlerelectric.com,Subject 634via,tpl_ba4h,processed,0,1,2026-03-25T00:32:00
sg_msg_msfygz8t,sue.2l6k@yahoo.com,jae@chandlerelectric.com,Subject 4who57,tpl_x5pf,delivered,3,2,2026-01-14T22:32:00
sg_msg_zwxvx5hv,lisa.hspy@hotmail.com,jae@chandlerelectric.com,Subject r3crzq,tpl_7mk6,delivered,2,1,2025-04-07T02:09:00
sg_msg_od5i6d3j,bob.e8qc@contractor.net,jae@chandlerelectric.com,Subject npg5u9,tpl_gw8u,opened,0,2,2025-08-31T02:29:00
sg_msg_dg5kfs9y,tom.x3pl@chandlerelectric.com,jae@chandlerelectric.com,Subject 6f2xin,tpl_kldl,delivered,3,2,2025-05-04T16:30:00
sg_msg_8lq55mld,ann.1xjc@contractor.net,jae@chandlerelectric.com,Subject trnb1t,tpl_rffv,processed,1,0,2025-06-03T01:30:00
sg_msg_1xl2nmv7,sue.2tg9@contractor.net,jae@chandlerelectric.com,Subject 4j9n8z,tpl_6ux6,opened,3,2,2026-07-09T00:19:00
sg_msg_jrikpokz,john.xtwo@hotmail.com,jae@chandlerelectric.com,Subject hackxm,tpl_nths,delivered,3,2,2025-11-23T18:23:00
sg_msg_44ou2o39,pat.0576@gmail.com,jae@chandlerelectric.com,Subject 7u4tga,tpl_0cty,processed,0,2,2025-02-25T15:53:00
sg_msg_l7zfiymo,sarah.i1j2@gmail.com,jae@chandlerelectric.com,Subject 034q9l,tpl_t5n0,processed,2,2,2025-07-16T18:48:00
sg_msg_40n42lsm,lisa.2ux8@yahoo.com,jae@chandlerelectric.com,Subject t2ko2w,tpl_5sux,opened,3,0,2025-01-15T21:32:00
sg_msg_bikqdw8l,chris.9gyz@hotmail.com,jae@chandlerelectric.com,Subject foqo6a,tpl_vndd,opened,1,0,2026-05-01T00:30:00
sg_msg_00rapc3s,mike.nhld@yahoo.com,jae@chandlerelectric.com,Subject 0nca46,tpl_b963,opened,0,1,2025-03-03T01:44:00
sg_msg_5yeiw9tl,sarah.1l3q@chandlerelectric.com,jae@chandlerelectric.com,Subject hmtk8n,tpl_73gc,delivered,3,1,2025-05-24T01:32:00
sg_msg_sotymei4,tom.wxcx@chandlerelectric.com,jae@chandlerelectric.com,Subject 0vh8dh,tpl_hr9h,processed,2,1,2025-01-07T05:40:00
sg_msg_y2iwfmd5,jane.fhr9@yahoo.com,jae@chandlerelectric.com,Subject 7ywf05,tpl_aisa,opened,0,2,2025-01-02T07:16:00
sg_msg_g8jzwja2,chris.aden@hotmail.com,jae@chandlerelectric.com,Subject 5zh148,tpl_3lpn,delivered,0,2,2026-05-10T14:17:00
sg_msg_9a6onjt5,tom.k18h@gmail.com,jae@chandlerelectric.com,Subject jjt6h1,tpl_qozq,processed,3,0,2026-07-22T10:40:00
sg_msg_fmh6g12c,john.gz6v@chandlerelectric.com,jae@chandlerelectric.com,Subject 19mjn9,tpl_08an,opened,2,1,2026-01-04T21:11:00
sg_msg_9xruts97,tom.q897@chandlerelectric.com,jae@chandlerelectric.com,Subject gadmkz,tpl_o4um,processed,1,0,2026-03-07T05:06:00
sg_msg_57ll9cjw,lisa.c4a6@gmail.com,jae@chandlerelectric.com,Subject 9hbzil,tpl_w5cs,delivered,1,0,2026-07-22T18:06:00
sg_msg_cv1nl77u,bob.r024@yahoo.com,jae@chandlerelectric.com,Subject qhk9f7,tpl_keef,delivered,0,0,2025-10-20T06:22:00
sg_msg_71yhe9e8,mike.8r66@chandlerelectric.com,jae@chandlerelectric.com,Subject w8ssb3,tpl_gaz3,opened,2,0,2025-12-30T02:16:00
sg_msg_n7ilaf8v,john.fbz6@chandlerelectric.com,jae@chandlerelectric.com,Subject 2b14nd,tpl_lfle,opened,1,0,2026-03-14T01:02:00
sg_msg_su7l74qj,ann.cvy8@yahoo.com,jae@chandlerelectric.com,Subject nyho4x,tpl_kllp,delivered,0,1,2025-03-29T07:01:00
sg_msg_7ubocjo8,mark.2etl@outlook.com,jae@chandlerelectric.com,Subject jiz967,tpl_l6ad,opened,0,2,2025-11-16T00:45:00
sg_msg_frq6ab8c,jane.9g7o@contractor.net,jae@chandlerelectric.com,Subject o61csu,tpl_9aa2,processed,2,0,2026-02-14T01:15:00
sg_msg_s6jmgl4k,mike.llgg@yahoo.com,jae@chandlerelectric.com,Subject rga6vz,tpl_hbr9,delivered,1,0,2026-07-16T22:06:00
sg_msg_9slg2vaf,tom.n0qt@contractor.net,jae@chandlerelectric.com,Subject ofojt6,tpl_dxxh,opened,1,0,2026-08-19T11:38:00
sg_msg_w8bbw5iq,ann.z222@gmail.com,jae@chandlerelectric.com,Subject ag0mtg,tpl_iy0s,processed,0,0,2025-11-10T16:43:00
sg_msg_5zz6by9r,sarah.kzab@outlook.com,jae@chandlerelectric.com,Subject xefsah,tpl_pan9,processed,1,0,2025-09-10T13:28:00
sg_msg_h3dtd0mn,lisa.n652@hotmail.com,jae@chandlerelectric.com,Subject tw9vu7,tpl_7mdj,delivered,1,2,2025-04-17T23:11:00
sg_msg_uwlvl6nf,mark.cjzi@hotmail.com,jae@chandlerelectric.com,Subject l672sj,tpl_0eey,opened,2,1,2025-08-17T19:51:00
sg_msg_76k2qjsv,sarah.o7zh@contractor.net,jae@chandlerelectric.com,Subject hdg8s6,tpl_xo6e,delivered,3,1,2026-03-14T03:00:00
sg_msg_hex701m5,ann.qeh3@chandlerelectric.com,jae@chandlerelectric.com,Subject pizc2b,tpl_c9hj,opened,2,1,2025-10-10T03:22:00
sg_msg_g4gsu7fe,tom.if2s@chandlerelectric.com,jae@chandlerelectric.com,Subject j2oelv,tpl_17wm,processed,3,0,2026-08-30T18:44:00
sg_msg_dsz76m2c,lisa.z8mq@contractor.net,jae@chandlerelectric.com,Subject roac2k,tpl_3rha,delivered,0,1,2025-02-19T03:29:00
sg_msg_0spu7o1i,chris.0fhw@yahoo.com,jae@chandlerelectric.com,Subject i4y2ea,tpl_kllc,opened,1,1,2025-07-14T00:21:00
sg_msg_cppgzodm,sue.945z@hotmail.com,jae@chandlerelectric.com,Subject g9revv,tpl_1xxr,delivered,0,2,2025-08-05T15:23:00
sg_msg_wngmnu7f,sue.gw75@gmail.com,jae@chandlerelectric.com,Subject 9two9d,tpl_sah4,processed,1,1,2025-11-30T10:20:00
sg_msg_f0pdtq6t,jane.uzds@outlook.com,jae@chandlerelectric.com,Subject q16ki9,tpl_xdx2,processed,1,0,2026-03-14T21:02:00
sg_msg_smbhfcye,lisa.xvfv@contractor.net,jae@chandlerelectric.com,Subject ckei9p,tpl_x3ib,opened,0,1,2025-05-19T01:13:00
sg_msg_y82ve88b,sue.2wd1@outlook.com,jae@chandlerelectric.com,Subject 9jpk7s,tpl_83s6,opened,0,1,2026-06-22T16:04:00
sg_msg_fsseaojv,tom.rk9b@contractor.net,jae@chandlerelectric.com,Subject mxouqn,tpl_iyc4,processed,0,1,2026-08-05T18:56:00
sg_msg_v9u9yek9,dan.v5gi@hotmail.com,jae@chandlerelectric.com,Subject hxdm0t,tpl_dpv2,processed,1,1,2025-05-11T13:41:00
sg_msg_ff7vk4bs,john.8vkw@chandlerelectric.com,jae@chandlerelectric.com,Subject lmzo6i,tpl_dkrm,processed,1,0,2026-09-07T21:20:00
sg_msg_jr7wm2ay,pat.z79a@gmail.com,jae@chandlerelectric.com,Subject nnm8js,tpl_hm6t,opened,0,0,2026-06-29T00:29:00
sg_msg_qcp3k6bw,jane.emfu@yahoo.com,jae@chandlerelectric.com,Subject y6hqet,tpl_djur,processed,2,1,2026-09-04T10:29:00
sg_msg_rbcqi704,mark.503g@chandlerelectric.com,jae@chandlerelectric.com,Subject do85vp,tpl_87pr,delivered,0,0,2025-07-31T20:09:00
