sid,from_number,to_number,body,status,direction,num_segments,price,price_unit,error_code,date_sent,date_created
SM_001,+14145556289,+14145552410,Reminder: Final walk on Harborview tomorrow Oct 8 at 8:00 AM with Dan. -Jae,delivered,outbound-api,1,-0.0075,USD,,2026-10-07T17:00:00-05:00,2026-10-07T17:00:00-05:00
SM_002,+14145556289,+14145553128,"Janet, this is Jae Chandler. Following up on the solar inquiry. Reply YES if you'd like a site visit.",delivered,outbound-api,1,-0.0075,USD,,2026-09-28T11:00:00-05:00,2026-09-28T11:00:00-05:00
SM_003,+14145552451,+14145556289,"Hi Jae, kitchen breaker tripped again last night. Can someone come look? - Ron Heaton",received,inbound,1,0,USD,,2026-09-25T08:14:00-05:00,2026-09-25T08:14:00-05:00
SMfji0r8hxjx6i95tf29tojrj7no39rj,+14145554489,+14145558220,msg vt996nly3rurojie0qh9,failed,3,1,2025-09-21T04:27:00,$0.0052,outbound-api,,
SM34bezdn53uc5yfe0w9yr1648h27zzk,+14145554159,+14145551448,msg fhxc419uateerdff74vz,failed,1,2025-05-25T07:48:00,2026-01-25T23:42:00,$0.0065,outbound-api,,
SMbswyssn8lf9gw4gs2v7ux4dt0xyxd7,+14145552304,+14145557355,msg 3mn3gla6gv0d8fmocb3j,queued,3,2025-04-06T22:10:00,2026-08-10T21:57:00,$0.0157,outbound-api,,
SMsf42b9i7rpmpigtge3i6bkk5dt4sta,+14145552162,+14145556949,msg hu92n95kttgdjdfhk3eh,failed,3,2025-09-16T21:22:00,2026-09-08T18:44:00,$0.0199,outbound-api,,
SMg2kd29sjcbq5wxzbl1p1l8rzj5dt50,+14145551372,+14145558889,msg 5i0z9xt3or3k66vnje79,failed,3,2025-10-21T16:36:00,2026-06-24T15:48:00,$0.0332,outbound-api,,
SMc0z7apmase8ahs31fb2zm5i8spgnx9,+14145559493,+14145555464,msg ewqcqvufhxgkpjizfl42,queued,1,2026-08-08T00:17:00,2025-05-18T06:34:00,$0.0365,outbound-api,,
SM8u78eplawcor22o7btlnmwgfp481us,+14145559318,+14145556369,msg 1rkemtjq4rb3hfzc4voz,sent,1,2025-04-02T06:25:00,2025-03-03T09:42:00,$0.0172,outbound-api,,
SMwp4lifjv8u9qyzxpxdco706y1lexep,+14145554218,+14145552330,msg ok9aa1ecriwyyn3wukc0,sent,1,2025-11-02T07:54:00,2026-06-11T15:48:00,$0.0427,outbound-api,,
SMqw4zhh9wcwrg7ocibxbr1et8ewppa9,+14145552612,+14145556467,msg x607jc11fliqf6nm1czg,queued,3,2025-03-01T18:43:00,2025-04-02T17:54:00,$0.0354,outbound-api,,
SM4rx0n1bhdhi0h7s7peg8j3wqrkjfv9,+14145552551,+14145552712,msg skt8mfh443k7a7je8mcc,sent,1,2025-10-01T23:48:00,2026-06-03T11:35:00,$0.0155,outbound-api,,
SMqt7inmbsxrshy5zauq35vu1pzlsb37,+14145551970,+14145558326,msg retbutosymospndjdpev,sent,1,2025-02-18T11:51:00,2026-01-09T23:09:00,$0.0226,outbound-api,,
SMbqilpcxp6ydg7g3or3f7s4pm1s6r05,+14145553669,+14145557466,msg d3ms8zbowrgxh7qqksvg,sent,1,2025-10-02T17:06:00,2025-12-24T07:46:00,$0.0157,outbound-api,,
SM9jy8n589j2vo8cvvo550lrw53a7wkt,+14145554120,+14145552201,msg 5vdawwtaf0ne96x50p5r,failed,2,2026-07-13T21:06:00,2025-08-21T05:05:00,$0.0387,outbound-api,,
SM2yeedlgua6ia618sv2ujkbasqmec6p,+14145556571,+14145554870,msg d83yznyolycyyk7yp3sb,sent,3,2025-10-04T17:55:00,2025-06-01T13:37:00,$0.0161,outbound-api,,
SM10jr1r7fkqf9oeanjwsu6k4ne3mrib,+14145555737,+14145552920,msg dbds8s6ie0h3h7af1i7a,delivered,2,2026-08-26T21:25:00,2026-06-11T03:31:00,$0.0287,outbound-api,,
SMwpbwxebdq8xb18vl776n0h955dz6hl,+14145551247,+14145557573,msg y43ntz41mwdm01l3sl5l,delivered,2,2025-01-25T19:29:00,2025-05-03T07:44:00,$0.0308,outbound-api,,
SMya90kfctxvbm5tks0v1odjr15l418g,+14145559391,+14145559161,msg b8umevmiizmxawcmz14k,failed,1,2025-11-24T12:44:00,2026-09-29T08:36:00,$0.0314,outbound-api,,
SM5cbo349ts6m4i4dswj48m936pihiam,+14145555419,+14145555385,msg dmxfms8wdy2yz7tuyoaq,queued,1,2025-08-11T12:20:00,2025-10-29T07:42:00,$0.0424,outbound-api,,
SM2033xkofl46au6s9ig4kpsmvk2bb1e,+14145556071,+14145551902,msg vt6z3gvmaarx72673sb2,sent,2,2025-04-21T10:54:00,2026-06-04T04:54:00,$0.0095,outbound-api,,
SMeibvxgtyenlukwm0ndkznj63v3e44f,+14145552462,+14145552948,msg osws4ie1zh1cmagw1uqq,queued,3,2026-02-21T17:36:00,2026-05-22T12:41:00,$0.0342,outbound-api,,
SMphxtjr7bajayhbatzoi6fskcoxzp6n,+14145554041,+14145559044,msg o9ip1fcbn53wgqzvbshj,failed,3,2025-06-02T21:28:00,2025-12-01T19:36:00,$0.0306,outbound-api,,
SMgyafegyfavzdba7u2jfbykvldphvxa,+14145559997,+14145555078,msg b1hj7wrpz59usfiwkobh,queued,2,2026-02-15T04:25:00,2025-11-30T09:57:00,$0.0179,outbound-api,,
SMv66u5ul8nzs563uwgv7aanfky7jiij,+14145554520,+14145554027,msg zp28r873k5mp7b1lfd2e,queued,1,2025-05-06T14:49:00,2026-08-19T12:55:00,$0.0283,outbound-api,,
SMdlbyrrsvxam20eg1mvt8ogfwqrz3jb,+14145559927,+14145551107,msg t199pznw8y0h1ujmgx9s,queued,1,2025-02-21T10:30:00,2026-08-25T07:12:00,$0.0390,outbound-api,,
SMq4eugqljdgtqe9cil5mim9fo9hnwwd,+14145552293,+14145551891,msg m9lbuoh0tz65rcgeh3p0,queued,2,2025-09-01T16:15:00,2026-06-03T12:43:00,$0.0355,outbound-api,,
SMhx2rbk64m9dl4rmwu55p3s835zw43e,+14145556982,+14145551882,msg asm65cd4uvizo439lt7m,queued,2,2025-10-19T12:21:00,2025-06-12T13:03:00,$0.0129,outbound-api,,
SMx24drdpoxi3t88a8qnzoc9ow40fwqf,+14145556733,+14145556246,msg 8ylj69171faiae363sg8,queued,1,2026-03-07T04:26:00,2026-04-20T01:00:00,$0.0467,outbound-api,,
SMnde7oi50my48njnlgfhg7pk1q65nvt,+14145554477,+14145558780,msg di7bx63jzdx0gxxrbl4m,delivered,2,2025-09-23T11:16:00,2025-01-18T01:14:00,$0.0221,outbound-api,,
SMcdmn1kloel78fukm1a1bqjed1ueaau,+14145553598,+14145554964,msg uwlxj6qx24gwbdffqa43,queued,3,2025-06-18T04:17:00,2026-09-14T19:29:00,$0.0352,outbound-api,,
SMtv5cru2s8mes6ehfeqh0ni5sfap7vx,+14145552074,+14145557958,msg hti0kcj1jxf5lr7kklk4,failed,3,2025-09-20T14:50:00,2025-12-27T00:57:00,$0.0325,outbound-api,,
SMv2rbmx01uhdzbsxmbkfe526080ciph,+14145554114,+14145554360,msg 4c17zvbwbal5srwllpyx,sent,3,2025-06-11T05:29:00,2026-06-27T13:01:00,$0.0271,outbound-api,,
SMzcxxtim392n5wwxzvgdd9xo75y9vk5,+14145553619,+14145553206,msg 70b494mojdgrgyjmcuoz,delivered,1,2026-02-25T17:08:00,2025-01-01T08:41:00,$0.0072,outbound-api,,
SMupmwho90y6key7rfob8q4gc8lyr2m6,+14145553468,+14145553099,msg soav9hf9u9eg4qrn63jz,sent,2,2025-09-29T12:53:00,2025-07-11T08:10:00,$0.0341,outbound-api,,
SMnklzh0vz942htj02wqc6cs2luvp8z6,+14145555393,+14145559121,msg edg8i3hgl71q989w5eka,failed,1,2025-10-11T00:21:00,2026-05-28T16:54:00,$0.0238,outbound-api,,
SMhawegzyshk7ek7e9nijz1w42szytgc,+14145556521,+14145553403,msg 2ln03kds2zhznreqi79f,failed,1,2026-04-05T19:05:00,2025-11-19T14:25:00,$0.0105,outbound-api,,
SMm8mjpxs4wd30rsngr0s8svb8rwjm66,+14145553671,+14145557311,msg poa4trp0fzeyptkq9j8i,sent,2,2026-08-15T18:15:00,2026-09-30T11:09:00,$0.0492,outbound-api,,
SMfzhg8wktdda3y45lc17ie1ayo9ocha,+14145551611,+14145557491,msg lcfpg0anos07z61fylg3,failed,3,2025-10-19T12:16:00,2026-09-03T16:41:00,$0.0277,outbound-api,,
SMrch5g9udr67cot7b2thuzvcyobencv,+14145555836,+14145557593,msg 8lxyx5fudu6wz0m32quw,sent,2,2026-05-15T20:08:00,2025-03-20T07:01:00,$0.0134,outbound-api,,
SMqe6p2eqwjf1qvckuhv2by924bbk5bx,+14145555747,+14145551082,msg irfrlfov3n0r9z9debkn,sent,3,2025-11-08T00:37:00,2025-04-23T19:55:00,$0.0483,outbound-api,,
SMsx2dxua7jy08lux6702ycwo75q1a0s,+14145557874,+14145558415,msg 1moz51k8jrnclvp9tdlu,sent,3,2025-01-30T02:13:00,2025-03-11T11:42:00,$0.0330,outbound-api,,
SMf3mj5gdur5vvj1djocl42xseduey4h,+14145554091,+14145556048,msg 3oin9wcerey9s8ygkn28,sent,1,2026-08-14T12:43:00,2026-09-16T02:57:00,$0.0233,outbound-api,,
SM27xljd68s4lm3v8c9ka970hcthtjqg,+14145558195,+14145559465,msg 13doxndha7hk69wvs4b2,delivered,3,2025-09-11T14:34:00,2025-01-02T23:03:00,$0.0409,outbound-api,,
SMei66hm8tpfyntb31va9zanc7fsg7lp,+14145557731,+14145551374,msg 5f9i6izu25zab65ehub8,failed,2,2025-03-24T21:35:00,2025-06-20T05:23:00,$0.0058,outbound-api,,
SM50r68xr9p54cyhg6pjvvm0e6ksnefr,+14145554674,+14145551478,msg qracezl9kegjkfo9agvm,sent,3,2025-05-26T22:26:00,2025-11-09T15:05:00,$0.0248,outbound-api,,
SMw4z3xvelqbzfctdxpdn90a51sgu1yh,+14145559218,+14145554920,msg gwccdwfn6z6nvswjuxkz,delivered,3,2025-04-05T08:00:00,2026-03-07T16:36:00,$0.0087,outbound-api,,
SM5qll3f01n4z6heoqzolxk6f1ianycl,+14145551370,+14145554205,msg mi7tdh9s1i5lgqdpe3a3,failed,1,2026-04-26T06:43:00,2025-08-15T22:11:00,$0.0255,outbound-api,,
SMtlz8gvuypke587tc7ponh7ocjj3773,+14145558115,+14145551546,msg 3lf33651qq9nak73x7gi,failed,1,2025-01-25T05:36:00,2025-06-26T06:42:00,$0.0261,outbound-api,,
SMprh1firvgm09xusme041yoe2tf2qtt,+14145551405,+14145559183,msg gthlx9s5j9rv26tigbtb,queued,1,2026-09-21T19:04:00,2026-06-28T10:41:00,$0.0294,outbound-api,,
SMy55n9rhoet240quuz1ehs8d68trrew,+14145559143,+14145551997,msg amsfhpdtge2iup7171vj,failed,1,2026-04-09T23:05:00,2025-05-02T01:38:00,$0.0241,outbound-api,,
SM1fk38n2hxlt2a5c162tbpeaojd8263,+14145556227,+14145551600,msg 5kjf7ce6rh9sook5ti2b,failed,2,2026-08-24T20:06:00,2026-03-06T14:24:00,$0.0168,outbound-api,,
SMsr1xt31jflft6zz0ac0jiman6s1bs3,+14145551988,+14145554156,msg r4a6gv9c8jyksaqaecwa,sent,3,2025-09-11T19:44:00,2026-01-07T11:07:00,$0.0465,outbound-api,,
SM2wh06czjqkn0mtl4tqh0vvdlxhq3x4,+14145558560,+14145553830,msg hl708228yoankg9nsy38,sent,1,2025-07-27T06:37:00,2026-08-13T15:10:00,$0.0353,outbound-api,,
SM05gms6u6k9oa794haky32006r0dtix,+14145559133,+14145556766,msg 0tfbr0lcqolhg9z25oaa,failed,2,2026-07-02T03:46:00,2025-01-13T13:07:00,$0.0456,outbound-api,,
SMfsbp6cn42f5pc5gvuwo8z1f7ct9dim,+14145559974,+14145555020,msg 4jafw9vbbi9a1jjq2a21,delivered,2,2025-10-11T11:59:00,2025-12-03T08:55:00,$0.0340,outbound-api,,
SM4n2uw2in8q2xqpro28kxm0bg1to5ui,+14145557095,+14145553552,msg 70hgtnxz6n5ttlq76ivm,failed,2,2025-05-04T21:04:00,2025-12-02T04:45:00,$0.0351,outbound-api,,
SMcubmrhqj2t63r1n2w2dpmcnhz3be6v,+14145557125,+14145551691,msg 3fbq1mb5w2agc9m1p5u8,failed,3,2026-05-30T14:56:00,2026-05-01T16:32:00,$0.0191,outbound-api,,
SMacsn0kdm4cwnehn2j9jzhbx0hotarl,+14145555099,+14145558169,msg 0bt51ba13a4qx2qu80uz,failed,2,2025-12-08T16:15:00,2025-11-23T20:49:00,$0.0426,outbound-api,,
SMpnb14qj0hv13i6ybdxmhpsz77wmccz,+14145557596,+14145557126,msg qnjhc95ld1bhbjio1nb0,delivered,1,2025-09-08T01:53:00,2025-11-11T18:51:00,$0.0226,outbound-api,,
SMfch5ltu8ikox2stqyg86o908vf9yge,+14145559511,+14145552884,msg bbiuklyosms4xw0ikygs,delivered,1,2026-05-04T14:07:00,2025-05-26T23:59:00,$0.0306,outbound-api,,
SM8malucod1ewgyenz9ggcegjjuif0fi,+14145557754,+14145551509,msg c5d6xsmgpfeuap6slxa8,failed,3,2025-12-22T19:26:00,2026-06-13T12:59:00,$0.0438,outbound-api,,
SM28ou6clu9hq7x9j1lgkalvxo39vhuh,+14145552211,+14145556186,msg 1guyebkzagd1ulaz43x9,failed,2,2026-01-27T11:55:00,2025-04-26T17:42:00,$0.0303,outbound-api,,
SMnyjmb1rkm0g8z1xiv4idwoz4tvtgrd,+14145553114,+14145551618,msg yxjwbblyrdessdvf70i1,delivered,2,2025-06-11T03:48:00,2025-08-06T04:16:00,$0.0320,outbound-api,,
SM73kn3e9v61ozun08ggor5mzuohtoq5,+14145554855,+14145559579,msg h391qrefrruwgrk9sboq,sent,3,2026-08-09T10:44:00,2026-08-15T20:33:00,$0.0351,outbound-api,,
SMbjf0yz4g76lkc9mzv9s887uhg27zbn,+14145552343,+14145551345,msg knu6ck52w65ew3mkq6ey,queued,2,2026-04-30T11:39:00,2026-07-15T08:04:00,$0.0187,outbound-api,,
SMgr8xyqgnzihnv0hnduk8t2ozj2vdnc,+14145558701,+14145557284,msg ifayyggnbqkxh677wyau,sent,2,2026-02-17T03:53:00,2025-10-30T20:26:00,$0.0442,outbound-api,,
SMcvw7yvtjawwzinafx6zch6sp0rgj84,+14145553206,+14145559571,msg datn7685mafshjhyladq,sent,3,2025-01-04T21:36:00,2025-11-26T14:59:00,$0.0082,outbound-api,,
