sid,from_number,to_number,status,direction,duration,price,price_unit,answered_by,start_time,end_time,date_created
CA_001,+14145556289,+14145559100,completed,outbound-dial,318,-0.0140,USD,human,2026-09-28T13:45:00-05:00,2026-09-28T13:50:18-05:00,2026-09-28T13:45:00-05:00
CA_002,+14145552410,+14145556289,completed,inbound,211,0,USD,human,2026-09-29T10:18:00-05:00,2026-09-29T10:21:31-05:00,2026-09-29T10:18:00-05:00
CAjkxs7pnszay5jy7a6fwnrinoknoyja,+14145559544,+14145554351,no-answer,506,2026-05-17T13:33:00,2025-08-20T09:37:00,$0.0111,outbound-api,,,
CAaeoxqm4m9jtf5w85tas7q4x6ncctnl,+14145551538,+14145555546,completed,213,2026-06-09T09:13:00,2026-09-18T18:12:00,$0.0355,outbound-api,,,
CAz4s1k6azpas3kz319a8aajo4f4v4di,+14145553777,+14145555178,busy,486,2025-09-23T04:17:00,2026-02-18T18:49:00,$0.0160,outbound-api,,,
CAr919dnb8ax59qfrqezcvog38g5qoyg,+14145557264,+14145553465,completed,545,2026-09-08T09:43:00,2026-06-06T14:56:00,$0.0423,outbound-api,,,
CAm0lld11k8bk77jtnecdhmwmn89joyn,+14145556331,+14145555716,failed,474,2026-01-17T09:23:00,2026-07-21T17:02:00,$0.0200,outbound-api,,,
CAnq5i1rg35zkpzsc1i7fy31bu681jj8,+14145552282,+14145553234,completed,265,2025-04-30T14:00:00,2026-02-22T22:31:00,$0.0596,outbound-api,,,
CAdz2ldb0tlkbcr3qnvkq6p42hryplw1,+14145558336,+14145552766,no-answer,332,2025-05-03T12:35:00,2025-03-07T17:55:00,$0.0337,outbound-api,,,
CAlk30vu6f5t2hi7zouy7r8zc1fax4th,+14145559583,+14145552098,failed,145,2025-08-21T03:37:00,2026-02-02T06:18:00,$0.0822,outbound-api,,,
CAvo8hpwy86c931luxuf3cffy3coru1z,+14145558686,+14145553236,completed,58,2025-03-27T20:28:00,2026-03-20T20:52:00,$0.0807,outbound-api,,,
CAm923mwbx7l8wuyqjav959ffongjbtj,+14145553237,+14145556590,no-answer,432,2025-07-27T17:18:00,2026-02-01T14:51:00,$0.0899,outbound-api,,,
CAe20tidsshvbzfkib3xz7ruy5g33zcp,+14145555279,+14145557966,no-answer,30,2025-12-12T05:09:00,2025-03-15T16:32:00,$0.0268,outbound-api,,,
CAfre3t0snixmofblwkohdl238c58obr,+14145554203,+14145553064,busy,352,2026-03-11T19:41:00,2026-02-17T09:05:00,$0.0263,outbound-api,,,
CAdvempor3gb91vw9x6diyls98w9z3y5,+14145551136,+14145558374,failed,388,2026-04-24T19:18:00,2026-06-04T17:45:00,$0.0784,outbound-api,,,
CAqzwgn2g781qk7srd5iprs3kcsidoeu,+14145552171,+14145553355,failed,125,2026-01-13T18:27:00,2025-11-21T12:57:00,$0.0299,outbound-api,,,
CAbwf61ejny9tnadln6wrnde9lc5ovwu,+14145559012,+14145557109,busy,471,2026-05-09T15:08:00,2026-07-17T17:38:00,$0.0261,outbound-api,,,
CA4d9xu6l9x66ss1pab86ctlyy70r3jf,+14145557676,+14145553408,completed,321,2026-07-15T23:03:00,2025-05-29T04:37:00,$0.0771,outbound-api,,,
CAd36ptekibdlg3f8it7xbvo3k8v2rq2,+14145556189,+14145557410,failed,192,2026-09-25T23:20:00,2026-05-15T13:37:00,$0.0779,outbound-api,,,
CAud1l643iiyfk6ft9zysw9u9i9w9o97,+14145557341,+14145558575,failed,204,2026-06-17T22:30:00,2026-05-07T06:48:00,$0.0703,outbound-api,,,
CA87yac13aq17sn0ajlbrg1uh65el38p,+14145552886,+14145553560,failed,326,2025-11-30T02:48:00,2026-05-28T15:33:00,$0.0913,outbound-api,,,
CAgwyjcnwn0xcbdyp1vwat2oqbaabg3z,+14145559571,+14145557550,completed,166,2025-10-14T16:54:00,2026-01-12T19:04:00,$0.0985,outbound-api,,,
CAlde31w1vq5v4u809d794ah5r78hu6t,+14145559607,+14145556768,no-answer,539,2025-09-19T19:38:00,2026-06-20T21:45:00,$0.0483,outbound-api,,,
CAo9eobcq0589hhe4pxm9wptgei2d0fp,+14145553792,+14145555323,completed,131,2026-04-15T00:13:00,2026-01-28T22:27:00,$0.0924,outbound-api,,,
CAio5b146ozp6bahnjkdgnr5jewyory2,+14145558520,+14145556933,no-answer,352,2026-09-28T18:21:00,2025-12-08T00:04:00,$0.0788,outbound-api,,,
CAueiajdz4pn30w2duwaondjul05mmgz,+14145551955,+14145553704,completed,114,2026-06-19T05:10:00,2026-08-26T19:05:00,$0.0735,outbound-api,,,
CA5zpc37mzvwuo3z3zuohfirdtxmvw2q,+14145559731,+14145554053,failed,558,2026-07-07T17:17:00,2025-09-29T02:27:00,$0.0625,outbound-api,,,
CAzel5x66x6ftmn70mpkhfbycyo3h0jh,+14145559971,+14145554000,no-answer,308,2025-05-30T22:19:00,2026-07-21T21:47:00,$0.0591,outbound-api,,,
CAo7as8mi34ndm3pzg6r6jixxht0ydw4,+14145554041,+14145552295,completed,354,2026-09-05T05:40:00,2025-07-25T08:26:00,$0.0199,outbound-api,,,
CAz9zbspho72zesq9tsm9kwem8yvdcyr,+14145558772,+14145555883,no-answer,497,2026-03-17T23:18:00,2026-06-16T10:01:00,$0.0956,outbound-api,,,
CAv7h6v46f7y2acq1n6vxokh2kpzo9bg,+14145553990,+14145557050,busy,311,2026-04-20T17:19:00,2025-04-08T18:50:00,$0.0494,outbound-api,,,
CAtsx64ub0d99l5uwf08o7wmnsmphboc,+14145551356,+14145551460,no-answer,390,2025-06-16T03:17:00,2025-11-12T23:36:00,$0.0614,outbound-api,,,
CAgpzem77165rnaj72k1ghualw105jya,+14145558477,+14145552357,failed,119,2026-01-10T03:38:00,2026-05-23T03:37:00,$0.0687,outbound-api,,,
CAz9vfxx0enxxp7w4n61jk7jcnqbi2pt,+14145554032,+14145556267,busy,463,2025-02-01T07:46:00,2025-10-20T19:47:00,$0.0397,outbound-api,,,
