id,email,first_name,last_name,country,list_ids,created_at,updated_at
sg_ct_0001,layla.mcbride000@nnu-crop.edu.ng,Layla,McBride,NG,list_esfes_field|list_crop302_students,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z
sg_ct_0002,adaeze.mcbride001@nnu-crop.edu.ng,Adaeze,McBride,NG,list_waita_congress|list_msc_alumni,2022-01-05T00:00:00Z,2022-02-04T00:00:00Z
sg_ct_0003,ciaran.mcbride002@nnu-crop.edu.ng,Ciaran,McBride,NG,list_eacri_grantees|list_dept_staff,2022-01-09T00:00:00Z,2022-02-08T00:00:00Z
sg_ct_0004,amina.mcbride003@nnu-crop.edu.ng,Amina,McBride,NG,list_crop302_students|list_extension,2022-01-13T00:00:00Z,2022-02-12T00:00:00Z
sg_ct_0005,emeka.mcbride004@nnu-crop.edu.ng,Emeka,McBride,GH,list_msc_alumni|list_industry_partners,2022-01-17T00:00:00Z,2022-02-16T00:00:00Z
sg_ct_0006,ifeanyi.mcbride005@nnu-crop.edu.ng,Ifeanyi,McBride,KE,list_dept_staff|list_conference_committee,2022-01-21T00:00:00Z,2022-02-20T00:00:00Z
sg_ct_0007,nkechi.mcbride006@nnu-crop.edu.ng,Nkechi,McBride,GH,list_extension|list_curriculum_review,2022-01-25T00:00:00Z,2022-02-24T00:00:00Z
sg_ct_0008,otobong.mcbride007@nnu-crop.edu.ng,Otobong,McBride,KE,list_industry_partners|list_procurement_office,2022-01-29T00:00:00Z,2022-02-28T00:00:00Z
sg_ct_0009,damola.mcbride008@nnu-crop.edu.ng,Damola,McBride,NG,list_conference_committee|list_gh_bench_users,2022-02-02T00:00:00Z,2022-03-04T00:00:00Z
sg_ct_0010,uche.mcbride009@nnu-crop.edu.ng,Uche,McBride,NG,list_curriculum_review|list_esfes_field,2022-02-06T00:00:00Z,2022-03-08T00:00:00Z
sg_ct_0011,chinelo.mcbride010@nnu-crop.edu.ng,Chinelo,McBride,NG,list_procurement_office|list_waita_congress,2022-02-10T00:00:00Z,2022-03-12T00:00:00Z
sg_ct_0012,ngozi.mcbride011@nnu-crop.edu.ng,Ngozi,McBride,NG,list_gh_bench_users|list_eacri_grantees,2022-02-14T00:00:00Z,2022-03-16T00:00:00Z
sg_ct_0013,obinna.mcbride012@nnu-crop.edu.ng,Obinna,McBride,NG,list_esfes_field|list_crop302_students,2022-02-18T00:00:00Z,2022-03-20T00:00:00Z
sg_ct_0014,chidi.mcbride013@nnu-crop.edu.ng,Chidi,McBride,NG,list_waita_congress|list_msc_alumni,2022-02-22T00:00:00Z,2022-03-24T00:00:00Z
sg_ct_0015,ifeoma.mcbride014@nnu-crop.edu.ng,Ifeoma,McBride,GH,list_eacri_grantees|list_dept_staff,2022-02-26T00:00:00Z,2022-03-28T00:00:00Z
sg_ct_0016,yetunde.mcbride015@nnu-crop.edu.ng,Yetunde,McBride,KE,list_crop302_students|list_extension,2022-03-02T00:00:00Z,2022-04-01T00:00:00Z
sg_ct_0017,chukwuma.mcbride016@nnu-crop.edu.ng,Chukwuma,McBride,GH,list_msc_alumni|list_industry_partners,2022-03-06T00:00:00Z,2022-04-05T00:00:00Z
sg_ct_0018,amaka.mcbride017@nnu-crop.edu.ng,Amaka,McBride,KE,list_dept_staff|list_conference_committee,2022-03-10T00:00:00Z,2022-04-09T00:00:00Z
sg_ct_0019,tunde.mcbride018@nnu-crop.edu.ng,Tunde,McBride,NG,list_extension|list_curriculum_review,2022-03-14T00:00:00Z,2022-04-13T00:00:00Z
sg_ct_0020,bukola.mcbride019@nnu-crop.edu.ng,Bukola,McBride,NG,list_industry_partners|list_procurement_office,2022-03-18T00:00:00Z,2022-04-17T00:00:00Z
sg_ct_0021,segun.mcbride020@nnu-crop.edu.ng,Segun,McBride,NG,list_conference_committee|list_gh_bench_users,2022-03-22T00:00:00Z,2022-04-21T00:00:00Z
sg_ct_0022,folake.mcbride021@nnu-crop.edu.ng,Folake,McBride,NG,list_curriculum_review|list_esfes_field,2022-03-26T00:00:00Z,2022-04-25T00:00:00Z
sg_ct_0023,rilwan.mcbride022@nnu-crop.edu.ng,Rilwan,McBride,NG,list_procurement_office|list_waita_congress,2022-03-30T00:00:00Z,2022-04-29T00:00:00Z
sg_ct_0024,halima.mcbride023@nnu-crop.edu.ng,Halima,McBride,NG,list_gh_bench_users|list_eacri_grantees,2022-04-03T00:00:00Z,2022-05-03T00:00:00Z
sg_ct_0025,musa.mcbride024@nnu-crop.edu.ng,Musa,McBride,GH,list_esfes_field|list_crop302_students,2022-04-07T00:00:00Z,2022-05-07T00:00:00Z
sg_ct_0026,zainab.mcbride025@nnu-crop.edu.ng,Zainab,McBride,KE,list_waita_congress|list_msc_alumni,2022-04-11T00:00:00Z,2022-05-11T00:00:00Z
sg_ct_0027,aisha.mcbride026@nnu-crop.edu.ng,Aisha,McBride,GH,list_eacri_grantees|list_dept_staff,2022-04-15T00:00:00Z,2022-05-15T00:00:00Z
