id,employeeId,name,type,start,end
wo_001,1002,Anjali Patel,Vacation,2026-10-21,2026-10-23
wo_002,1010,Mason Reyes,Sick,2026-10-22,2026-10-22
wo_003,1004,Midori Kelley,Personal,2026-10-24,2026-10-24
wo_004,1001,Karen Whitfield,CE-Conference,2026-11-04,2026-11-06
wo_005,1005,Lina Torres,On-Call Comp,2026-10-26,2026-10-26
wo_006,1006,Bree Halvorsen,Vacation,2026-10-19,2026-10-20
wo_007,1009,Jordan Pham,Sick,2026-10-21,2026-10-21
wo_008,1003,Tom Marshfield,CE-Conference,2026-11-04,2026-11-06
wo_009,1011,Sara Goodwin,Personal,2026-10-30,2026-10-30
wo_010,1007,Danny Reyes,Vacation,2026-11-09,2026-11-13
wo_011,1012,Hiro Tanaka,Sick,2026-10-23,2026-10-23
wo_012,1008,Carol Bishop,Vacation,2026-11-25,2026-11-28
wo_246,1013,Priya Anand,Personal,2026-07-09,2026-07-09
wo_247,1010,Mason Reyes,Sick,2026-06-27,2026-06-28
wo_248,1007,Danny Reyes,Bereavement,2027-03-05,2027-03-06
wo_249,1002,Anjali Patel,Vacation,2027-03-27,2027-03-28
wo_250,1012,Hiro Tanaka,CE / Training,2026-11-21,2026-11-22
wo_251,1004,Midori Kelley,CE / Training,2027-01-24,2027-01-26
wo_252,1007,Danny Reyes,Vacation,2026-01-31,2026-02-01
wo_253,1005,Lina Torres,Personal,2026-01-18,2026-01-21
wo_254,1010,Mason Reyes,Vacation,2026-12-19,2026-12-19
wo_255,1005,Lina Torres,Bereavement,2026-02-19,2026-02-21
wo_013,1004,Midori Kelley,CE / Training,2026-05-26,2026-05-28
wo_014,1003,Tom Marshfield,Bereavement,2026-03-31,2026-04-02
wo_015,1002,Anjali Patel,Bereavement,2027-01-07,2027-01-07
wo_016,1002,Anjali Patel,Personal,2027-02-13,2027-02-14
wo_017,1007,Danny Reyes,Sick,2026-08-17,2026-08-18
wo_018,1001,Karen Whitfield,CE / Training,2026-02-01,2026-02-02
wo_019,1012,Hiro Tanaka,Vacation,2026-03-15,2026-03-17
wo_020,1006,Bree Halvorsen,Bereavement,2026-06-09,2026-06-10
wo_021,1010,Mason Reyes,Vacation,2026-08-08,2026-08-10
wo_022,1004,Midori Kelley,Personal,2026-01-26,2026-01-26
wo_023,1004,Midori Kelley,Sick,2027-03-28,2027-03-30
wo_024,1002,Anjali Patel,Bereavement,2026-01-29,2026-01-31
wo_025,1001,Karen Whitfield,Sick,2027-01-29,2027-01-30
wo_026,1005,Lina Torres,CE / Training,2026-04-11,2026-04-13
wo_027,1006,Bree Halvorsen,Sick,2026-07-29,2026-07-31
wo_028,1013,Priya Anand,Sick,2026-06-07,2026-06-07
wo_029,1010,Mason Reyes,Vacation,2026-05-25,2026-05-25
wo_030,1007,Danny Reyes,Vacation,2026-09-22,2026-09-23
wo_031,1004,Midori Kelley,Bereavement,2026-12-31,2026-12-31
wo_032,1013,Priya Anand,Sick,2027-02-10,2027-02-11
wo_033,1003,Tom Marshfield,Sick,2027-03-28,2027-03-31
wo_034,1012,Hiro Tanaka,Vacation,2026-10-02,2026-10-02
wo_035,1005,Lina Torres,Sick,2026-11-12,2026-11-12
wo_036,1012,Hiro Tanaka,Vacation,2026-11-06,2026-11-08
wo_037,1005,Lina Torres,Vacation,2026-09-12,2026-09-13
wo_038,1005,Lina Torres,CE / Training,2026-06-04,2026-06-06
wo_039,1012,Hiro Tanaka,Personal,2026-01-04,2026-01-04
wo_040,1006,Bree Halvorsen,CE / Training,2026-08-27,2026-08-28
wo_041,1006,Bree Halvorsen,CE / Training,2026-02-24,2026-02-26
wo_042,1004,Midori Kelley,Sick,2026-05-09,2026-05-12
wo_043,1013,Priya Anand,CE / Training,2026-05-05,2026-05-06
wo_044,1008,Carol Bishop,Bereavement,2026-05-29,2026-05-30
wo_045,1013,Priya Anand,CE / Training,2026-01-01,2026-01-02
wo_046,1013,Priya Anand,Vacation,2026-04-26,2026-04-26
wo_047,1005,Lina Torres,Personal,2026-06-04,2026-06-07
wo_048,1010,Mason Reyes,Sick,2026-01-11,2026-01-11
wo_049,1003,Tom Marshfield,Personal,2026-12-05,2026-12-05
wo_050,1008,Carol Bishop,CE / Training,2026-04-23,2026-04-25
wo_051,1012,Hiro Tanaka,Sick,2026-12-03,2026-12-04
wo_052,1004,Midori Kelley,Personal,2027-01-24,2027-01-25
