name	relationship	phone	email	notes
Linda Sparks	mother	(704) 555-0156	none on file	calls only, no email
Kyle Sparks	brother	(704) 555-6514	text only	mechanic, Piedmont Auto and Repair
Brian Caldwell	boyfriend	(704) 555-3547	text only	PE teacher, South Charlotte Middle School
Megan Walsh	best friend	(704) 555-0178	text only	ER nurse, Mercy Regional
Patricia Hartwell	boss	(704) 555-0185	trish@hartwellgreer.com	founding partner
Robert Greer	firm partner	(704) 555-0192	robert@hartwellgreer.com	custody specialist
Kelsey Morris	junior paralegal	(704) 555-2519	kelsey.morris@hartwellgreer.com	mentoring
Aunt Carol Henderson	aunt	(912) 555-0234	phone only	Savannah, FaceTime mostly
Rev. David Mitchell	pastor	(704) 555-7224	rev.mitchell@gracemethodist.org	Grace Methodist
Dr. Sarah Bennett	primary care	(704) 555-4018	none on file	Ballantyne Family Health
Dr. James Park	dentist	(704) 555-4276	none on file	SouthPark Dental Associates
