Date	Time	Caller	Phone	Reason	Handled By	Outcome
2026-01-05	08:12	Tanya Brooks	(313) 555-0218	Reschedule 6yo cleaning	Dana	Moved to 2026-01-19 3:30 PM
2026-01-05	09:40	Delta Dental of Michigan	(800) 524-0149	Claim status, ref 778412	Dana	Claim approved, EOB mailed
2026-01-06	10:05	Marcus Webb	(313) 555-0231	New patient, age 4, referral from Dr. Ellis	Dana	Booked 2026-01-26 9:00 AM
2026-01-06	13:22	Priya Nair	(734) 555-0277	Question about fluoride varnish for 8yo	Dana	Transferred to Mary (RDH)
2026-01-07	08:30	Sandra Okoye	(313) 555-0284	Toothache, 9yo, possible emergency	Dana	Same-day slot 2026-01-07 11:15 AM
2026-01-07	15:48	Lexus Financial Services	(800) 874-7050	Lease courtesy call for Dr. Sandoval	Dana	Message left for Maria
2026-01-08	09:18	Helen Sandoval	(313) 555-0612	Personal, asked Maria to call back	Dana	Passed message to Maria
2026-01-08	11:55	Kevin Tran	(313) 555-0292	Insurance verification, new coverage	Dana	Verified Delta Dental PPO, active
2026-01-12	08:05	Rebecca Stone	(313) 555-0305	Cancel 2026-01-13, child sick	Dana	Cancelled, offered 2026-01-22
2026-01-12	14:30	Grace Community Church office	(313) 555-0668	Re free screening day supplies	Dana	Passed to Maria
2026-01-13	10:44	Aaron Delgado	(313) 555-0318	Sealant follow-up, 11yo	Dana	Booked 2026-01-29 4:00 PM
2026-01-14	09:02	Henry Park	(313) 555-0326	Billing question, copay amount	Dana	Resolved, copay $35 confirmed
2026-01-15	08:50	Olivia Mensah	(313) 555-0333	New patient, twins age 5	Dana	Booked both 2026-01-28 2:00 PM
2026-01-15	16:10	Patterson Dental Supply	(800) 873-7683	Backorder on size 2 sensors	Dana	Passed to Sara Mitchell
2026-01-16	11:20	Dr. Sarah Ellis	(313) 555-0647	Referral coordination, 3yo	Dana	Passed to Maria
