signup_date,name,email,source,note
2026-08-02,Amanda R,amanda.r@example.com,beta site,wants toddler content
2026-08-05,Priya K,priya.k@example.com,church group,
2026-08-11,Marcus L,marcus.l@example.com,running club,
2026-08-19,Dana W,dana.w@example.com,beta site,duplicate of row 6 maybe
2026-08-20,Elena T,elena.t@example.com,referral,
2026-08-19,Dana W,dana.w@example.com,beta site,likely duplicate
2026-09-01,Sam H,sam.h@example.com,beta site,
2026-09-03,Rosa M,rosa.m@example.com,church group,
2026-09-14,Tyler N,tyler.n@example.com,family,my brother testing the form
2026-09-22,Grace F,grace.f@example.com,beta site,
