id,domain,message_id,event,recipient,timestamp,reason
ev_pk01,mg.porterkoval.example.com,20260415091500.1.abcd1234ef01@mg.porterkoval.example.com,accepted,j.alvarez@phillyhomeowner.example.com,2026-04-15T09:15:00Z,
ev_pk02,mg.porterkoval.example.com,20260415091500.1.abcd1234ef01@mg.porterkoval.example.com,delivered,j.alvarez@phillyhomeowner.example.com,2026-04-15T09:15:05Z,
ev_pk03,mg.porterkoval.example.com,20260415091500.1.abcd1234ef01@mg.porterkoval.example.com,opened,j.alvarez@phillyhomeowner.example.com,2026-04-15T11:42:18Z,
ev_pk04,mg.porterkoval.example.com,20260415091500.2.abcd1234ef02@mg.porterkoval.example.com,delivered,morgan.kelly@neighborhoodnews.example.com,2026-04-15T09:15:06Z,
ev_pk05,mg.porterkoval.example.com,20260520101000.1.abcd1234ef03@mg.porterkoval.example.com,delivered,d.chambliss@frankfordhomes.example.com,2026-05-20T10:10:04Z,
ev_pk06,mg.porterkoval.example.com,20260520101000.2.abcd1234ef04@mg.porterkoval.example.com,delivered,r.fernandez@brewerytownmail.example.com,2026-05-20T10:10:05Z,
ev_pk07,mg.porterkoval.example.com,20260520101000.2.abcd1234ef04@mg.porterkoval.example.com,clicked,r.fernandez@brewerytownmail.example.com,2026-05-20T13:18:42Z,
ev_pk08,mg.porterkoval.example.com,20260712140000.1.abcd1234ef05@mg.porterkoval.example.com,delivered,t.washburn@portrichmondnet.example.com,2026-07-12T14:00:04Z,
ev_pk09,mg.porterkoval.example.com,20260712140000.2.abcd1234ef06@mg.porterkoval.example.com,failed,l.beaumont@manayunkmail.example.com,2026-07-12T14:00:08Z,hard bounce
ev_pk10,mg.porterkoval.example.com,20260905080000.1.abcd1234ef07@mg.porterkoval.example.com,delivered,j.alvarez@phillyhomeowner.example.com,2026-09-05T08:00:04Z,
ev_pk11,mg.porterkoval.example.com,20260905080000.2.abcd1234ef08@mg.porterkoval.example.com,delivered,d.chambliss@frankfordhomes.example.com,2026-09-05T08:00:05Z,
ev_pk12,mg.porterkoval.example.com,20260905080000.3.abcd1234ef09@mg.porterkoval.example.com,opened,r.fernandez@brewerytownmail.example.com,2026-09-05T10:22:30Z,
