Name	Relationship	Phone	Email
Sarah Brock	Wife	(314) 555-0142	sarah.brock.md@gmail.com
Ryan Brock	Son	(314) 555-0156	ryan.brock@greatlakesstateuniv.edu
Megan Brock	Daughter	(314) 555-0163	
Priya Patel	Virtual assistant	(314) 555-0174	priya.patel.va@gmail.com
Brian Mitchell	Research collaborator	(314) 555-0185	b.mitchell@gatewaystateuniv.edu
Patricia Okafor	Executive coach	(312) 555-0196	patricia@okaforcoaching.com
Rick Halloran	Literary agent	(212) 555-0207	rick@halloranliterary.com
Julia Reyes	Hawthorne Industries HR	(314) 555-0218	j.reyes@hawthorneindustries.com
Karen Cho	Meridian Financial VP People	(314) 555-0229	karen.cho@meridianfinancial.com
Maria Santos	Green Thumb STL	(314) 555-0231	maria@greenthumbstl.com
David Kim	CPA, Blackstone and Mercer	(314) 555-0242	david.kim@blackstonemercer.com
Nadia Hassan	Physician, Westgate	(314) 555-0253	
Brentwood Animal Hospital	Veterinary	(314) 555-0264	info@brentwoodvet.com
CrossFit Clayton	Gym	(314) 555-0275	
Tom Henderson	Neighbor	(314) 555-0288	
