Date	Time	Location	Client	Service	Technician	Status	Price
2026-02-10	09:00	Main Street	Karen Whitfield	Gel Manicure	Linda Park	Completed	45.00
2026-02-10	09:30	Main Street	Robin Castellano	Spa Pedicure	Vivian Tran	Completed	55.00
2026-02-10	10:00	Orchard Plaza	Ashley Demarco	Full Set Acrylic	Bianca Ruiz	Completed	62.00
2026-02-10	10:15	Main Street	Janet Pruitt	Gel Manicure	Olivia Reyes	Completed	45.00
2026-02-10	11:00	Wheaton	Stephanie Boyle	Dip Powder	Brooke Daly	Completed	60.00
2026-02-10	11:30	Main Street	Dorothy Mitchell	Express Manicure	Hannah Cole	Completed	30.00
2026-02-10	12:00	Orchard Plaza	Megan Sutton	Gel Manicure	Chloe Bennett	Completed	42.00
2026-02-10	13:00	Main Street	Patricia Holm	Spa Pedicure	Linda Park	Completed	55.00
2026-02-10	13:30	Wheaton	Allison Reedy	Acrylic Fill	Camila Santos	No Show	0.00
2026-02-10	14:00	Main Street	Sharon Henley	Gel Manicure and Art	Sofia Marino	Completed	58.00
2026-02-10	14:30	Orchard Plaza	Tara Lindgren	Spa Pedicure	Mai Nguyen	Completed	52.00
2026-02-10	15:00	Wheaton	Nicole Frans	Full Set Acrylic	Hailey Stone	Completed	65.00
2026-02-10	15:30	Main Street	Denise Caldwell	Gel Manicure	Grace Kim	Completed	45.00
2026-02-10	16:00	Orchard Plaza	Brenda Voss	Dip Powder	Destiny Ford	Cancelled	0.00
2026-02-10	16:30	Main Street	Holly Renner	Spa Pedicure	Maria Lopez	Completed	55.00
2026-02-10	17:00	Wheaton	Paige Coffey	Gel Manicure	Ivy Tran	Completed	45.00
2026-02-10	17:30	Main Street	Lauren Tisdale	Acrylic Fill	Anh Pham	Completed	40.00
