id,given_name,family_name,email_address,phone_number,company_name,created_at
CUST_SA0001,Mi,Tierra Cafe,orders@savendor1.example.com,+12105550100,Mi Tierra Cafe,2025-06-01T00:00:00Z
CUST_SA0002,La,Gloria,orders@savendor2.example.com,+12105550101,La Gloria,2025-06-02T00:00:00Z
CUST_SA0003,Rosario's,Cafe,orders@savendor3.example.com,+12105550102,Rosario's Cafe,2025-06-03T00:00:00Z
CUST_SA0004,Pearl,Farmers Market,orders@savendor4.example.com,+12105550103,Pearl Farmers Market,2025-06-04T00:00:00Z
CUST_SA0005,Alamo,Cafe,orders@savendor5.example.com,+12105550104,Alamo Cafe,2025-06-05T00:00:00Z
CUST_SA0006,Panifico,Bake Shop,orders@savendor6.example.com,+12105550105,Panifico Bake Shop,2025-06-06T00:00:00Z
CUST_SA0007,El,Mirador,orders@savendor7.example.com,+12105550106,El Mirador,2025-06-07T00:00:00Z
CUST_SA0008,Garcia's,Mexican Food,orders@savendor8.example.com,+12105550107,Garcia's Mexican Food,2025-06-08T00:00:00Z
CUST_SA0009,Blooms,by Marisol,orders@savendor9.example.com,+12105550108,Blooms by Marisol,2025-06-09T00:00:00Z
CUST_SA0010,Papel,Picado Co,orders@savendor10.example.com,+12105550109,Papel Picado Co,2025-06-10T00:00:00Z
CUST_SA0011,SA,Vendor 110,orders@savendor11.example.com,+12105550110,SA Vendor 110,2025-06-11T00:00:00Z
CUST_SA0012,SA,Vendor 111,orders@savendor12.example.com,+12105550111,SA Vendor 111,2025-06-12T00:00:00Z
CUST_SA0013,SA,Vendor 112,orders@savendor13.example.com,+12105550112,SA Vendor 112,2025-06-13T00:00:00Z
CUST_SA0014,SA,Vendor 113,orders@savendor14.example.com,+12105550113,SA Vendor 113,2025-06-14T00:00:00Z
CUST_SA0015,SA,Vendor 114,orders@savendor15.example.com,+12105550114,SA Vendor 114,2025-06-15T00:00:00Z
CUST_SA0016,SA,Vendor 115,orders@savendor16.example.com,+12105550115,SA Vendor 115,2025-06-16T00:00:00Z
CUST_SA0017,SA,Vendor 116,orders@savendor17.example.com,+12105550116,SA Vendor 116,2025-06-17T00:00:00Z
CUST_SA0018,SA,Vendor 117,orders@savendor18.example.com,+12105550117,SA Vendor 117,2025-06-18T00:00:00Z
CUST_SA0019,SA,Vendor 118,orders@savendor19.example.com,+12105550118,SA Vendor 118,2025-06-19T00:00:00Z
CUST_SA0020,SA,Vendor 119,orders@savendor20.example.com,+12105550119,SA Vendor 119,2025-06-20T00:00:00Z
CUST_SA0021,SA,Vendor 120,orders@savendor21.example.com,+12105550120,SA Vendor 120,2025-06-21T00:00:00Z
CUST_SA0022,SA,Vendor 121,orders@savendor22.example.com,+12105550121,SA Vendor 121,2025-06-22T00:00:00Z
CUST_SA0023,SA,Vendor 122,orders@savendor23.example.com,+12105550122,SA Vendor 122,2025-06-23T00:00:00Z
CUST_SA0024,SA,Vendor 123,orders@savendor24.example.com,+12105550123,SA Vendor 123,2025-06-24T00:00:00Z
CUST_SA0025,SA,Vendor 124,orders@savendor25.example.com,+12105550124,SA Vendor 124,2025-06-25T00:00:00Z
CUST_SA0026,SA,Vendor 125,orders@savendor26.example.com,+12105550125,SA Vendor 125,2025-06-26T00:00:00Z
CUST_SA0027,SA,Vendor 126,orders@savendor27.example.com,+12105550126,SA Vendor 126,2025-06-27T00:00:00Z
CUST_SA0028,SA,Vendor 127,orders@savendor28.example.com,+12105550127,SA Vendor 127,2025-06-28T00:00:00Z
CUST_SA0029,SA,Vendor 128,orders@savendor29.example.com,+12105550128,SA Vendor 128,2025-06-29T00:00:00Z
CUST_SA0030,SA,Vendor 129,orders@savendor30.example.com,+12105550129,SA Vendor 129,2025-06-30T00:00:00Z
CUST_SA0031,SA,Vendor 130,orders@savendor31.example.com,+12105550130,SA Vendor 130,2025-07-01T00:00:00Z
CUST_SA0032,SA,Vendor 131,orders@savendor32.example.com,+12105550131,SA Vendor 131,2025-07-02T00:00:00Z
CUST_SA0033,SA,Vendor 132,orders@savendor33.example.com,+12105550132,SA Vendor 132,2025-07-03T00:00:00Z
CUST_SA0034,SA,Vendor 133,orders@savendor34.example.com,+12105550133,SA Vendor 133,2025-07-04T00:00:00Z
CUST_SA0035,SA,Vendor 134,orders@savendor35.example.com,+12105550134,SA Vendor 134,2025-07-05T00:00:00Z
CUST_SA0036,SA,Vendor 135,orders@savendor36.example.com,+12105550135,SA Vendor 135,2025-07-06T00:00:00Z
CUST_SA0037,SA,Vendor 136,orders@savendor37.example.com,+12105550136,SA Vendor 136,2025-07-07T00:00:00Z
CUST_SA0038,SA,Vendor 137,orders@savendor38.example.com,+12105550137,SA Vendor 137,2025-07-08T00:00:00Z
CUST_SA0039,SA,Vendor 138,orders@savendor39.example.com,+12105550138,SA Vendor 138,2025-07-09T00:00:00Z
CUST_SA0040,SA,Vendor 139,orders@savendor40.example.com,+12105550139,SA Vendor 139,2025-07-10T00:00:00Z
CUST_SA0041,SA,Vendor 140,orders@savendor41.example.com,+12105550140,SA Vendor 140,2025-07-11T00:00:00Z
CUST_SA0042,SA,Vendor 141,orders@savendor42.example.com,+12105550141,SA Vendor 141,2025-07-12T00:00:00Z
CUST_SA0043,SA,Vendor 142,orders@savendor43.example.com,+12105550142,SA Vendor 142,2025-07-13T00:00:00Z
CUST_SA0044,SA,Vendor 143,orders@savendor44.example.com,+12105550143,SA Vendor 143,2025-07-14T00:00:00Z
CUST_SA0045,SA,Vendor 144,orders@savendor45.example.com,+12105550144,SA Vendor 144,2025-07-15T00:00:00Z
CUST_SA0046,SA,Vendor 145,orders@savendor46.example.com,+12105550145,SA Vendor 145,2025-07-16T00:00:00Z
CUST_SA0047,SA,Vendor 146,orders@savendor47.example.com,+12105550146,SA Vendor 146,2025-07-17T00:00:00Z
CUST_SA0048,SA,Vendor 147,orders@savendor48.example.com,+12105550147,SA Vendor 147,2025-07-18T00:00:00Z
CUST_SA0049,SA,Vendor 148,orders@savendor49.example.com,+12105550148,SA Vendor 148,2025-07-19T00:00:00Z
CUST_SA0050,SA,Vendor 149,orders@savendor50.example.com,+12105550149,SA Vendor 149,2025-07-20T00:00:00Z
CUST_SA0051,SA,Vendor 150,orders@savendor51.example.com,+12105550150,SA Vendor 150,2025-07-21T00:00:00Z
CUST_SA0052,SA,Vendor 151,orders@savendor52.example.com,+12105550151,SA Vendor 151,2025-07-22T00:00:00Z
CUST_SA0053,SA,Vendor 152,orders@savendor53.example.com,+12105550152,SA Vendor 152,2025-07-23T00:00:00Z
CUST_SA0054,SA,Vendor 153,orders@savendor54.example.com,+12105550153,SA Vendor 153,2025-07-24T00:00:00Z
CUST_SA0055,SA,Vendor 154,orders@savendor55.example.com,+12105550154,SA Vendor 154,2025-07-25T00:00:00Z
CUST_SA0056,SA,Vendor 155,orders@savendor56.example.com,+12105550155,SA Vendor 155,2025-07-26T00:00:00Z
CUST_SA0057,SA,Vendor 156,orders@savendor57.example.com,+12105550156,SA Vendor 156,2025-07-27T00:00:00Z
CUST_SA0058,SA,Vendor 157,orders@savendor58.example.com,+12105550157,SA Vendor 157,2025-07-28T00:00:00Z
CUST_SA0059,SA,Vendor 158,orders@savendor59.example.com,+12105550158,SA Vendor 158,2025-07-29T00:00:00Z
CUST_SA0060,SA,Vendor 159,orders@savendor60.example.com,+12105550159,SA Vendor 159,2025-07-30T00:00:00Z
CUST_SA0061,SA,Vendor 160,orders@savendor61.example.com,+12105550160,SA Vendor 160,2025-07-31T00:00:00Z
CUST_SA0062,SA,Vendor 161,orders@savendor62.example.com,+12105550161,SA Vendor 161,2025-08-01T00:00:00Z
CUST_SA0063,SA,Vendor 162,orders@savendor63.example.com,+12105550162,SA Vendor 162,2025-08-02T00:00:00Z
CUST_SA0064,SA,Vendor 163,orders@savendor64.example.com,+12105550163,SA Vendor 163,2025-08-03T00:00:00Z
CUST_SA0065,SA,Vendor 164,orders@savendor65.example.com,+12105550164,SA Vendor 164,2025-08-04T00:00:00Z
CUST_SA0066,SA,Vendor 165,orders@savendor66.example.com,+12105550165,SA Vendor 165,2025-08-05T00:00:00Z
CUST_SA0067,SA,Vendor 166,orders@savendor67.example.com,+12105550166,SA Vendor 166,2025-08-06T00:00:00Z
CUST_SA0068,SA,Vendor 167,orders@savendor68.example.com,+12105550167,SA Vendor 167,2025-08-07T00:00:00Z
CUST_SA0069,SA,Vendor 168,orders@savendor69.example.com,+12105550168,SA Vendor 168,2025-08-08T00:00:00Z
CUST_SA0070,SA,Vendor 169,orders@savendor70.example.com,+12105550169,SA Vendor 169,2025-08-09T00:00:00Z
CUST_SA0071,SA,Vendor 170,orders@savendor71.example.com,+12105550170,SA Vendor 170,2025-08-10T00:00:00Z
CUST_SA0072,SA,Vendor 171,orders@savendor72.example.com,+12105550171,SA Vendor 171,2025-08-11T00:00:00Z
CUST_SA0073,SA,Vendor 172,orders@savendor73.example.com,+12105550172,SA Vendor 172,2025-08-12T00:00:00Z
CUST_SA0074,SA,Vendor 173,orders@savendor74.example.com,+12105550173,SA Vendor 173,2025-08-13T00:00:00Z
CUST_SA0075,SA,Vendor 174,orders@savendor75.example.com,+12105550174,SA Vendor 174,2025-08-14T00:00:00Z
CUST_SA0076,SA,Vendor 175,orders@savendor76.example.com,+12105550175,SA Vendor 175,2025-08-15T00:00:00Z
CUST_SA0077,SA,Vendor 176,orders@savendor77.example.com,+12105550176,SA Vendor 176,2025-08-16T00:00:00Z
CUST_SA0078,SA,Vendor 177,orders@savendor78.example.com,+12105550177,SA Vendor 177,2025-08-17T00:00:00Z
CUST_SA0079,SA,Vendor 178,orders@savendor79.example.com,+12105550178,SA Vendor 178,2025-08-18T00:00:00Z
CUST_SA0080,SA,Vendor 179,orders@savendor80.example.com,+12105550179,SA Vendor 179,2025-08-19T00:00:00Z
CUST_SA0081,SA,Vendor 180,orders@savendor81.example.com,+12105550180,SA Vendor 180,2025-08-20T00:00:00Z
CUST_SA0082,SA,Vendor 181,orders@savendor82.example.com,+12105550181,SA Vendor 181,2025-08-21T00:00:00Z
CUST_SA0083,SA,Vendor 182,orders@savendor83.example.com,+12105550182,SA Vendor 182,2025-08-22T00:00:00Z
CUST_SA0084,SA,Vendor 183,orders@savendor84.example.com,+12105550183,SA Vendor 183,2025-08-23T00:00:00Z
CUST_SA0085,SA,Vendor 184,orders@savendor85.example.com,+12105550184,SA Vendor 184,2025-08-24T00:00:00Z
CUST_SA0086,SA,Vendor 185,orders@savendor86.example.com,+12105550185,SA Vendor 185,2025-08-25T00:00:00Z
CUST_SA0087,SA,Vendor 186,orders@savendor87.example.com,+12105550186,SA Vendor 186,2025-08-26T00:00:00Z
CUST_SA0088,SA,Vendor 187,orders@savendor88.example.com,+12105550187,SA Vendor 187,2025-08-27T00:00:00Z
CUST_SA0089,SA,Vendor 188,orders@savendor89.example.com,+12105550188,SA Vendor 188,2025-08-28T00:00:00Z
CUST_SA0090,SA,Vendor 189,orders@savendor90.example.com,+12105550189,SA Vendor 189,2025-08-29T00:00:00Z
CUST_SA0091,SA,Vendor 190,orders@savendor91.example.com,+12105550190,SA Vendor 190,2025-08-30T00:00:00Z
CUST_SA0092,SA,Vendor 191,orders@savendor92.example.com,+12105550191,SA Vendor 191,2025-08-31T00:00:00Z
CUST_SA0093,SA,Vendor 192,orders@savendor93.example.com,+12105550192,SA Vendor 192,2025-09-01T00:00:00Z
CUST_SA0094,SA,Vendor 193,orders@savendor94.example.com,+12105550193,SA Vendor 193,2025-09-02T00:00:00Z
CUST_SA0095,SA,Vendor 194,orders@savendor95.example.com,+12105550194,SA Vendor 194,2025-09-03T00:00:00Z
