Member ID	Last Name	First Name	Instrument	Section	Voice Part	Grade	Section Lead	Years in Program	Student Email
RR-01	Ellison	Gerald	Fiddle	Strings	Baritone	12	Yes	6	gellison@students.ridgewood.k12.oh.us
RR-02	Boyd	Hannah	Fiddle	Strings	Alto	11	No	4	hboyd@students.ridgewood.k12.oh.us
RR-03	Reyes	Marcus	Fiddle	Strings	None	10	No	2	mreyes@students.ridgewood.k12.oh.us
RR-04	Henderson	Sarah	Banjo	Strings	Soprano	12	Yes	5	shenderson@students.ridgewood.k12.oh.us
RR-05	Wirth	Caleb	Banjo	Strings	None	11	No	3	cwirth@students.ridgewood.k12.oh.us
RR-06	Mueller	Devin	Mandolin	Strings	Tenor	12	Yes	4	dmueller@students.ridgewood.k12.oh.us
RR-07	Thompson	Jake	Upright Bass	Rhythm	Bass	12	Yes	5	jthompson@students.ridgewood.k12.oh.us
RR-08	Dawson	Emily	Guitar	Rhythm	Alto	12	Yes	5	edawson@students.ridgewood.k12.oh.us
RR-09	Hodge	Trevor	Guitar	Rhythm	None	10	No	2	thodge@students.ridgewood.k12.oh.us
RR-10	Sallinger	Brooke	Vocals	Vocals	Soprano	12	Yes	4	bsallinger@students.ridgewood.k12.oh.us
RR-11	Cervantes	Anna	Vocals	Vocals	Alto	11	No	3	acervantes@students.ridgewood.k12.oh.us
RR-12	Foster	Liam	Vocals	Vocals	Tenor	11	No	2	lfoster@students.ridgewood.k12.oh.us
RR-13	Kim	Grace	Vocals	Vocals	Soprano	10	No	1	gkim@students.ridgewood.k12.oh.us
RR-14	Barnes	Cody	Vocals	Vocals	Bass	12	No	4	cbarnes@students.ridgewood.k12.oh.us
