id,subject,from_name,from_address,to_name,to_address,body_preview,content_type,is_read,importance,received_date
ol_m_001,"Friday game day reminder, JV",Coach Ray Henderson,ray.henderson.coach@gmail.com,Derrick Clark,derrick.clark.bhm@gmail.com,Bus leaves at 1:15. Players in dress code. Be there by 1.,Text,false,normal,2026-10-01T20:10:00Z
ol_m_002,Marcus reading conference Oct 15,Mr. Felix Roman,f.roman@ironwood-academy.org,Derrick Clark,derrick.clark.bhm@gmail.com,Looking forward to walking you both through the fall plan. Online meeting link to follow.,Text,false,normal,2026-10-01T21:30:00Z
ol_m_003,Parent council fundraiser planning,Ironwood Parent Council,parents@ironwood-academy.org,Parent list,parents@ironwood-academy.org,Saving the date for the planning session at the end of the month. Bring ideas.,Text,true,normal,2026-09-30T14:00:00Z
ol_m_004,Senior night reminders,Ironwood Athletics Office,athletics@ironwood-academy.org,Parent list,parents@ironwood-academy.org,Senior night details attached. Flowers and posters by 5:30.,Text,false,normal,2026-09-29T17:00:00Z
ol_m_005,Pembroke tour confirmation,Pembroke Parent Tour Coordinator,tours@pembroke-institute.org,Jennifer Clark,jennifer.clark@Finthesiss.ai,Confirming the tour for the 5th-grade track on Oct 22 at 9 am. Park in lot B.,Text,false,high,2026-09-26T15:30:00Z
ol_m_006,Naomi orchestra parent volunteer ask,Ironwood Parent Council,parents@ironwood-academy.org,Jennifer Clark,jennifer.clark@Finthesiss.ai,Looking for a parent to help shuttle music stands to fall concert. Reply if you can.,Text,true,normal,2026-09-25T13:15:00Z
ol_m_007,Pembroke financial aid info night,Pembroke Parent Tour Coordinator,tours@pembroke-institute.org,Jennifer Clark,jennifer.clark@Finthesiss.ai,"Reminder that the financial aid info night is in late October, virtual.",Text,false,normal,2026-09-23T20:00:00Z
ol_m_008,Marcus practice gear list,Coach Marisa Patel,m.patel.coach@ironwood-academy.org,Derrick Clark,derrick.clark.bhm@gmail.com,"Marcus needs new sneakers by next week, current pair is splitting at the sole.",Text,true,normal,2026-09-22T22:00:00Z
ol_m_009,Parent council monthly newsletter,Ironwood Parent Council,parents@ironwood-academy.org,Parent list,parents@ironwood-academy.org,"October newsletter attached. Recap of September events, calendar for October.",Text,true,normal,2026-10-01T13:00:00Z
ol_m_010,"Counselor outreach, fall check-in",Ms. Eileen Vaughn,e.vaughn@ironwood-academy.org,Jennifer Clark,jennifer.clark@Finthesiss.ai,"Routine fall check-in for Naomi and Marcus. Nothing of concern, just wanted to touch base.",Text,false,normal,2026-09-28T16:00:00Z
ol_m_011,JV game day food,Ironwood Parent Council,parents@ironwood-academy.org,Parent list,parents@ironwood-academy.org,Sign up to bring snacks for the Oct 10 away game bus.,Text,false,normal,2026-09-29T14:00:00Z
ol_m_012,Beatrice Lyons math update,Ms. Beatrice Lyons,b.lyons@ironwood-academy.org,Jennifer Clark,jennifer.clark@Finthesiss.ai,Naomi is doing well in pre-algebra. Test scores improving steadily through September.,Text,false,normal,2026-09-27T17:00:00Z
